study_id,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,excluded_trials,repetition,correct_object,position_of_correct_object,opening_correct_side,giving_object_to_e
kirchhofer2012dogs,2008,03,18,dorien,28.0,27,f,chimpanzee,2,5.0,,,tube,right,yes,yes
kirchhofer2012dogs,2008,03,18,dorien,28.0,27,f,chimpanzee,,6.0,,,black_hose,left,yes,no
kirchhofer2012dogs,2008,03,18,dorien,28.0,27,f,chimpanzee,,7.0,,,scraper,left,yes,no
kirchhofer2012dogs,2008,03,18,dorien,28.0,27,f,chimpanzee,,8.0,,,green_hose,right,yes,yes
kirchhofer2012dogs,2008,03,18,dorien,28.0,27,f,chimpanzee,,9.0,,a2_f,spoon,left,yes,no
kirchhofer2012dogs,2008,03,19,dorien,28.0,27,f,chimpanzee,3,10.0,excluded,b1,spoon,left,,
kirchhofer2012dogs,2008,03,19,dorien,28.0,27,f,chimpanzee,,11.0,,,green_hose,left,yes,yes
kirchhofer2012dogs,2008,03,19,dorien,28.0,27,f,chimpanzee,,12.0,,,cup,right,no,
kirchhofer2012dogs,2008,03,19,dorien,28.0,27,f,chimpanzee,,13.0,,,pvc,right,no,
kirchhofer2012dogs,2008,03,25,dorien,28.0,27,f,chimpanzee,4,14.0,excluded,c1,rope,left,,
kirchhofer2012dogs,2008,03,25,dorien,28.0,27,f,chimpanzee,,15.0,excluded,d1,pvc,right,,
kirchhofer2012dogs,2008,03,25,dorien,28.0,27,f,chimpanzee,,16.0,excluded,e1,scraper,left,,
kirchhofer2012dogs,2008,03,25,dorien,28.0,27,f,chimpanzee,,17.0,excluded,f1,black_hose,right,,
kirchhofer2012dogs,2008,03,30,dorien,28.0,27,f,chimpanzee,4 r,18.0,,c2_f,rope,left,no,
kirchhofer2012dogs,2008,03,30,dorien,28.0,27,f,chimpanzee,,19.0,,d2_f,pvc,right,no,
kirchhofer2012dogs,2008,03,30,dorien,28.0,27,f,chimpanzee,,20.0,,e2_f,scraper,left,no,
kirchhofer2012dogs,2008,03,30,dorien,28.0,27,f,chimpanzee,,21.0,,f2_f,black_hose,right,yes,yes
kirchhofer2012dogs,2008,03,30,dorien,28.0,27,f,chimpanzee,,22.0,,b2_f,spoon,left,yes,yes
kirchhofer2012dogs,2008,03,18,sandra,14.0,14,f,chimpanzee,1,1.0,,,tube,left,yes,yes
kirchhofer2012dogs,2008,03,18,sandra,14.0,14,f,chimpanzee,,2.0,,,cup,right,yes,yes
kirchhofer2012dogs,2008,03,18,sandra,14.0,14,f,chimpanzee,,3.0,,,spoon,right,yes,yes
kirchhofer2012dogs,2008,03,18,sandra,14.0,14,f,chimpanzee,,4.0,,,rope,left,yes,yes
kirchhofer2012dogs,2008,03,19,sandra,14.0,14,f,chimpanzee,2,5.0,,,scraper,left,no,
kirchhofer2012dogs,2008,03,19,sandra,14.0,14,f,chimpanzee,,6.0,,,green_hose,left,yes,yes
kirchhofer2012dogs,2008,03,19,sandra,14.0,14,f,chimpanzee,,7.0,,,tube,right,yes,yes
kirchhofer2012dogs,2008,03,19,sandra,14.0,14,f,chimpanzee,,8.0,,,black_hose,right,no,
kirchhofer2012dogs,2008,03,25,sandra,14.0,14,f,chimpanzee,3,9.0,,,black_hose,left,yes,yes
kirchhofer2012dogs,2008,03,25,sandra,14.0,14,f,chimpanzee,,10.0,,,pvc,right,no,
kirchhofer2012dogs,2008,03,25,sandra,14.0,14,f,chimpanzee,,11.0,,,green_hose,right,yes,yes
kirchhofer2012dogs,2008,03,25,sandra,14.0,14,f,chimpanzee,,12.0,,,spoon,left,yes,yes
kirchhofer2012dogs,2008,03,27,sandra,14.0,14,f,chimpanzee,4,13.0,,,rope,right,no,
kirchhofer2012dogs,2008,03,27,sandra,14.0,14,f,chimpanzee,,14.0,,,scraper,right,no,
kirchhofer2012dogs,2008,03,27,sandra,14.0,14,f,chimpanzee,,15.0,,,cup,left,yes,yes
kirchhofer2012dogs,2008,03,27,sandra,14.0,14,f,chimpanzee,,16.0,,,pvc,left,no,
