study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,trial_type,lc_or_lt_trial,pointed_at_both_1st_choice,changed_in_1st_choice,pointed_at_both_2nd_choice,changed_in_2nd_choice,hesitated_in_1st_choice,hesitated_in_2nd_choice,amount_of_chosen_liquid_2nd_choice
suda2006what,1.0,2002.0,6.0,24.0,bimbo,22.0,m,orangutan,4.0,40.0,opaque_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,25.0,bimbo,22.0,m,orangutan,5.0,41.0,opaque_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,25.0,bimbo,22.0,m,orangutan,5.0,42.0,opaque_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,25.0,bimbo,22.0,m,orangutan,5.0,43.0,clear_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,25.0,bimbo,22.0,m,orangutan,5.0,44.0,clear_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,25.0,bimbo,22.0,m,orangutan,5.0,45.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,25.0,bimbo,22.0,m,orangutan,5.0,46.0,opaque_different,lc_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,25.0,bimbo,22.0,m,orangutan,5.0,47.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,25.0,bimbo,22.0,m,orangutan,5.0,48.0,clear_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,25.0,bimbo,22.0,m,orangutan,5.0,49.0,opaque_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,25.0,bimbo,22.0,m,orangutan,5.0,50.0,clear_different,lc_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,26.0,bimbo,22.0,m,orangutan,6.0,51.0,clear_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,26.0,bimbo,22.0,m,orangutan,6.0,52.0,opaque_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,26.0,bimbo,22.0,m,orangutan,6.0,53.0,opaque_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,26.0,bimbo,22.0,m,orangutan,6.0,54.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,26.0,bimbo,22.0,m,orangutan,6.0,55.0,clear_different,lc_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,26.0,bimbo,22.0,m,orangutan,6.0,56.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,26.0,bimbo,22.0,m,orangutan,6.0,57.0,clear_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,26.0,bimbo,22.0,m,orangutan,6.0,58.0,opaque_different,lc_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,26.0,bimbo,22.0,m,orangutan,6.0,59.0,opaque_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,6.0,26.0,bimbo,22.0,m,orangutan,6.0,60.0,clear_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,9.0,bimbo,22.0,m,orangutan,7.0,61.0,clear_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,9.0,bimbo,22.0,m,orangutan,7.0,62.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,9.0,bimbo,22.0,m,orangutan,7.0,63.0,clear_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,9.0,bimbo,22.0,m,orangutan,7.0,64.0,opaque_different,lc_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,9.0,bimbo,22.0,m,orangutan,7.0,65.0,opaque_same,0.0,false,false,false,true,false,true,
suda2006what,1.0,2002.0,7.0,9.0,bimbo,22.0,m,orangutan,7.0,66.0,opaque_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,9.0,bimbo,22.0,m,orangutan,7.0,67.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,9.0,bimbo,22.0,m,orangutan,7.0,68.0,clear_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,9.0,bimbo,22.0,m,orangutan,7.0,69.0,opaque_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,9.0,bimbo,22.0,m,orangutan,7.0,70.0,clear_different,lc_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,15.0,bimbo,22.0,m,orangutan,8.0,71.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,15.0,bimbo,22.0,m,orangutan,8.0,72.0,clear_different,lc_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,15.0,bimbo,22.0,m,orangutan,8.0,73.0,opaque_different,lc_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,15.0,bimbo,22.0,m,orangutan,8.0,74.0,clear_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,15.0,bimbo,22.0,m,orangutan,8.0,75.0,opaque_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,15.0,bimbo,22.0,m,orangutan,8.0,76.0,opaque_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,15.0,bimbo,22.0,m,orangutan,8.0,77.0,clear_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,15.0,bimbo,22.0,m,orangutan,8.0,78.0,clear_same,0.0,false,false,false,false,false,false,
