study_id,participant,age_in_years,sex,species,session,trial,trial_type,safe_choice,side
heilbronner2008fruit,frodo,12,m,chimpanzee,3,1,f,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,3,2,c,0.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,3,3,c,0.0,r
heilbronner2008fruit,frodo,12,m,chimpanzee,3,4,c,1.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,3,5,n,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,3,6,n,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,3,7,c,0.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,3,8,n,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,3,9,n,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,3,10,n,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,3,11,c,1.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,3,12,c,1.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,3,13,n,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,3,14,f,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,3,15,f,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,3,16,c,0.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,3,17,n,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,3,18,c,0.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,3,19,n,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,3,20,c,0.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,3,21,f,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,3,22,c,0.0,r
heilbronner2008fruit,frodo,12,m,chimpanzee,4,1,c,0.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,4,2,c,1.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,4,3,n,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,4,4,n,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,4,5,c,1.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,4,6,c,1.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,4,7,n,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,4,8,c,0.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,4,9,n,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,4,10,n,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,4,11,n,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,4,12,c,0.0,r
heilbronner2008fruit,frodo,12,m,chimpanzee,4,13,f,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,4,14,f,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,4,15,c,1.0,r
heilbronner2008fruit,frodo,12,m,chimpanzee,4,16,n,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,4,17,f,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,4,18,c,0.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,4,19,c,1.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,4,20,c,1.0,r
heilbronner2008fruit,frodo,12,m,chimpanzee,4,21,f,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,4,22,n,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,5,1,c,1.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,5,2,f,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,5,3,f,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,5,4,n,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,5,5,n,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,5,6,n,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,5,7,c,1.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,5,8,c,1.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,5,9,n,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,5,10,c,0.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,5,11,n,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,5,12,c,0.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,5,13,c,0.0,r
heilbronner2008fruit,frodo,12,m,chimpanzee,5,14,c,0.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,5,15,c,0.0,r
heilbronner2008fruit,frodo,12,m,chimpanzee,5,16,f,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,5,17,n,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,5,18,c,0.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,5,19,f,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,5,20,n,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,5,21,c,0.0,r
heilbronner2008fruit,frodo,12,m,chimpanzee,5,22,n,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,6,1,n,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,6,2,f,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,6,3,n,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,6,4,c,0.0,l
