"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"trial_type","trial type - n = number - participants saw the reward they would receive from both options before making a choice/ f = forced - only one option was presented / c = choice - participants chose between safe and risky option"
"safe_choice","choices for safe option (1 = safe choice/ 0 = risky choice)"
"side","participant chosen side - l = left/ r= right "
