study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,session,action,is_it_taking,rankrelationship_standardized,relationship_s,success,transfer_what,transfer_how_much
liebal2017give,bimbo,30,m,initiator,dokana,21.0,f,recipient,orangutan,bimbo_dokana,3,taking,yes,0.285714,unrelated,yes,branch,whole
liebal2017give,bimbo,30,m,initiator,dokana,21.0,f,recipient,orangutan,bimbo_dokana,4,taking,yes,0.285714,unrelated,yes,branch,whole
liebal2017give,bimbo,30,m,initiator,dokana,21.0,f,recipient,orangutan,bimbo_dokana,4,taking,yes,0.285714,unrelated,yes,branch,whole
liebal2017give,bimbo,30,m,initiator,dokana,21.0,f,recipient,orangutan,bimbo_dokana,4,taking,yes,0.285714,unrelated,yes,branch,whole
liebal2017give,bimbo,30,m,initiator,dokana,21.0,f,recipient,orangutan,bimbo_dokana,4,taking,yes,0.285714,unrelated,yes,branch,whole
liebal2017give,bimbo,30,m,initiator,dokana,21.0,f,recipient,orangutan,bimbo_dokana,4,taking,yes,0.285714,unrelated,yes,branch,whole
liebal2017give,bimbo,30,m,initiator,dokana,21.0,f,recipient,orangutan,bimbo_dokana,5,dropping,no,0.285714,unrelated,no,foodball,parts
liebal2017give,bimbo,30,m,initiator,dokana,21.0,f,recipient,orangutan,bimbo_dokana,5,dropping,no,0.285714,unrelated,no,branch,whole
liebal2017give,bimbo,30,m,initiator,dokana,21.0,f,recipient,orangutan,bimbo_dokana,5,taking,yes,0.285714,unrelated,yes,bag,whole
liebal2017give,bimbo,30,m,initiator,dokana,21.0,f,recipient,orangutan,bimbo_dokana,6,dropping,no,0.285714,unrelated,yes,branch,whole
liebal2017give,bimbo,30,m,initiator,dokana,21.0,f,recipient,orangutan,bimbo_dokana,6,dropping,no,0.285714,unrelated,yes,branch,whole
liebal2017give,bimbo,30,m,initiator,dokana,21.0,f,recipient,orangutan,bimbo_dokana,6,dropping,no,0.285714,unrelated,yes,branch,whole
liebal2017give,bimbo,30,m,initiator,dokana,21.0,f,recipient,orangutan,bimbo_dokana,6,taking,yes,0.285714,unrelated,yes,bag,whole
liebal2017give,bimbo,30,m,initiator,kila,10.0,f,recipient,orangutan,bimbo_kila,2,dropping,no,0.714286,unrelated,no,branch,whole
liebal2017give,bimbo,30,m,initiator,pini,22.0,f,recipient,orangutan,bimbo_pini,1,dropping,no,0.142857,unrelated,yes,foodball,parts
liebal2017give,bimbo,30,m,initiator,pini,22.0,f,recipient,orangutan,bimbo_pini,1,dropping,no,0.142857,unrelated,no,foodball,parts
liebal2017give,bimbo,30,m,initiator,pini,22.0,f,recipient,orangutan,bimbo_pini,1,dropping,no,0.142857,unrelated,yes,foodball,parts
liebal2017give,bimbo,30,m,initiator,pini,22.0,f,recipient,orangutan,bimbo_pini,1,offer,no,0.142857,unrelated,yes,foodball,parts
liebal2017give,bimbo,30,m,initiator,pini,22.0,f,recipient,orangutan,bimbo_pini,6,dropping,no,0.142857,unrelated,yes,part of bag,parts
liebal2017give,bimbo,30,m,initiator,pini,22.0,f,recipient,orangutan,bimbo_pini,6,dropping,no,0.142857,unrelated,yes,branch,whole
liebal2017give,bimbo,30,m,initiator,pini,22.0,f,recipient,orangutan,bimbo_pini,6,request,no,0.142857,unrelated,yes,unknown,unknown
liebal2017give,bimbo,30,m,initiator,pini,22.0,f,recipient,orangutan,bimbo_pini,6,taking,yes,0.142857,unrelated,yes,part of bag,parts
liebal2017give,bimbo,30,m,initiator,pini,22.0,f,recipient,orangutan,bimbo_pini,7,dropping,no,0.142857,unrelated,no,foodball,parts
liebal2017give,bimbo,30,m,initiator,pini,22.0,f,recipient,orangutan,bimbo_pini,8,offer,no,0.142857,unrelated,yes,part of bag,parts
