study_id,experiment,experiment_name,participant,sex,species,session,trial,condition,food_time,stooge_present,time,time_next,trial_time,event,attempted_help,overall_session,food
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,1.0,experimenter_helps,15.0,1,26.0,40.0,0.0,first_light_on,0.0,1.0,banana
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,1.0,experimenter_helps,15.0,0,40.0,47.0,14.0,remove_occluder,0.0,1.0,banana
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,1.0,experimenter_helps,15.0,1,47.0,62.0,21.0,food_in_front_but_not_accessible,0.0,1.0,banana
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,1.0,experimenter_helps,15.0,0,62.0,78.0,36.0,second_light_on,0.0,1.0,banana
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,1.0,experimenter_helps,15.0,1,78.0,100.0,52.0,food_within_reach,0.0,1.0,banana
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,1.0,experimenter_helps,15.0,1,100.0,119.0,74.0,light_sequence_initiates_again,0.0,1.0,banana
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,1.0,experimenter_helps,15.0,1,119.0,155.0,93.0,screw_removed,0.0,1.0,banana
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,1.0,experimenter_helps,15.0,1,155.0,167.0,129.0,food_pulled,0.0,1.0,banana
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,1.0,experimenter_helps,15.0,1,167.0,188.0,141.0,food_removed_and_light_turned,0.0,1.0,banana
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,1.0,experimenter_helps,15.0,1,188.0,211.0,162.0,occluder_placed,0.0,1.0,banana
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,1.0,experimenter_helps,15.0,1,211.0,254.0,185.0,post_trial_pupil_measure,0.0,1.0,banana
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,2.0,experimenter_helps,15.0,1,254.0,265.0,228.0,first_light_on,0.0,1.0,grape
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,2.0,experimenter_helps,15.0,1,265.0,274.0,239.0,remove_occluder,0.0,1.0,grape
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,2.0,experimenter_helps,15.0,1,274.0,294.0,248.0,food_in_front_but_not_accessible,0.0,1.0,grape
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,2.0,experimenter_helps,15.0,1,294.0,306.0,268.0,second_light_on,0.0,1.0,grape
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,2.0,experimenter_helps,15.0,1,306.0,328.0,280.0,food_within_reach,0.0,1.0,grape
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,2.0,experimenter_helps,15.0,1,328.0,342.0,302.0,light_sequence_initiates_again,0.0,1.0,grape
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,2.0,experimenter_helps,15.0,1,342.0,379.0,316.0,screw_removed,0.0,1.0,grape
hepach2021chimpanzees,1,cpd_time_locked_all,alex,m,chimpanzee,1,2.0,experimenter_helps,15.0,1,379.0,393.0,353.0,food_pulled,0.0,1.0,grape
