study_id,experiment,experiment_name,participant,age_in_years,sex,present,species,experience,find_tools,solve_task,latency_approach_first_box,left_room,food_room,middle_right,right_room,strategies,drop_out
martin2013memory,1,general_event,kila,,f,,orangutan,passive,1.0,0.0,29,,9.0,9.0,11.0,passive_drop_out_participant,true
martin2013memory,1,general_event,padana,15.0,f,,orangutan,participated,0.0,0.0,excluded-baby_found_tools,,,,,,
martin2013memory,1,general_event,pini,24.0,f,,orangutan,participated,0.0,0.0,,,,,,,
martin2013memory,1,general_event,raja,9.0,f,,orangutan,passive,1.0,0.0,36,3.0,13.0,20.0,,passive_drop_out_participant,true
martin2013memory,1,general_event,bimbo,32.0,m,,orangutan,participated,1.0,1.0,45,43.0,2.0,,,took_incorrect_tool_then_immediately_took_and_used_correct_tool,
martin2013memory,1,general_event,dokana,23.0,f,,orangutan,participated,1.0,1.0,36,13.0,5.0,3.0,12.0,took_and_used_correct_tool,
martin2013memory,1,general_event,sandra,19.0,f,,chimpanzee,participated,1.0,1.0,4,,,2.0,2.0,took_incorrect_tool_then_immediately_took_and_used_correct_tool,
martin2013memory,1,general_event,pia,13.0,f,,chimpanzee,participated,1.0,1.0,3,,,1.0,2.0,took_incorrect_tool_then_immediately_took_and_used_correct_tool,
martin2013memory,1,general_event,frodo,19.0,m,,chimpanzee,participated,1.0,1.0,5,2.0,3.0,,,took_incorrect_tool_then_immediately_took_and_used_correct_tool,
martin2013memory,1,general_event,lome,12.0,m,,chimpanzee,participated,1.0,1.0,2,,,1.0,1.0,took_and_used_correct_tool,
martin2013memory,1,general_event,ulla,35.0,f,kofi,chimpanzee,participated,1.0,1.0,18,2.0,11.0,4.0,1.0,took_and_used_correct_tool,
martin2013memory,1,general_event,fraukje,36.0,f,,chimpanzee,naive,0.0,0.0,,,,,,,
martin2013memory,1,general_event,robert,37.0,m,,chimpanzee,naive,0.0,0.0,,,,,,,
martin2013memory,1,general_event,tai,10.0,f,,chimpanzee,naive,0.0,0.0,,,,,,,
martin2013memory,1,general_event,lobo,8.0,m,,chimpanzee,naive,0.0,0.0,,,,,,,
martin2013memory,1,general_event,corry,36.0,f,,chimpanzee,naive,0.0,0.0,,,,,,,
martin2013memory,1,general_event,dorien,32.0,f,,chimpanzee,naive,0.0,0.0,,,,,,,
martin2013memory,1,general_event,jahaga,19.0,f,,chimpanzee,participated,1.0,1.0,2,1.0,1.0,,,took_and_used_correct_tool,
martin2013memory,1,general_event,gertrudia,19.0,f,,chimpanzee,participated,1.0,1.0,2,,,1.0,1.0,took_incorrect_tool_then_immediately_took_and_used_correct_tool,
martin2013memory,1,general_event,alex,11.0,m,,chimpanzee,participated,1.0,1.0,140,11.0,110.0,19.0,,took_incorrect_tool_then_immediately_took_and_used_correct_tool,
martin2013memory,1,general_event,fifi,19.0,f,,chimpanzee,naive,0.0,0.0,,,,,,,
