study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,session,trial,food_preference_test_1-4,option_on_the_right_experimenter_view ,option_on_the_left_experimenter_view ,chosen_food 
laumer2019orangutans,6,food_preference_tests,2015,3,6,raja,11,f,orangutan,1.0,9.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,raja,11,f,orangutan,1.0,10.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,6,raja,11,f,orangutan,1.0,11.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,raja,11,f,orangutan,1.0,12.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,dokana,26,f,orangutan,1.0,1.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,6,dokana,26,f,orangutan,1.0,2.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,6,dokana,26,f,orangutan,1.0,3.0,fpt1,grape,banana_pellet,grape
laumer2019orangutans,6,food_preference_tests,2015,3,6,dokana,26,f,orangutan,1.0,4.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,dokana,26,f,orangutan,1.0,5.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,6,dokana,26,f,orangutan,1.0,6.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,6,dokana,26,f,orangutan,1.0,7.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,dokana,26,f,orangutan,1.0,8.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,dokana,26,f,orangutan,1.0,9.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,dokana,26,f,orangutan,1.0,10.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,dokana,26,f,orangutan,1.0,11.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,dokana,26,f,orangutan,1.0,12.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,tanah,5,f,orangutan,1.0,1.0,fpt1,grape,apple,apple
laumer2019orangutans,6,food_preference_tests,2015,3,6,tanah,5,f,orangutan,1.0,2.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,tanah,5,f,orangutan,1.0,3.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,tanah,5,f,orangutan,1.0,4.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,tanah,5,f,orangutan,1.0,5.0,fpt1,grape,apple,apple
laumer2019orangutans,6,food_preference_tests,2015,3,6,tanah,5,f,orangutan,1.0,6.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,6,tanah,5,f,orangutan,1.0,7.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,tanah,5,f,orangutan,1.0,8.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,tanah,5,f,orangutan,1.0,9.0,fpt1,apple,grape,apple
laumer2019orangutans,6,food_preference_tests,2015,3,6,tanah,5,f,orangutan,1.0,10.0,fpt1,banana_pellet,apple,apple
laumer2019orangutans,6,food_preference_tests,2015,3,6,tanah,5,f,orangutan,1.0,11.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,tanah,5,f,orangutan,1.0,12.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,padana,17,f,orangutan,1.0,1.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,padana,17,f,orangutan,1.0,2.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,padana,17,f,orangutan,1.0,3.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,padana,17,f,orangutan,1.0,4.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,6,padana,17,f,orangutan,1.0,5.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,6,padana,17,f,orangutan,1.0,6.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,padana,17,f,orangutan,1.0,7.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,6,padana,17,f,orangutan,1.0,8.0,fpt1,apple,grape,apple
laumer2019orangutans,6,food_preference_tests,2015,3,6,padana,17,f,orangutan,1.0,9.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,padana,17,f,orangutan,1.0,10.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,padana,17,f,orangutan,1.0,11.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,padana,17,f,orangutan,1.0,12.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,suaq,5,m,orangutan,1.0,1.0,fpt1,apple,grape,apple
laumer2019orangutans,6,food_preference_tests,2015,3,6,suaq,5,m,orangutan,1.0,2.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,6,suaq,5,m,orangutan,1.0,3.0,fpt1,apple,banana_pellet,apple
laumer2019orangutans,6,food_preference_tests,2015,3,6,suaq,5,m,orangutan,1.0,4.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,6,suaq,5,m,orangutan,1.0,5.0,fpt1,grape,banana_pellet,grape
laumer2019orangutans,6,food_preference_tests,2015,3,6,suaq,5,m,orangutan,1.0,6.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,6,suaq,5,m,orangutan,1.0,7.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,suaq,5,m,orangutan,1.0,8.0,fpt1,grape,banana_pellet,grape
laumer2019orangutans,6,food_preference_tests,2015,3,6,suaq,5,m,orangutan,1.0,9.0,fpt1,banana_pellet,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,6,suaq,5,m,orangutan,1.0,10.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,suaq,5,m,orangutan,1.0,11.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,6,suaq,5,m,orangutan,1.0,12.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,pini,26,f,orangutan,2.0,1.0,fpt1,apple,grape,apple
laumer2019orangutans,6,food_preference_tests,2015,3,7,pini,26,f,orangutan,2.0,2.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,pini,26,f,orangutan,2.0,3.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,pini,26,f,orangutan,2.0,4.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,pini,26,f,orangutan,2.0,5.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,pini,26,f,orangutan,2.0,6.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,pini,26,f,orangutan,2.0,7.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,pini,26,f,orangutan,2.0,8.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,pini,26,f,orangutan,2.0,9.0,fpt1,apple,grape,apple
laumer2019orangutans,6,food_preference_tests,2015,3,7,pini,26,f,orangutan,2.0,10.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,pini,26,f,orangutan,2.0,11.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,pini,26,f,orangutan,2.0,12.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,raja,11,f,orangutan,2.0,1.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,raja,11,f,orangutan,2.0,2.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,raja,11,f,orangutan,2.0,3.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,raja,11,f,orangutan,2.0,4.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,raja,11,f,orangutan,2.0,5.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,raja,11,f,orangutan,2.0,6.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,raja,11,f,orangutan,2.0,7.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,raja,11,f,orangutan,2.0,8.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,raja,11,f,orangutan,2.0,9.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,raja,11,f,orangutan,2.0,10.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,raja,11,f,orangutan,2.0,11.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,raja,11,f,orangutan,2.0,12.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,dokana,26,f,orangutan,2.0,1.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,dokana,26,f,orangutan,2.0,2.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,dokana,26,f,orangutan,2.0,3.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,dokana,26,f,orangutan,2.0,4.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,dokana,26,f,orangutan,2.0,5.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,dokana,26,f,orangutan,2.0,6.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,dokana,26,f,orangutan,2.0,7.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,dokana,26,f,orangutan,2.0,8.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,dokana,26,f,orangutan,2.0,9.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,dokana,26,f,orangutan,2.0,10.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,dokana,26,f,orangutan,2.0,11.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,dokana,26,f,orangutan,2.0,12.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,tanah,5,f,orangutan,2.0,1.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,tanah,5,f,orangutan,2.0,2.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,tanah,5,f,orangutan,2.0,3.0,fpt1,grape,apple,apple
laumer2019orangutans,6,food_preference_tests,2015,3,7,tanah,5,f,orangutan,2.0,4.0,fpt1,apple,grape,apple
laumer2019orangutans,6,food_preference_tests,2015,3,7,tanah,5,f,orangutan,2.0,5.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,tanah,5,f,orangutan,2.0,6.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,tanah,5,f,orangutan,2.0,7.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,tanah,5,f,orangutan,2.0,8.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,tanah,5,f,orangutan,2.0,9.0,fpt1,apple,grape,apple
laumer2019orangutans,6,food_preference_tests,2015,3,7,tanah,5,f,orangutan,2.0,10.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,tanah,5,f,orangutan,2.0,11.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,tanah,5,f,orangutan,2.0,12.0,fpt1,banana_pellet,apple,apple
laumer2019orangutans,6,food_preference_tests,2015,3,7,padana,17,f,orangutan,2.0,1.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,padana,17,f,orangutan,2.0,2.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,padana,17,f,orangutan,2.0,3.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,padana,17,f,orangutan,2.0,4.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,padana,17,f,orangutan,2.0,5.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,padana,17,f,orangutan,2.0,6.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,padana,17,f,orangutan,2.0,7.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,padana,17,f,orangutan,2.0,8.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,padana,17,f,orangutan,2.0,9.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,padana,17,f,orangutan,2.0,10.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,padana,17,f,orangutan,2.0,11.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,padana,17,f,orangutan,2.0,12.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,suaq,5,m,orangutan,2.0,1.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,suaq,5,m,orangutan,2.0,2.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,suaq,5,m,orangutan,2.0,3.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,suaq,5,m,orangutan,2.0,4.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,suaq,5,m,orangutan,2.0,5.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,suaq,5,m,orangutan,2.0,6.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,suaq,5,m,orangutan,2.0,7.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,suaq,5,m,orangutan,2.0,8.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,suaq,5,m,orangutan,2.0,9.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,suaq,5,m,orangutan,2.0,10.0,fpt1,banana_pellet,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,7,suaq,5,m,orangutan,2.0,11.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,7,suaq,5,m,orangutan,2.0,12.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,pini,26,f,orangutan,3.0,1.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,pini,26,f,orangutan,3.0,2.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,pini,26,f,orangutan,3.0,3.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,pini,26,f,orangutan,3.0,4.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,pini,26,f,orangutan,3.0,5.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,pini,26,f,orangutan,3.0,6.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,pini,26,f,orangutan,3.0,7.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,pini,26,f,orangutan,3.0,8.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,pini,26,f,orangutan,3.0,9.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,pini,26,f,orangutan,3.0,10.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,pini,26,f,orangutan,3.0,11.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,pini,26,f,orangutan,3.0,12.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,raja,11,f,orangutan,3.0,1.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,raja,11,f,orangutan,3.0,2.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,raja,11,f,orangutan,3.0,3.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,raja,11,f,orangutan,3.0,4.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,raja,11,f,orangutan,3.0,5.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,raja,11,f,orangutan,3.0,6.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,raja,11,f,orangutan,3.0,7.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,raja,11,f,orangutan,3.0,8.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,raja,11,f,orangutan,3.0,9.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,raja,11,f,orangutan,3.0,10.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,raja,11,f,orangutan,3.0,11.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,raja,11,f,orangutan,3.0,12.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,dokana,26,f,orangutan,3.0,1.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,dokana,26,f,orangutan,3.0,2.0,fpt1,grape,banana_pellet,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,dokana,26,f,orangutan,3.0,3.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,dokana,26,f,orangutan,3.0,4.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,dokana,26,f,orangutan,3.0,5.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,dokana,26,f,orangutan,3.0,6.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,dokana,26,f,orangutan,3.0,7.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,dokana,26,f,orangutan,3.0,8.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,dokana,26,f,orangutan,3.0,9.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,dokana,26,f,orangutan,3.0,10.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,dokana,26,f,orangutan,3.0,11.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,dokana,26,f,orangutan,3.0,12.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,tanah,5,f,orangutan,3.0,1.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,tanah,5,f,orangutan,3.0,2.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,tanah,5,f,orangutan,3.0,3.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,tanah,5,f,orangutan,3.0,4.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,tanah,5,f,orangutan,3.0,5.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,tanah,5,f,orangutan,3.0,6.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,tanah,5,f,orangutan,3.0,7.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,tanah,5,f,orangutan,3.0,8.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,tanah,5,f,orangutan,3.0,9.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,tanah,5,f,orangutan,3.0,10.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,tanah,5,f,orangutan,3.0,11.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,tanah,5,f,orangutan,3.0,12.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,padana,17,f,orangutan,3.0,1.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,padana,17,f,orangutan,3.0,2.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,padana,17,f,orangutan,3.0,3.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,padana,17,f,orangutan,3.0,4.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,padana,17,f,orangutan,3.0,5.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,padana,17,f,orangutan,3.0,6.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,padana,17,f,orangutan,3.0,7.0,fpt1,banana_pellet,grape,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,padana,17,f,orangutan,3.0,8.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,padana,17,f,orangutan,3.0,9.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,padana,17,f,orangutan,3.0,10.0,fpt1,grape,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,padana,17,f,orangutan,3.0,11.0,fpt1,apple,banana_pellet,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,padana,17,f,orangutan,3.0,12.0,fpt1,banana_pellet,apple,pellet_banana
laumer2019orangutans,6,food_preference_tests,2015,3,8,suaq,5,m,orangutan,3.0,1.0,fpt1,grape,apple,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,suaq,5,m,orangutan,3.0,2.0,fpt1,apple,grape,grape
laumer2019orangutans,6,food_preference_tests,2015,3,8,suaq,5,m,orangutan,3.0,3.0,fpt1,apple,banana_pellet,pellet_banana
