"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"trial","presentation of the experiment to the participants - usually numerical – order of conditions"
"5_min_ice_cube","whether participants chose the frozen juice after 5 min"
"5_min_grape","whether participants chose the grape after 5 min"
"1_hour_ice_cube","whether participants chose the frozen juice after 1 hour"
"1_hour_grape","whether participants chose the grape after 1 hour"
