"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/orangutan "
"round","group of trials- total of 12 trials per round "
"time","length of the time that elapsed between baiting and letting the participants choose one of the containers"
"ice_cube","number of times participant chose frozen juice "
"grape","number of times participant chose grapes"
