study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,tooltype,suitability,modify,getsjuice,technic,modifiable,success,modif_lid,modif_bar
manrique2011spontaneous,2,2009,4,19,ulindi,15,f,bonobo,1.0,1.0,dowel,functional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,4,19,ulindi,15,f,bonobo,1.0,2.0,dowel,functional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,4,19,ulindi,15,f,bonobo,1.0,3.0,dowel,functional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,4,20,ulindi,15,f,bonobo,2.0,1.0,dowel,functional,partial,yes,dipplick,,not_empties_the_apparatus,one_lid_off,
manrique2011spontaneous,2,2009,4,20,ulindi,15,f,bonobo,2.0,2.0,dowel,functional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,4,20,ulindi,15,f,bonobo,2.0,3.0,dowel,functional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,4,21,ulindi,15,f,bonobo,3.0,1.0,dowel,functional,straw,yes,dipplick,,not_empties_the_apparatus,two_lids_off,
manrique2011spontaneous,2,2009,4,21,ulindi,15,f,bonobo,3.0,2.0,dowel,functional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,4,21,ulindi,15,f,bonobo,3.0,3.0,dowel,functional,straw,yes,dipplick,,not_empties_the_apparatus,two_lids_off,
manrique2011spontaneous,2,2009,4,22,ulindi,15,f,bonobo,4.0,1.0,dowel,nofunctional,straw,yes,dipplick,,not_empties_the_apparatus,two_lids_off,
manrique2011spontaneous,2,2009,4,22,ulindi,15,f,bonobo,4.0,2.0,dowel,nofunctional,no,yes,dipplick,sametool,not_empties_the_apparatus,,
manrique2011spontaneous,2,2009,4,22,ulindi,15,f,bonobo,4.0,3.0,dowel,nofunctional,no,yes,dipplick,sametool,not_empties_the_apparatus,,
manrique2011spontaneous,2,2009,4,25,ulindi,15,f,bonobo,5.0,1.0,dowel,nofunctional,straw,yes,dipplick,,not_empties_the_apparatus,two_lids_off,
manrique2011spontaneous,2,2009,4,25,ulindi,15,f,bonobo,5.0,2.0,dowel,nofunctional,no,yes,dipplick,sametool,not_empties_the_apparatus,,
manrique2011spontaneous,2,2009,4,25,ulindi,15,f,bonobo,5.0,3.0,dowel,nofunctional,no,yes,dipplick,sametool,not_empties_the_apparatus,,
manrique2011spontaneous,2,2009,4,26,ulindi,15,f,bonobo,6.0,1.0,dowel,nofunctional,straw,yes,dipplick,,not_empties_the_apparatus,two_lids_off,
manrique2011spontaneous,2,2009,4,26,ulindi,15,f,bonobo,6.0,2.0,dowel,nofunctional,no,yes,dipplick,sametool,not_empties_the_apparatus,,
manrique2011spontaneous,2,2009,4,26,ulindi,15,f,bonobo,6.0,3.0,dowel,nofunctional,no,yes,dipplick,sametool,not_empties_the_apparatus,,
manrique2011spontaneous,2,2009,5,6,limbuko,13,m,bonobo,1.0,1.0,dowel,nofunctional,no,no,notry,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,5,6,limbuko,13,m,bonobo,1.0,2.0,dowel,nofunctional,straw,no,notry,,not_empties_the_apparatus,two_lids_off,
manrique2011spontaneous,2,2009,5,6,limbuko,13,m,bonobo,1.0,3.0,dowel,nofunctional,straw,no,notry,,not_empties_the_apparatus,two_lids_off,
manrique2011spontaneous,2,2009,5,8,limbuko,13,m,bonobo,2.0,1.0,dowel,nofunctional,no,no,notry,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,5,8,limbuko,13,m,bonobo,2.0,2.0,dowel,nofunctional,no,no,notry,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,5,8,limbuko,13,m,bonobo,2.0,3.0,dowel,nofunctional,partial,yes,dipplick,,not_empties_the_apparatus,one_lid_off,
manrique2011spontaneous,2,2009,5,11,limbuko,13,m,bonobo,3.0,1.0,dowel,nofunctional,partial,yes,dipplick,,not_empties_the_apparatus,one_lid_off,
