"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_original","age provided by author in months in data file"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study - chimpanzee "
"session"," set of trials - mostly occurring on the same day – numerical"
"condition","the type of mirror the participants were exposed to -   large / small"
"species_subgroup","species subgroup at time of data collection – WKPRC chimpanzee group a or b/ etc"
"duration_session_ms","duration of the session in milliseconds"
"duration_condition_ms","duration of the condition in milliseconds"
"mrbcount","count of mirror-related behaviors (mrb) – e.g. holding/manipulating/exploring/social responses to the reflection etc. "
"durationallmrb_ms","duration of all mrbs in milliseconds"
"propallmrb_sess","proportion of mrb time within a session"
"secount","count of self exploration (se) behaviours"
"durationse_ms","duration of all self explorations (se) in milliseconds"
"propse_sess","proportion of se time within a session"
