study_id,year,month,day,participant,age_original,age_in_years,sex,species,session,condition,species_subgroup,duration_session_ms,duration_condition_ms,mrbcount,durationallmrb_ms,propallmrb_sess,secount,durationse_ms,propse_sess
kopp2021small,2019,10,18,jeudi,636,,f,chimpanzee,2,small,b,3554206,7271536,37,773104,0.22,0,0,0.0
kopp2021small,2019,10,18,zira,264,22.0,f,chimpanzee,2,small,b,3554206,7271536,17,284811,0.08,0,0,0.0
kopp2021small,2019,8,2,bangolo,120,10.0,m,chimpanzee,1,large,,3601920,7203840,17,130661,0.04,2,2323,0.0
kopp2021small,2019,8,2,kananga,284,,m,chimpanzee,1,large,,3601920,7203840,4,11407,0.0,0,0,0.0
kopp2021small,2019,8,2,kofi,168,14.0,m,chimpanzee,1,large,,3601920,7203840,4,29197,0.01,0,0,0.0
kopp2021small,2019,8,2,minga,176,,f,chimpanzee,1,large,,3601920,7203840,1,0,0.0,0,0,0.0
kopp2021small,2019,8,2,mufasa,231,,m,chimpanzee,1,large,,3601920,7203840,1,0,0.0,0,0,0.0
kopp2021small,2019,8,2,mumin,350,,f,chimpanzee,1,large,,3601920,7203840,1,0,0.0,0,0,0.0
kopp2021small,2019,8,2,nana,398,,f,chimpanzee,1,large,,3601920,7478247,2,5130,0.0,0,0,0.0
kopp2021small,2019,8,2,sambala,241,,f,chimpanzee,1,large,,3601920,7203840,1,0,0.0,0,0,0.0
kopp2021small,2019,8,2,sokoto,172,,m,chimpanzee,1,large,,3601920,7203840,8,22559,0.01,0,0,0.0
kopp2021small,2019,8,2,ubangi,262,,m,chimpanzee,1,large,,3601920,7203840,2,9253,0.0,0,0,0.0
kopp2021small,2019,8,5,bangolo,120,10.0,m,chimpanzee,2,large,,3601920,7203840,1,0,0.0,0,0,0.0
kopp2021small,2019,8,5,kananga,284,,m,chimpanzee,2,large,,3601920,7203840,9,62214,0.02,1,13719,0.0
kopp2021small,2019,8,5,kofi,168,14.0,m,chimpanzee,2,large,,3601920,7203840,1,0,0.0,0,0,0.0
kopp2021small,2019,8,5,minga,176,,f,chimpanzee,2,large,,3601920,7203840,2,2999,0.0,0,0,0.0
kopp2021small,2019,8,5,mufasa,231,,m,chimpanzee,2,large,,3601920,7203840,1,0,0.0,0,0,0.0
kopp2021small,2019,8,5,mumin,350,,f,chimpanzee,2,large,,3601920,7203840,1,4081,0.0,0,0,0.0
kopp2021small,2019,9,5,nana,398,,f,chimpanzee,2,large,,3876327,7478247,16,235058,0.06,4,178020,0.05
kopp2021small,2019,8,5,sambala,241,,f,chimpanzee,2,large,,3601920,7203840,22,205830,0.06,4,80843,0.02
kopp2021small,2019,8,5,sokoto,172,,m,chimpanzee,2,large,,3601920,7203840,8,66225,0.02,0,0,0.0
kopp2021small,2019,8,5,ubangi,262,,m,chimpanzee,2,large,,3601920,7203840,62,569783,0.16,11,164001,0.05
kopp2021small,2019,8,7,bangolo,120,10.0,m,chimpanzee,1,small,,3601920,7203840,41,1384488,0.38,2,49546,0.01
kopp2021small,2019,8,7,kananga,284,,m,chimpanzee,1,small,,3601920,7203840,1,0,0.0,0,0,0.0
kopp2021small,2019,8,7,kofi,168,14.0,m,chimpanzee,1,small,,3601920,7203840,1,0,0.0,0,0,0.0
kopp2021small,2019,8,7,minga,176,,f,chimpanzee,1,small,,3601920,7203840,29,485071,0.13,0,0,0.0
kopp2021small,2019,8,7,mufasa,231,,m,chimpanzee,1,small,,3601920,7203840,17,817040,0.23,1,3749,0.0
kopp2021small,2019,8,7,mumin,350,,f,chimpanzee,1,small,,3601920,7203840,1,0,0.0,0,0,0.0
kopp2021small,2019,8,7,nana,398,,f,chimpanzee,1,small,,3601920,7203840,124,1407343,0.39,19,196055,0.05
kopp2021small,2019,8,7,sambala,241,,f,chimpanzee,1,small,,3601920,7203840,20,127550,0.04,2,23206,0.01
kopp2021small,2019,8,7,sokoto,172,,m,chimpanzee,1,small,,3601920,7203840,32,597265,0.17,0,0,0.0
kopp2021small,2019,8,7,ubangi,262,,m,chimpanzee,1,small,,3601920,7203840,59,2590982,0.72,15,1301902,0.36
kopp2021small,2019,8,9,bangolo,120,10.0,m,chimpanzee,2,small,,3601920,7203840,61,906096,0.25,6,74330,0.02
kopp2021small,2019,8,9,kananga,284,,m,chimpanzee,2,small,,3601920,7203840,1,1404,0.0,0,0,0.0
kopp2021small,2019,8,9,kofi,168,14.0,m,chimpanzee,2,small,,3601920,7203840,1,0,0.0,0,0,0.0
kopp2021small,2019,8,9,minga,176,,f,chimpanzee,2,small,,3601920,7203840,48,1239310,0.34,0,0,0.0
kopp2021small,2019,8,9,mufasa,231,,m,chimpanzee,2,small,,3601920,7203840,1,3252,0.0,0,0,0.0
kopp2021small,2019,8,9,mumin,350,,f,chimpanzee,2,small,,3601920,7203840,2,3097,0.0,0,0,0.0
kopp2021small,2019,8,9,nana,398,,f,chimpanzee,2,small,,3601920,7203840,1,0,0.0,0,0,0.0
kopp2021small,2019,8,9,sambala,241,,f,chimpanzee,2,small,,3601920,7203840,14,287226,0.08,0,0,0.0
kopp2021small,2019,8,9,sokoto,172,,m,chimpanzee,2,small,,3601920,7203840,10,121898,0.03,1,1919,0.0
kopp2021small,2019,8,9,ubangi,262,,m,chimpanzee,2,small,,3601920,7203840,3,22558,0.01,0,0,0.0
kopp2021small,2019,8,27,epulu,613,,m,chimpanzee,1,large,,3601870,7206832,45,426319,0.12,4,20025,0.01
kopp2021small,2019,8,27,kitoto,433,,f,chimpanzee,1,large,,3601870,7206832,91,581788,0.16,6,49645,0.01
kopp2021small,2019,8,28,epulu,613,,m,chimpanzee,2,large,,3604962,7206832,2,2443,0.0,0,0,0.0
kopp2021small,2019,8,28,kitoto,433,,f,chimpanzee,2,large,,3604962,7206832,24,367256,0.1,6,283742,0.08
kopp2021small,2019,8,29,epulu,613,,m,chimpanzee,1,small,,3600453,7200529,109,1429155,0.4,6,57903,0.02
kopp2021small,2019,8,29,kitoto,433,,f,chimpanzee,1,small,,3600453,7200529,206,3352847,0.93,39,563987,0.16
kopp2021small,2019,8,30,epulu,613,,m,chimpanzee,2,small,,3600076,7200529,48,643230,0.18,1,12139,0.0
kopp2021small,2019,8,30,kitoto,433,,f,chimpanzee,2,small,,3600076,7200529,68,1176098,0.33,14,197195,0.05
