study_id,participant,sex,role,participant_2,sex_2,role_2,species,dyad,condition,point,latency,away,scratch,rock_lip_bang,eat,touch,ignore,time,latency_percentage,scratch_yes,point_yes
brauer2006apes,jahaga,f,focal_participant,fraukje,f,competitor,chimpanzee,jahaga_fraukje,nosoc-dif,8.0,4.0,1.0,0.0,0.0,8.0,0.0,0.0,81.0,0.04938271604938271,0.0,1.0
brauer2006apes,jahaga,f,focal_participant,fraukje,f,competitor,chimpanzee,jahaga_fraukje,soc-dif,8.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,86.0,0.0,1.0,1.0
brauer2006apes,jahaga,f,focal_participant,fraukje,f,competitor,chimpanzee,jahaga_fraukje,soc-sam,8.0,0.0,0.0,2.0,1.0,8.0,0.0,0.0,87.0,0.0,1.0,1.0
brauer2006apes,fraukje,f,focal_participant,jahaga,f,competitor,chimpanzee,fraukje_jahaga,soc-sam,5.0,0.0,0.0,1.0,1.0,6.0,0.0,2.0,73.0,0.0,1.0,1.0
brauer2006apes,fraukje,f,focal_participant,jahaga,f,competitor,chimpanzee,fraukje_jahaga,soc-dif,10.0,0.0,0.0,1.0,1.0,6.0,0.0,2.0,97.0,0.0,1.0,1.0
brauer2006apes,fraukje,f,focal_participant,jahaga,f,competitor,chimpanzee,fraukje_jahaga,nosoc-dif,2.0,71.0,1.0,0.0,1.0,1.0,0.0,7.0,88.0,0.8068181818181818,0.0,1.0
brauer2006apes,fraukje,f,focal_participant,jahaga,f,competitor,chimpanzee,fraukje_jahaga,nosoc-sam,0.0,4.0,1.0,0.0,1.0,4.0,0.0,4.0,75.0,0.05333333333333334,0.0,0.0
brauer2006apes,dorien,f,focal_participant,fraukje,f,competitor,chimpanzee,dorien_fraukje,soc-sam,0.0,79.0,1.0,0.0,0.0,0.0,1.0,7.0,89.0,0.8876404494382022,0.0,0.0
brauer2006apes,dorien,f,focal_participant,fraukje,f,competitor,chimpanzee,dorien_fraukje,soc-dif,5.0,27.0,1.0,0.0,1.0,0.0,5.0,3.0,74.0,0.36486486486486486,0.0,1.0
brauer2006apes,fraukje,f,focal_participant,dorien,f,competitor,chimpanzee,fraukje_dorien,soc-sam,1.0,32.0,1.0,0.0,1.0,1.0,4.0,3.0,84.0,0.38095238095238093,0.0,1.0
brauer2006apes,fraukje,f,focal_participant,dorien,f,competitor,chimpanzee,fraukje_dorien,soc-dif,0.0,67.0,1.0,0.0,1.0,1.0,1.0,6.0,86.0,0.7790697674418605,0.0,0.0
brauer2006apes,dorien,f,focal_participant,fraukje,f,competitor,chimpanzee,dorien_fraukje,nosoc-dif,0.0,72.0,1.0,0.0,0.0,0.0,0.0,8.0,80.0,0.9,0.0,0.0
brauer2006apes,dorien,f,focal_participant,fraukje,f,competitor,chimpanzee,dorien_fraukje,nosoc-sam,0.0,84.0,1.0,0.0,0.0,0.0,0.0,8.0,90.0,0.9333333333333333,0.0,0.0
brauer2006apes,fraukje,f,focal_participant,dorien,f,competitor,chimpanzee,fraukje_dorien,nosoc-sam,1.0,73.0,1.0,0.0,1.0,1.0,0.0,7.0,86.0,0.8488372093023255,0.0,1.0
brauer2006apes,fraukje,f,focal_participant,dorien,f,competitor,chimpanzee,fraukje_dorien,nosoc-dif,2.0,46.0,1.0,0.0,1.0,0.0,1.0,7.0,89.0,0.5168539325842697,0.0,1.0
brauer2006apes,patrick,m,focal_participant,fifi,f,competitor,chimpanzee,patrick_fifi,nosoc-dif,1.0,20.0,1.0,0.0,0.0,8.0,0.0,0.0,84.0,0.23809523809523808,0.0,1.0
brauer2006apes,patrick,m,focal_participant,fifi,f,competitor,chimpanzee,patrick_fifi,nosoc-sam,1.0,14.0,1.0,0.0,0.0,6.0,2.0,0.0,85.0,0.16470588235294117,0.0,1.0
brauer2006apes,patrick,m,focal_participant,fifi,f,competitor,chimpanzee,patrick_fifi,soc-dif,5.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,99.0,0.0,1.0,1.0
brauer2006apes,fifi,f,focal_participant,patrick,m,competitor,chimpanzee,fifi_patrick,soc-sam,1.0,88.0,1.0,0.0,0.0,0.0,2.0,6.0,101.0,0.8712871287128713,0.0,1.0
brauer2006apes,fifi,f,focal_participant,patrick,m,competitor,chimpanzee,fifi_patrick,soc-dif,1.0,57.0,1.0,3.0,0.0,0.0,2.0,6.0,79.0,0.7215189873417721,1.0,1.0
brauer2006apes,patrick,m,focal_participant,fifi,f,competitor,chimpanzee,patrick_fifi,soc-sam,1.0,3.0,1.0,0.0,0.0,8.0,0.0,0.0,76.0,0.039473684210526314,0.0,1.0
brauer2006apes,fifi,f,focal_participant,patrick,m,competitor,chimpanzee,fifi_patrick,nosoc-sam,0.0,87.0,1.0,0.0,0.0,0.0,5.0,3.0,95.0,0.9157894736842105,0.0,0.0
brauer2006apes,fifi,f,focal_participant,patrick,m,competitor,chimpanzee,fifi_patrick,nosoc-dif,0.0,63.0,1.0,0.0,0.0,0.0,0.0,8.0,83.0,0.7590361445783133,0.0,0.0
brauer2006apes,jahaga,f,focal_participant,riet,f,competitor,chimpanzee,jahaga_riet,nosoc-sam,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,74.0,0.0,0.0,1.0
brauer2006apes,jahaga,f,focal_participant,riet,f,competitor,chimpanzee,jahaga_riet,nosoc-dif,7.0,6.0,1.0,1.0,0.0,8.0,0.0,0.0,76.0,0.07894736842105263,1.0,1.0
brauer2006apes,riet,f,focal_participant,jahaga,f,competitor,chimpanzee,riet_jahaga,nosoc-sam,2.0,78.0,1.0,0.0,0.0,2.0,0.0,6.0,95.0,0.8210526315789474,0.0,1.0
brauer2006apes,riet,f,focal_participant,jahaga,f,competitor,chimpanzee,riet_jahaga,nosoc-dif,1.0,89.0,1.0,0.0,0.0,0.0,0.0,8.0,93.0,0.956989247311828,0.0,1.0
brauer2006apes,riet,f,focal_participant,jahaga,f,competitor,chimpanzee,riet_jahaga,soc-sam,9.0,7.0,1.0,0.0,0.0,6.0,2.0,0.0,68.0,0.10294117647058823,0.0,1.0
brauer2006apes,jahaga,f,focal_participant,riet,f,competitor,chimpanzee,jahaga_riet,soc-dif,9.0,26.0,1.0,0.0,1.0,8.0,0.0,0.0,93.0,0.27956989247311825,0.0,1.0
