study_id,participant,sex,role,participant_2,sex_2,role_2,species,dyad,condition,point,latency,away,scratch,rock_lip_bang,eat,touch,ignore,time,latency_percentage,scratch_yes,point_yes
brauer2006apes,gertrudia,f,focal_participant,brent,m,competitor,chimpanzee,gertrudia_brent,soc-dif,12.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,80.0,0.0,0.0,1.0
brauer2006apes,brent,m,focal_participant,gertrudia,f,competitor,chimpanzee,brent_gertrudia,soc-sam,3.0,43.0,1.0,0.0,0.0,0.0,3.0,5.0,60.0,0.7166666666666667,0.0,1.0
brauer2006apes,brent,m,focal_participant,gertrudia,f,competitor,chimpanzee,brent_gertrudia,nosoc-dif,1.0,58.0,1.0,0.0,0.0,0.0,3.0,5.0,65.0,0.8923076923076924,0.0,1.0
brauer2006apes,brent,m,focal_participant,gertrudia,f,competitor,chimpanzee,brent_gertrudia,nosoc-sam,3.0,39.0,1.0,0.0,0.0,0.0,5.0,3.0,64.0,0.609375,0.0,1.0
brauer2006apes,gertrudia,f,focal_participant,brent,m,competitor,chimpanzee,gertrudia_brent,nosoc-dif,6.0,17.0,1.0,0.0,1.0,8.0,0.0,0.0,67.0,0.2537313432835821,0.0,1.0
brauer2006apes,gertrudia,f,focal_participant,brent,m,competitor,chimpanzee,gertrudia_brent,nosoc-sam,4.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,62.0,0.0,0.0,1.0
brauer2006apes,natascha,f,focal_participant,dorien,f,competitor,chimpanzee,natascha_dorien,nosoc-dif,0.0,65.0,1.0,0.0,0.0,0.0,0.0,8.0,70.0,0.9285714285714286,0.0,0.0
brauer2006apes,natascha,f,focal_participant,dorien,f,competitor,chimpanzee,natascha_dorien,nosoc-sam,0.0,59.0,1.0,0.0,0.0,0.0,0.0,8.0,76.0,0.7763157894736842,0.0,0.0
brauer2006apes,natascha,f,focal_participant,dorien,f,competitor,chimpanzee,natascha_dorien,soc-dif,1.0,39.0,1.0,2.0,0.0,0.0,0.0,8.0,74.0,0.527027027027027,1.0,1.0
brauer2006apes,natascha,f,focal_participant,dorien,f,competitor,chimpanzee,natascha_dorien,soc-sam,0.0,51.0,1.0,0.0,0.0,0.0,0.0,8.0,72.0,0.7083333333333334,0.0,0.0
brauer2006apes,dorien,f,focal_participant,natascha,f,competitor,chimpanzee,dorien_natascha,soc-sam,1.0,23.0,1.0,0.0,1.0,0.0,5.0,3.0,69.0,0.3333333333333333,0.0,1.0
brauer2006apes,dorien,f,focal_participant,natascha,f,competitor,chimpanzee,dorien_natascha,soc-dif,2.0,0.0,0.0,2.0,1.0,0.0,7.0,1.0,78.0,0.0,1.0,1.0
brauer2006apes,dorien,f,focal_participant,natascha,f,competitor,chimpanzee,dorien_natascha,nosoc-dif,0.0,30.0,1.0,0.0,0.0,0.0,8.0,0.0,69.0,0.43478260869565216,0.0,0.0
brauer2006apes,dorien,f,focal_participant,natascha,f,competitor,chimpanzee,dorien_natascha,nosoc-sam,0.0,72.0,1.0,0.0,0.0,0.0,0.0,8.0,76.0,0.9473684210526315,0.0,0.0
