study_id,participant,age_in_years,sex,species,session,trial,trial_subset,subset,early_item,late_item,coord_early_x,coord_early_y,coord_late_x,coord_late_y,magnitude,symbolic_distance,accuracy,latency,wavering,wavering_coder2
allritz2021chimpanzees,alex,13.0,m,chimpanzee,1,68,2,pair_25,2,5,800,384,480,896,2,3,1,989,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,1,70,2,pair_35,3,5,160,896,800,896,3,2,1,1804,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,1,73,3,pair_25,2,5,1120,640,1120,384,2,3,1,921,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,1,78,3,pair_34,3,4,800,640,1120,640,3,1,1,1715,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,1,80,2,pair_13,1,3,160,128,1120,640,1,2,1,1146,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,1,82,3,pair_12,1,2,160,640,160,896,1,1,1,1080,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,1,88,3,pair_45,4,5,160,640,1120,640,4,1,1,2973,4.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,1,89,3,pair_23,2,3,1120,384,480,384,2,1,1,1249,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,1,92,3,pair_35,3,5,1120,384,800,640,3,2,1,1129,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,1,93,3,pair_15,1,5,480,128,1120,896,1,4,1,1094,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,1,100,3,pair_13,1,3,160,128,800,128,1,2,1,853,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,3,4,pair_13,1,3,800,896,480,640,1,2,1,743,0.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,6,4,pair_45,4,5,480,384,480,128,4,1,1,1381,1.0,2.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,8,5,pair_13,1,3,480,128,480,384,1,2,1,723,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,11,4,pair_12,1,2,800,128,800,896,1,1,0,1071,1.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,15,5,pair_12,1,2,160,896,800,384,1,1,1,1214,0.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,16,6,pair_13,1,3,160,640,480,384,1,2,1,672,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,18,4,pair_25,2,5,480,384,800,384,2,3,1,1116,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,19,4,pair_23,2,3,160,640,1120,896,2,1,1,1692,1.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,20,4,pair_35,3,5,160,128,160,896,3,2,1,1214,1.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,21,5,pair_25,2,5,1120,896,800,384,2,3,1,1292,1.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,22,4,pair_15,1,5,160,128,480,896,1,4,1,1020,1.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,24,5,pair_15,1,5,1120,128,160,896,1,4,1,834,1.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,26,4,pair_24,2,4,800,384,160,640,2,2,1,1062,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,30,4,pair_34,3,4,480,640,800,896,3,1,1,1318,2.0,2.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,36,5,pair_24,2,4,480,384,800,128,2,2,1,843,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,37,6,pair_25,2,5,480,128,1120,128,2,3,1,906,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,45,4,pair_14,1,4,800,896,1120,896,1,3,1,783,0.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,51,5,pair_35,3,5,1120,640,800,128,3,2,1,1196,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,52,5,pair_45,4,5,1120,384,800,128,4,1,1,1953,2.0,2.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,66,5,pair_23,2,3,480,640,480,384,2,1,1,743,1.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,69,6,pair_23,2,3,480,128,1120,896,2,1,1,1004,1.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,71,6,pair_35,3,5,1120,128,160,896,3,2,1,1253,1.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,75,6,pair_45,4,5,480,640,800,640,4,1,1,1538,1.0,2.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,79,5,pair_14,1,4,160,896,160,384,1,3,1,837,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,81,6,pair_14,1,4,480,384,1120,640,1,3,1,707,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,85,6,pair_12,1,2,1120,128,480,128,1,1,1,1117,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,91,6,pair_24,2,4,480,640,1120,128,2,2,1,1572,1.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,95,5,pair_34,3,4,480,896,800,128,3,1,1,3211,1.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,99,6,pair_15,1,5,160,896,160,128,1,4,1,881,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,2,100,6,pair_34,3,4,480,128,800,896,3,1,1,1639,1.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,4,7,pair_14,1,4,160,384,480,384,1,3,1,679,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,5,7,pair_45,4,5,1120,640,1120,896,4,1,1,2959,1.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,8,7,pair_35,3,5,480,384,1120,640,3,2,1,1103,1.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,13,7,pair_23,2,3,800,896,160,896,2,1,1,1825,1.0,2.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,19,8,pair_14,1,4,1120,640,1120,128,1,3,1,516,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,26,7,pair_25,2,5,160,640,1120,896,2,3,1,1032,0.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,27,7,pair_15,1,5,480,384,800,896,1,4,1,823,1.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,30,8,pair_45,4,5,800,384,160,896,4,1,1,2232,2.0,2.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,33,9,pair_45,4,5,480,640,160,640,4,1,1,2070,2.0,2.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,36,8,pair_23,2,3,160,384,1120,896,2,1,1,1312,1.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,38,7,pair_34,3,4,800,128,480,128,3,1,1,960,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,40,7,pair_12,1,2,1120,640,1120,384,1,1,1,832,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,42,8,pair_25,2,5,800,896,160,384,2,3,1,1344,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,44,8,pair_12,1,2,480,640,800,640,1,1,1,682,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,46,8,pair_15,1,5,160,640,480,640,1,4,1,717,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,58,9,pair_25,2,5,1120,384,480,384,2,3,1,838,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,61,7,pair_24,2,4,160,384,160,640,2,2,1,1238,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,65,8,pair_35,3,5,800,640,160,128,3,2,1,1299,0.0,2.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,67,9,pair_35,3,5,1120,384,160,128,3,2,1,2698,2.0,4.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,69,9,pair_12,1,2,800,128,1120,384,1,1,0,878,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,73,9,pair_15,1,5,160,896,160,384,1,4,1,962,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,75,8,pair_24,2,4,480,128,160,384,2,2,1,1094,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,76,8,pair_34,3,4,1120,896,160,128,3,1,1,2413,3.0,2.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,77,7,pair_13,1,3,1120,384,160,384,1,2,1,630,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,81,9,pair_24,2,4,160,640,1120,384,2,2,1,1016,0.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,83,8,pair_13,1,3,160,896,1120,896,1,2,1,852,2.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,85,9,pair_34,3,4,480,640,160,128,3,1,1,1426,0.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,93,9,pair_14,1,4,1120,896,480,896,1,3,1,838,2.0,2.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,94,9,pair_13,1,3,800,896,1120,128,1,2,1,1519,2.0,0.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,3,98,9,pair_23,2,3,480,128,480,896,2,1,1,1190,1.0,1.0
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,5,10,pair_45,4,5,480,896,1120,128,4,1,1,2228,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,6,10,pair_12,1,2,800,640,1120,384,1,1,1,902,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,9,11,pair_45,4,5,800,128,1120,640,4,1,1,950,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,14,10,pair_24,2,4,160,896,480,128,2,2,1,1236,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,17,12,pair_45,4,5,480,384,160,128,4,1,1,1913,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,19,10,pair_13,1,3,1120,896,160,128,1,2,1,583,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,20,10,pair_15,1,5,480,384,1120,128,1,4,1,755,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,21,11,pair_15,1,5,1120,384,800,896,1,4,1,895,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,26,10,pair_25,2,5,480,128,1120,896,2,3,1,1113,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,30,11,pair_25,2,5,800,640,160,384,2,3,1,1467,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,31,10,pair_14,1,4,800,384,160,128,1,3,1,862,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,36,11,pair_24,2,4,800,128,160,640,2,2,1,1066,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,39,10,pair_34,3,4,1120,896,160,384,3,1,1,3725,3.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,44,11,pair_14,1,4,800,128,480,128,1,3,1,841,0.0,
