"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"participant","name of the participant"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study - tonkean_macaque/ brown_capuchin/bonobo/chimpanzee/gorilla/orangutan"
"session","set of trials - mostly occurring on the same day - usually numerical"
"lotterie","Variable referring to the type of reward constellation they gamble for. There were 18 lotteries. Each lotterie is composed of 6 cups with different reward quantities. Each lotterie thus differs in the probability to win a reward and the expected value of the reward"
"exchange_1-yes_0-no","Variable referring to whether they exchanged their initial reward on a given trial to gamble and received the content of one of the six cups"
"expected_value","Variable referring to the volume of the expected reward multiplied by the chances of obtaining the rewards. See explanation in Table 1 of the publication"
"outcomepreceedingtype","Variable referring to whether they are losing or winning over the previous trial. -1 refers to instances in which they exchanged the medium reward at the previous trial and obtained a smaller reward. 0 refers to instances in which they exchanged the medium reward at the previous trial and obtained the same, or they did not exchange rewards and kept the same reward. +1 refers to instances in which they exchanged the medium reward at the previous trial and obtained a larger reward"
"outcomecumulatedtype","Variable referring to the cumulative sum of rewards obtained over trials"
