study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,condition,food,location,choice,trade,tested_fully,give_empty_tubes_back,comments
kanngiesser2011limits,1,food,2008,3,11,ulla,30,f,chimpanzee,initial_choice,banana,left,pellet,,no,,
kanngiesser2011limits,1,food,2008,3,11,ulla,30,f,chimpanzee,trading_control_1,banana,,,no_trade,no,,
kanngiesser2011limits,1,food,2008,3,11,ulla,30,f,chimpanzee,trading_control_2,pellet,,,trade,no,,
kanngiesser2011limits,1,food,2008,3,21,swela,12,f,chimpanzee,initial_choice,banana,left,banana,,yes,,
kanngiesser2011limits,1,food,2008,3,21,swela,12,f,chimpanzee,trading_control_1,pellet,,,trade,yes,,doesn't_eat_pellet
kanngiesser2011limits,1,food,2008,3,21,swela,12,f,chimpanzee,trading_control_2,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,3,22,frodo,14,m,chimpanzee,initial_choice,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,3,22,frodo,14,m,chimpanzee,trading_control_1,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,3,22,frodo,14,m,chimpanzee,trading_control_2,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,3,22,natascha,28,f,chimpanzee,initial_choice,banana,left,banana,,yes,,
kanngiesser2011limits,1,food,2008,3,22,natascha,28,f,chimpanzee,trading_control_1,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,3,22,natascha,28,f,chimpanzee,trading_control_2,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,3,22,swela,12,f,chimpanzee,identical_trial_b,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,3,23,frodo,14,m,chimpanzee,endowment_trial_b,,,,no_trade,yes,yes,puts_through_underneath
kanngiesser2011limits,1,food,2008,3,23,natascha,28,f,chimpanzee,endowment_trial_b,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,3,23,swela,12,f,chimpanzee,endowment_trial_b,,,,trade,yes,yes,doesn't_want_to_eat_pellet
kanngiesser2011limits,1,food,2008,3,24,frodo,14,m,chimpanzee,identical_trial_b,,,,no_trade,yes,yes,
