study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,condition,food,location,choice,trade,tested_fully,give_empty_tubes_back,comments
kanngiesser2011limits,1,food,2008,4,28,alexandra,8,f,chimpanzee,initial_choice,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,28,alexandra,8,f,chimpanzee,trading_control_1,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,28,alexandra,8,f,chimpanzee,trading_control_2,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,28,alex,7,m,chimpanzee,initial_choice,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,28,alex,7,m,chimpanzee,trading_control_1,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,28,alex,7,m,chimpanzee,trading_control_2,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,29,bimbo,27,m,orangutan,identical_trial_p,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,4,29,pini,19,f,orangutan,identical_trial_b,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,4,30,bimbo,27,m,orangutan,trading_control_3,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,30,bimbo,27,m,orangutan,trading_control_4,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,30,bimbo,27,m,orangutan,choice_trial_1,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,30,bimbo,27,m,orangutan,choice_trial_2,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,30,bimbo,27,m,orangutan,choice_trial_3,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,30,bimbo,27,m,orangutan,choice_trial_4,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,30,pini,19,f,orangutan,trading_control_3,pellet,,,no_trade,yes,,
kanngiesser2011limits,1,food,2008,4,30,pini,19,f,orangutan,trading_control_4,banana,,,no_trade,yes,,
kanngiesser2011limits,1,food,2008,4,30,pini,19,f,orangutan,choice_trial_1,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,30,pini,19,f,orangutan,choice_trial_2,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,30,pini,19,f,orangutan,choice_trial_3,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,30,pini,19,f,orangutan,choice_trial_4,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,5,3,annett,8,f,chimpanzee,initial_choice,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,5,3,annett,8,f,chimpanzee,trading_control_1,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,5,3,annett,8,f,chimpanzee,trading_control_2,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,5,3,alexandra,8,f,chimpanzee,identical_trial_b,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,5,3,alex,7,m,chimpanzee,identical_trial_b,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,5,6,annett,8,f,chimpanzee,identical_trial_b,,,,no_trade,yes,yes,gives_tube_back
kanngiesser2011limits,1,food,2008,5,6,alexandra,8,f,chimpanzee,endowment_trial_p,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,5,6,alex,7,m,chimpanzee,identical_trial_p,,,,trade,yes,yes,"traded,_so_scored_after_trade,_wandered_off_with_tube_so_couldn't_really_see_time"
kanngiesser2011limits,1,food,2008,5,7,fifi,14,f,chimpanzee,initial_choice,banana,left,pellet,,no,,
kanngiesser2011limits,1,food,2008,5,7,fifi,14,f,chimpanzee,trading_control_1,banana,,,no_trade,no,,
kanngiesser2011limits,1,food,2008,5,7,fifi,14,f,chimpanzee,trading_control_2,pellet,,,,no,,unyoro_got_tube
kanngiesser2011limits,1,food,2008,5,8,annett,8,f,chimpanzee,identical_trial_p,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,5,8,alexandra,8,f,chimpanzee,endowment_trial_b,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,5,8,alex,7,m,chimpanzee,endowment_trial_b,,,,trade,yes,yes,
kanngiesser2011limits,1,food,2008,5,12,annett,8,f,chimpanzee,endowment_trial_p,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,5,12,alexandra,8,f,chimpanzee,identical_trial_p,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,5,12,alex,7,m,chimpanzee,endowment_trial_p,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,5,14,annett,8,f,chimpanzee,endowment_trial_b,,,,trade,yes,yes,
kanngiesser2011limits,1,food,2008,5,14,alexandra,8,f,chimpanzee,trading_control_3,banana,,,no_trade,yes,,
kanngiesser2011limits,1,food,2008,5,14,alexandra,8,f,chimpanzee,trading_control_4,pellet,,,no_trade,yes,,
kanngiesser2011limits,1,food,2008,5,14,alexandra,8,f,chimpanzee,choice_trial_1,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,5,14,alexandra,8,f,chimpanzee,choice_trial_2,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,5,14,alexandra,8,f,chimpanzee,choice_trial_3,banana,right,pellet,,yes,,
