study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,condition,tool,location,choice,trade,tested_fully,comments
kanngiesser2011limits,2,tool,2008,3,11,fraukje,31,f,chimpanzee,functional_for_nonfunctional_2,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,11,frodo,14,m,chimpanzee,identical_trial_tool_b,,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,3,11,natascha,27,f,chimpanzee,identical_trial_tool_b,,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,3,11,patrick,10,m,chimpanzee,familiarization_trial_1,wooden_tool,left,,,no,doesn't_take_food
kanngiesser2011limits,2,tool,2008,3,11,patrick,10,m,chimpanzee,familiarization_trial_2,plastic_tool,right,,,no,doesn't_take_food
kanngiesser2011limits,2,tool,2008,3,11,patrick,10,m,chimpanzee,familiarization_trial_3,plastic_tool,left,,,no,
kanngiesser2011limits,2,tool,2008,3,11,patrick,10,m,chimpanzee,familiarization_trial_4,wooden_tool,right,,,no,
kanngiesser2011limits,2,tool,2008,3,11,patrick,10,m,chimpanzee,initial_choice,wooden_tool,right,,,no,
kanngiesser2011limits,2,tool,2008,3,11,patrick,10,m,chimpanzee,trading_control_1,plastic_tool,,,no_trade,no,
kanngiesser2011limits,2,tool,2008,3,11,patrick,10,m,chimpanzee,trading_control_2,wooden_tool,,,trade,no,
kanngiesser2011limits,2,tool,2008,3,11,pia,8,f,chimpanzee,functional_for_nonfunctional_1,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,11,pia,8,f,chimpanzee,functional_for_nonfunctional_2,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,11,riet,30,f,chimpanzee,identical_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,11,sandra,14,f,chimpanzee,functional_for_nonfunctional_1,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,11,sandra,14,f,chimpanzee,functional_for_nonfunctional_2,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,11,tai,5,f,chimpanzee,identical_trial_tool_a,,,,no_trade,yes,plays_with_tool
kanngiesser2011limits,2,tool,2008,3,12,frodo,14,m,chimpanzee,endowment_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,12,natascha,27,f,chimpanzee,identical_trial_tool_a,,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,3,12,riet,30,f,chimpanzee,endowment_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,12,swela,12,f,chimpanzee,familiarization_trial_1,,,,,no,
kanngiesser2011limits,2,tool,2008,3,12,swela,12,f,chimpanzee,familiarization_trial_2,,,,,no,
kanngiesser2011limits,2,tool,2008,3,12,swela,12,f,chimpanzee,initial_choice,wooden_tool,right,b,,no,
