study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,condition,tool,location,choice,trade,tested_fully,comments
kanngiesser2011limits,2,tool,2008,3,31,pini,19,f,orangutan,trading_control_1,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,31,pini,19,f,orangutan,trading_control_2,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,1,dokana,19,f,orangutan,identical_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,1,padana,10,f,orangutan,identical_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,1,joey,25,m,bonobo,identical_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,1,kuno,11,m,bonobo,endowment_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,1,bimbo,27,m,orangutan,identical_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,1,pini,19,f,orangutan,identical_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,2,dokana,19,f,orangutan,endowment_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,2,padana,10,f,orangutan,endowment_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,2,joey,25,m,bonobo,endowment_trial_tool_b,,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,4,2,kuno,11,m,bonobo,identical_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,2,bimbo,27,m,orangutan,endowment_trial_tool_b,,,,trade,yes,"no_food,_padana_in_neighbour_cage_gets_tool"
kanngiesser2011limits,2,tool,2008,4,2,pini,19,f,orangutan,endowment_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,3,dokana,19,f,orangutan,identical_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,3,padana,10,f,orangutan,endowment_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,3,joey,25,m,bonobo,trading_control_3,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,3,joey,25,m,bonobo,trading_control_4,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,3,joey,25,m,bonobo,choice_trial_1,wooden_tool,right,,,yes,side_bias!
kanngiesser2011limits,2,tool,2008,4,3,joey,25,m,bonobo,choice_trial_2,wooden_tool,left,,,yes,side_bias!
kanngiesser2011limits,2,tool,2008,4,3,joey,25,m,bonobo,choice_trial_3,wooden_tool,right,,,yes,side_bias!
kanngiesser2011limits,2,tool,2008,4,3,joey,25,m,bonobo,choice_trial_4,wooden_tool,left,,,yes,side_bias!
kanngiesser2011limits,2,tool,2008,4,3,kuno,11,m,bonobo,trading_control_3,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,3,kuno,11,m,bonobo,trading_control_4,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,3,kuno,11,m,bonobo,choice_trial_1,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,3,kuno,11,m,bonobo,choice_trial_2,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,4,3,kuno,11,m,bonobo,choice_trial_3,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,4,3,kuno,11,m,bonobo,choice_trial_4,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,3,bimbo,27,m,orangutan,endowment_trial_tool_a,,,,trade,yes,no_food_loses_tool
kanngiesser2011limits,2,tool,2008,4,3,pini,19,f,orangutan,identical_trial_tool_b,,,,trade,yes,on_bonobo_food_tape!!
kanngiesser2011limits,2,tool,2008,4,4,dokana,19,f,orangutan,endowment_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,4,padana,10,f,orangutan,identical_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,4,joey,25,m,bonobo,functional_for_nonfunctional_1,plastic_tool,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,4,4,joey,25,m,bonobo,functional_for_nonfunctional_2,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,4,kuno,11,m,bonobo,functional_for_nonfunctional_1,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,4,kuno,11,m,bonobo,functional_for_nonfunctional_2,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,4,bimbo,27,m,orangutan,identical_trial_tool_a,,,,trade,yes,gives_tool_back_(not_on_tape)
kanngiesser2011limits,2,tool,2008,4,4,pini,19,f,orangutan,endowment_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,15,dokana,19,f,orangutan,trading_control_3,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,15,dokana,19,f,orangutan,trading_control_4,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,15,dokana,19,f,orangutan,choice_trial_1,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,15,dokana,19,f,orangutan,choice_trial_2,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,15,dokana,19,f,orangutan,choice_trial_3,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,4,15,dokana,19,f,orangutan,choice_trial_4,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,4,15,padana,10,f,orangutan,trading_control_3,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,15,padana,10,f,orangutan,trading_control_4,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,15,padana,10,f,orangutan,choice_trial_1,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,15,padana,10,f,orangutan,choice_trial_2,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,4,15,padana,10,f,orangutan,choice_trial_3,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,15,padana,10,f,orangutan,choice_trial_4,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,4,15,yasa,10,f,bonobo,familiarization_trial_1,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,15,yasa,10,f,bonobo,familiarization_trial_2,plastic_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,4,15,yasa,10,f,bonobo,initial_choice,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,4,15,yasa,10,f,bonobo,trading_control_1,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,15,yasa,10,f,bonobo,trading_control_2,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,15,limbuko,12,m,bonobo,familiarization_trial_1,plastic_tool,right,,,no,
