study_id,year,month,day,participant,age_in_years,sex,species,trial,nice_percentage,nasty_percentage,first_shown
russell2008image,,,,dorien,,f,chimpanzee,average_percentage_of_time_spent_at_window_across_trials,42.5,33.75,
russell2008image,2004,09,21,dunja,31.0,f,orangutan,1,20.0,80.0,1.0
russell2008image,2004,09,21,dunja,31.0,f,orangutan,2,85.0,15.0,1.0
russell2008image,2004,09,23,dunja,31.0,f,orangutan,3,100.0,0.0,2.0
russell2008image,2004,09,23,dunja,31.0,f,orangutan,4,90.0,10.0,2.0
russell2008image,,,,dunja,,f,orangutan,average_percentage_of_time_spent_at_window_across_trials,73.75,26.25,
russell2008image,2004,09,11,fifi,11.0,f,chimpanzee,1,0.0,15.0,2.0
russell2008image,2004,09,11,fifi,11.0,f,chimpanzee,2,0.0,10.0,2.0
russell2008image,2004,09,12,fifi,11.0,f,chimpanzee,3,5.0,0.0,1.0
russell2008image,2004,09,12,fifi,11.0,f,chimpanzee,4,10.0,10.0,1.0
russell2008image,,,,fifi,,f,chimpanzee,average_percentage_of_time_spent_at_window_across_trials,3.75,8.75,
russell2008image,2004,09,11,fraukje,28.0,f,chimpanzee,1,40.0,10.0,2.0
russell2008image,2004,09,11,fraukje,28.0,f,chimpanzee,2,45.0,5.0,2.0
russell2008image,2004,09,12,fraukje,28.0,f,chimpanzee,3,54.84,45.16,1.0
russell2008image,2004,09,12,fraukje,28.0,f,chimpanzee,4,10.0,0.0,1.0
russell2008image,,,,fraukje,,f,chimpanzee,average_percentage_of_time_spent_at_window_across_trials,37.46,15.04,
russell2008image,2004,09,12,frodo,10.0,m,chimpanzee,1,20.0,20.0,2.0
russell2008image,2004,09,12,frodo,10.0,m,chimpanzee,2,25.0,30.0,2.0
russell2008image,2004,09,12,frodo,10.0,m,chimpanzee,3,15.0,10.0,1.0
russell2008image,2004,09,12,frodo,10.0,m,chimpanzee,4,40.0,0.0,1.0
russell2008image,,,,frodo,,m,chimpanzee,average_percentage_of_time_spent_at_window_across_trials,25.0,15.0,
russell2008image,2004,09,10,gertrudia,11.0,f,chimpanzee,1,25.0,15.0,1.0
russell2008image,2004,09,10,gertrudia,11.0,f,chimpanzee,2,20.0,0.0,1.0
russell2008image,2004,09,12,gertrudia,11.0,f,chimpanzee,3,5.0,10.0,1.0
russell2008image,2004,09,12,gertrudia,11.0,f,chimpanzee,4,25.0,5.0,1.0
russell2008image,,,,gertrudia,,f,chimpanzee,average_percentage_of_time_spent_at_window_across_trials,18.75,7.5,
russell2008image,2004,09,28,gorgo,23.0,m,gorilla,1,,,1.0
russell2008image,2004,09,28,gorgo,23.0,m,gorilla,2,100.0,0.0,1.0
russell2008image,2004,09,28,gorgo,23.0,m,gorilla,3,0.0,0.0,1.0
russell2008image,2004,12,23,gorgo,23.0,m,gorilla,4,,,1.0
russell2008image,,,,gorgo,,m,gorilla,average_percentage_of_time_spent_at_window_across_trials,33.33333333,0.0,
russell2008image,2004,09,10,jahaga,11.0,f,chimpanzee,1,65.0,35.0,2.0
russell2008image,2004,09,10,jahaga,11.0,f,chimpanzee,2,13.04,86.96,2.0
russell2008image,2004,09,12,jahaga,11.0,f,chimpanzee,3,30.0,0.0,2.0
russell2008image,2004,09,12,jahaga,11.0,f,chimpanzee,4,85.0,0.0,2.0
russell2008image,,,,jahaga,,f,chimpanzee,average_percentage_of_time_spent_at_window_across_trials,48.26,30.49,
russell2008image,2004,07,29,joey,21.0,m,bonobo,1,100.0,0.0,1.0
russell2008image,2004,07,29,joey,21.0,m,bonobo,2,0.0,100.0,1.0
russell2008image,2004,07,30,joey,21.0,m,bonobo,3,100.0,0.0,2.0
russell2008image,2004,07,30,joey,21.0,m,bonobo,4,100.0,0.0,2.0
russell2008image,,,,joey,,m,bonobo,average_percentage_of_time_spent_at_window_across_trials,75.0,25.0,
russell2008image,2004,07,29,kuno,7.0,m,bonobo,1,70.0,30.0,1.0
russell2008image,2004,07,29,kuno,7.0,m,bonobo,2,100.0,0.0,1.0
russell2008image,2004,07,30,kuno,7.0,m,bonobo,3,75.0,20.0,2.0
russell2008image,2004,07,30,kuno,7.0,m,bonobo,4,45.0,5.0,2.0
russell2008image,,,,kuno,,m,bonobo,average_percentage_of_time_spent_at_window_across_trials,72.5,13.75,
russell2008image,2004,07,29,limbuko,8.0,m,bonobo,1,30.0,70.0,1.0
russell2008image,2004,07,29,limbuko,8.0,m,bonobo,2,35.0,65.0,1.0
russell2008image,2004,07,30,limbuko,8.0,m,bonobo,3,30.0,40.0,2.0
russell2008image,2004,07,30,limbuko,8.0,m,bonobo,4,15.0,65.0,2.0
russell2008image,,,,limbuko,,m,bonobo,average_percentage_of_time_spent_at_window_across_trials,27.5,60.0,
russell2008image,2004,09,10,natascha,24.0,f,chimpanzee,1,10.0,5.0,2.0
russell2008image,2004,09,10,natascha,24.0,f,chimpanzee,2,5.0,35.0,2.0
russell2008image,2004,09,12,natascha,24.0,f,chimpanzee,3,5.0,5.0,2.0
russell2008image,2004,09,12,natascha,24.0,f,chimpanzee,4,0.0,5.0,2.0
russell2008image,,,,natascha,,f,chimpanzee,average_percentage_of_time_spent_at_window_across_trials,5.0,12.5,
russell2008image,2004,09,18,n’diki,25.0,f,gorilla,1,5.0,85.0,2.0
russell2008image,2004,09,18,n’diki,25.0,f,gorilla,2,100.0,0.0,2.0
russell2008image,2004,09,19,n’diki,25.0,f,gorilla,3,60.0,40.0,1.0
russell2008image,2004,09,19,n’diki,25.0,f,gorilla,4,0.0,100.0,1.0
russell2008image,,,,n’diki,,f,gorilla,average_percentage_of_time_spent_at_window_across_trials,41.25,56.25,
russell2008image,2004,09,21,padana,6.0,f,orangutan,1,70.0,30.0,1.0
russell2008image,2004,09,21,padana,6.0,f,orangutan,2,15.0,85.0,1.0
russell2008image,2004,09,23,padana,6.0,f,orangutan,3,30.0,30.0,2.0
russell2008image,2004,09,23,padana,6.0,f,orangutan,4,70.0,30.0,2.0
