"column_name","description"
"study_id","personal study ID composed by the first authors - first surname_year of publication_first title word"
"experiment","number of experiment from publication"
"model_name","name of data subset - trial_data_glmm03_and_s02 -  model specification was  identical to GLMM 03 but  food distraction condition was not included. The analysis was chimpanzees' platform 2 performance of the Different Boxes and Identical Boxes conditions.  "
"participant","name of the participant"
"age_in_years","age presented in years - see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study - chimpanzee"
"species_subgroup","species subgroup at time of data collection - WKPRC chimpanzee group a or b/ etc"
"phase","stimuli used -feature/space or feature and space (feature_space)"
"phase_temp","stimuli used -feature/space or feature and space (feature_space)"
"session_overall","number session over all phases "
"trial_number","trial number within sessions containing the same number of boxes"
"condition","db - Different boxes/ id- Identical boxes / fd -Food Distraction "
"session_within_condition","number of session within the same condition presented "
"order","“order in which study-	specific conditions were presented-order of the conditions coded for instance as as ""fd_ib_db"" “"
"order2","order in which study-	specific conditions were presented- order of the conditions numeric"
"number_boxes","number of boxes presented on each platform"
"p1p2_trial_correct","whether apes emptied all boxes in a trial across both platforms without any redundant search or not"
"redundant_searches","number of repeated choices within the same trial across both platforms"
"p1_trial_correct","whether apes emptied all boxes in a trial on platform 1 without any redundant search or not"
"p1_redundant_searches","number of repeated choices within the same trial on platform 1"
"p1_1st","Platform 1 - location of the box that was chosen first"
"p1_2nd","Platform 1 - location of the box that was chosen second"
"p1_2nd_correct","Platform 1 - second chosen box correct (0 = no / 1 = yes)"
"p1_3rd","Platform 1 - location of the box that was chosen third"
"p1_3rd_correct","Platform 1 - third chosen box correct (0 = no / 1 = yes)"
"p1_4th","Platform 1 - location of the box that was chosen fourth"
"p1_4th_correct","Platform 1 - fourth chosen box correct (0 = no / 1 = yes)"
"p2_trial_correct","whether apes emptied all boxes in a trial on platform 2 without any redundant search or not"
"p2_redundant_searches","number of repeated choices within the same trial on platform 2"
"p2_1st","Platform 2 - location of the box that was chosen first"
"p2_2nd","Platform 2 - location of the box that was chosen second"
"p2_2nd_correct","Platform 2 - second chosen box correct (0 = no / 1 = yes)"
"p2_3rd","Platform 2 - location of the box that was chosen third"
"p2_3rd_correct","Platform 2 - third chosen box correct (0 = no / 1 = yes)"
"p2_4th","Platform 2 - location of the box that was chosen fourth"
"p2_4th_correct","Platform 2 - fourth chosen box correct (0 = no / 1 = yes)"
"feature_space_strategy","whether the first 4 choices are unique (no redundant choices) across the 2 platforms (0 = no / 1 = yes) i.e. whether they avoid redundancies across the two platforms"
"same_boxes_strategy","the sum of corresponding box location choices across platforms when switching between platform"
