study_id,experiment,participant,sex,species,session,trial,condition,food_position_center,lateral_point
tauzin2020context,2,alex,m,chimpanzee,3,11,3 hole,nothing_front,0.0
tauzin2020context,2,alex,m,chimpanzee,3,12,3 hole,lq_front,1.0
tauzin2020context,2,bimbo,m,orangutan,1,1,mesh,hq_front,1.0
tauzin2020context,2,bimbo,m,orangutan,1,2,mesh,nothing_front,0.0
tauzin2020context,2,bimbo,m,orangutan,1,3,mesh,nothing_front,0.0
tauzin2020context,2,bimbo,m,orangutan,1,4,mesh,lq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,1,5,mesh,hq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,1,6,mesh,lq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,1,7,mesh,lq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,1,8,mesh,nothing_front,0.0
tauzin2020context,2,bimbo,m,orangutan,1,9,mesh,hq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,1,10,mesh,lq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,1,11,mesh,nothing_front,1.0
tauzin2020context,2,bimbo,m,orangutan,1,12,mesh,hq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,2,1,intact,hq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,2,2,intact,lq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,2,3,intact,hq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,2,4,intact,nothing_front,0.0
tauzin2020context,2,bimbo,m,orangutan,2,5,intact,lq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,2,6,intact,nothing_front,0.0
tauzin2020context,2,bimbo,m,orangutan,2,7,intact,hq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,2,8,intact,hq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,2,9,intact,nothing_front,0.0
tauzin2020context,2,bimbo,m,orangutan,2,10,intact,nothing_front,0.0
tauzin2020context,2,bimbo,m,orangutan,2,11,intact,lq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,2,12,intact,lq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,3,1,3 hole,lq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,3,2,3 hole,hq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,3,3,3 hole,hq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,3,4,3 hole,nothing_front,0.0
tauzin2020context,2,bimbo,m,orangutan,3,5,3 hole,lq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,3,6,3 hole,nothing_front,0.0
tauzin2020context,2,bimbo,m,orangutan,3,7,3 hole,hq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,3,8,3 hole,lq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,3,9,3 hole,nothing_front,0.0
tauzin2020context,2,bimbo,m,orangutan,3,10,3 hole,lq_front,0.0
tauzin2020context,2,bimbo,m,orangutan,3,11,3 hole,nothing_front,0.0
tauzin2020context,2,bimbo,m,orangutan,3,12,3 hole,hq_front,0.0
tauzin2020context,2,dokana,f,orangutan,1,1,mesh,hq_front,0.0
tauzin2020context,2,dokana,f,orangutan,1,2,mesh,nothing_front,0.0
tauzin2020context,2,dokana,f,orangutan,1,3,mesh,hq_front,0.0
tauzin2020context,2,dokana,f,orangutan,1,4,mesh,nothing_front,0.0
tauzin2020context,2,dokana,f,orangutan,1,5,mesh,lq_front,0.0
tauzin2020context,2,dokana,f,orangutan,1,6,mesh,lq_front,0.0
tauzin2020context,2,dokana,f,orangutan,1,7,mesh,hq_front,0.0
tauzin2020context,2,dokana,f,orangutan,1,8,mesh,lq_front,0.0
tauzin2020context,2,dokana,f,orangutan,1,9,mesh,nothing_front,0.0
tauzin2020context,2,dokana,f,orangutan,1,10,mesh,hq_front,0.0
tauzin2020context,2,dokana,f,orangutan,1,11,mesh,lq_front,0.0
tauzin2020context,2,dokana,f,orangutan,1,12,mesh,nothing_front,0.0
tauzin2020context,2,dokana,f,orangutan,2,1,intact,lq_front,0.0
tauzin2020context,2,dokana,f,orangutan,2,2,intact,lq_front,0.0
tauzin2020context,2,dokana,f,orangutan,2,3,intact,nothing_front,0.0
tauzin2020context,2,dokana,f,orangutan,2,4,intact,hq_front,0.0
tauzin2020context,2,dokana,f,orangutan,2,5,intact,nothing_front,0.0
tauzin2020context,2,dokana,f,orangutan,2,6,intact,hq_front,0.0
tauzin2020context,2,dokana,f,orangutan,2,7,intact,hq_front,0.0
tauzin2020context,2,dokana,f,orangutan,2,8,intact,lq_front,0.0
tauzin2020context,2,dokana,f,orangutan,2,9,intact,hq_front,0.0
tauzin2020context,2,dokana,f,orangutan,2,10,intact,lq_front,0.0
tauzin2020context,2,dokana,f,orangutan,2,11,intact,nothing_front,0.0
tauzin2020context,2,dokana,f,orangutan,2,12,intact,nothing_front,0.0
tauzin2020context,2,dokana,f,orangutan,3,1,3 hole,hq_front,0.0
tauzin2020context,2,dokana,f,orangutan,3,2,3 hole,hq_front,0.0
tauzin2020context,2,dokana,f,orangutan,3,3,3 hole,lq_front,0.0
tauzin2020context,2,dokana,f,orangutan,3,4,3 hole,nothing_front,0.0
tauzin2020context,2,dokana,f,orangutan,3,5,3 hole,lq_front,0.0
tauzin2020context,2,dokana,f,orangutan,3,6,3 hole,nothing_front,0.0
