study_id,experiment,participant,sex,species,session,trial,condition,position_hole,hq_food,indicated,bent,plexi,modified_point
tauzin2020context,1,alex,m,chimpanzee,2,12,hq_blocked,left,right,1.0,0.0,1.0,1.0
tauzin2020context,1,alex,m,chimpanzee,3,1,hq_blocked,right,left,1.0,0.0,1.0,1.0
tauzin2020context,1,alex,m,chimpanzee,3,2,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,alex,m,chimpanzee,3,3,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,alex,m,chimpanzee,3,4,hq_blocked,right,left,1.0,0.0,1.0,1.0
tauzin2020context,1,alex,m,chimpanzee,3,5,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,alex,m,chimpanzee,3,6,hq_blocked,right,left,1.0,0.0,1.0,1.0
tauzin2020context,1,alex,m,chimpanzee,3,7,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,alex,m,chimpanzee,3,8,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,alex,m,chimpanzee,3,9,hq_blocked,right,left,1.0,0.0,1.0,1.0
tauzin2020context,1,alex,m,chimpanzee,3,10,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,alex,m,chimpanzee,3,11,hq_blocked,right,left,1.0,0.0,1.0,1.0
tauzin2020context,1,alex,m,chimpanzee,3,12,hq_blocked,right,left,1.0,0.0,1.0,1.0
tauzin2020context,1,bambari,f,chimpanzee,1,1,lq_blocked,right,right,0.0,1.0,0.0,1.0
tauzin2020context,1,bambari,f,chimpanzee,1,2,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,1,3,hq_blocked,right,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,1,4,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,1,5,hq_blocked,right,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,1,6,hq_blocked,right,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,1,7,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,1,8,hq_blocked,right,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,1,9,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,1,10,hq_blocked,right,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,1,11,hq_blocked,right,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,1,12,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,2,1,both,center,right,1.0,0.0,1.0,1.0
tauzin2020context,1,bambari,f,chimpanzee,2,2,both,center,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,2,3,both,center,right,0.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,2,4,both,center,right,1.0,0.0,1.0,1.0
tauzin2020context,1,bambari,f,chimpanzee,2,5,both,center,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,2,6,both,center,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,2,8,both,center,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,2,9,both,center,right,1.0,1.0,0.0,1.0
tauzin2020context,1,bambari,f,chimpanzee,2,10,both,center,left,0.0,1.0,0.0,1.0
tauzin2020context,1,bambari,f,chimpanzee,2,11,both,center,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,2,12,both,center,right,1.0,1.0,0.0,1.0
tauzin2020context,1,bambari,f,chimpanzee,3,1,hq_blocked,left,right,0.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,3,2,hq_blocked,left,right,0.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,3,3,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,3,4,hq_blocked,left,right,1.0,1.0,0.0,1.0
tauzin2020context,1,bambari,f,chimpanzee,3,5,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,3,6,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,3,7,hq_blocked,left,right,0.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,3,8,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,3,9,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,3,10,hq_blocked,left,right,1.0,1.0,0.0,1.0
tauzin2020context,1,bambari,f,chimpanzee,3,11,hq_blocked,left,right,0.0,0.0,0.0,0.0
tauzin2020context,1,bambari,f,chimpanzee,3,12,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,1,1,both,center,right,0.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,1,2,both,center,right,0.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,1,3,both,center,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,1,4,both,center,right,0.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,1,5,both,center,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,1,6,both,center,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,1,7,both,center,right,0.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,1,8,both,center,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,1,9,both,center,right,0.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,1,10,both,center,right,0.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,1,11,both,center,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,1,12,both,center,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,2,1,hq_blocked,left,right,1.0,1.0,0.0,1.0
tauzin2020context,1,bimbo,m,orangutan,2,2,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,2,3,hq_blocked,left,right,1.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,2,4,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,2,5,hq_blocked,left,right,1.0,1.0,0.0,1.0
tauzin2020context,1,bimbo,m,orangutan,2,6,lq_blocked,left,left,0.0,1.0,0.0,1.0
tauzin2020context,1,bimbo,m,orangutan,2,7,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,2,8,hq_blocked,left,right,1.0,1.0,0.0,1.0
tauzin2020context,1,bimbo,m,orangutan,2,9,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,2,10,hq_blocked,left,right,1.0,1.0,0.0,1.0
tauzin2020context,1,bimbo,m,orangutan,2,11,hq_blocked,left,right,1.0,1.0,0.0,1.0
tauzin2020context,1,bimbo,m,orangutan,2,12,lq_blocked,left,left,0.0,1.0,0.0,1.0
tauzin2020context,1,bimbo,m,orangutan,3,1,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,3,2,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,3,3,hq_blocked,right,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,3,4,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,3,5,hq_blocked,right,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,3,6,hq_blocked,right,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,3,7,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,3,8,hq_blocked,right,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,3,9,hq_blocked,right,left,0.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,3,10,lq_blocked,right,right,1.0,0.0,0.0,0.0
