study_id,experiment,participant,age_original,age_in_years,sex,species,session,trial,contingency,condition,order,continuous_strip,choice,correct
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,2.0,3.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,left,right,correct
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,2.0,4.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,right,right,incorrect
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,2.0,5.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,left,right,correct
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,2.0,6.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,left,left,incorrect
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,2.0,7.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,right,right,incorrect
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,2.0,8.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,right,right,incorrect
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,2.0,9.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,left,right,correct
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,2.0,10.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,right,right,incorrect
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,2.0,11.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,left,right,correct
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,2.0,12.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,left,right,correct
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,3.0,1.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,right,right,incorrect
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,3.0,2.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,left,right,correct
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,3.0,3.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,left,right,correct
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,3.0,4.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,right,right,incorrect
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,3.0,5.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,right,right,incorrect
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,3.0,6.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,left,right,correct
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,3.0,7.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,left,right,correct
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,3.0,8.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,right,right,incorrect
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,3.0,9.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,left,right,correct
albiach2014reversed,2,sandra,192.0,16.0,f,chimpanzee,3.0,10.0,reverse_reward_according_to_not-chosen_strip,paint,second_condition,right,right,incorrect
