study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,housing,code_sticktransfer,condition,exp_contr,towexp_comm,towexpstress,towhelpcomm,towhelpstress
liebal2014does,ari,7.0,m,helper,kraba,9.0,f,victim,orangutan,ari_kraba,sanctuary,0,control_1_no_food,0,,,,
liebal2014does,ari,7.0,m,helper,kraba,9.0,f,victim,orangutan,ari_kraba,sanctuary,0,control_2_no_victim,0,,,,
liebal2014does,mercedes,9.0,f,helper,sabin,7.0,m,victim,orangutan,mercedes_sabin,sanctuary,0,take,1,5.0,0.0,0.0,0.0
liebal2014does,mercedes,9.0,f,helper,sabin,7.0,m,victim,orangutan,mercedes_sabin,sanctuary,0,give,1,1.0,0.0,0.0,0.0
liebal2014does,mercedes,9.0,f,helper,sabin,7.0,m,victim,orangutan,mercedes_sabin,sanctuary,0,control_1_no_food,0,,,,
liebal2014does,mercedes,9.0,f,helper,sabin,7.0,m,victim,orangutan,mercedes_sabin,sanctuary,0,control_2_no_victim,0,,,,
liebal2014does,dokana,20.0,f,helper,kila,9.0,f,victim,orangutan,dokana_kila,zoo,0,take,1,2.0,0.0,2.0,2.0
liebal2014does,dokana,20.0,f,helper,kila,9.0,f,victim,orangutan,dokana_kila,zoo,0,give,1,2.0,0.0,3.0,6.0
liebal2014does,dokana,20.0,f,helper,kila,9.0,f,victim,orangutan,dokana_kila,zoo,0,control_1_no_food,0,,,,
liebal2014does,dokana,20.0,f,helper,kila,9.0,f,victim,orangutan,dokana_kila,zoo,0,control_2_no_victim,0,,,,
liebal2014does,dunja,36.0,f,helper,kila,9.0,f,victim,orangutan,dunja_kila,zoo,0,take,1,1.0,0.0,0.0,0.0
liebal2014does,dunja,36.0,f,helper,kila,9.0,f,victim,orangutan,dunja_kila,zoo,0,give,1,0.0,0.0,0.0,4.0
liebal2014does,dunja,36.0,f,helper,kila,9.0,f,victim,orangutan,dunja_kila,zoo,0,control_1_no_food,0,,,,
liebal2014does,dunja,36.0,f,helper,kila,9.0,f,victim,orangutan,dunja_kila,zoo,0,control_2_no_victim,0,,,,
liebal2014does,padana,11.0,f,helper,kila,9.0,f,victim,orangutan,padana_kila,zoo,1,take,1,1.0,1.0,0.0,1.0
liebal2014does,padana,11.0,f,helper,kila,9.0,f,victim,orangutan,padana_kila,zoo,1,give,1,2.0,1.0,5.0,0.0
liebal2014does,padana,11.0,f,helper,kila,9.0,f,victim,orangutan,padana_kila,zoo,0,control_1_no_food,0,,,,
liebal2014does,padana,11.0,f,helper,kila,9.0,f,victim,orangutan,padana_kila,zoo,0,control_2_no_victim,0,,,,
liebal2014does,dunja,36.0,f,helper,dokana,20.0,f,victim,orangutan,dunja_dokana,zoo,1,take,1,0.0,1.0,0.0,1.0
liebal2014does,dunja,36.0,f,helper,dokana,20.0,f,victim,orangutan,dunja_dokana,zoo,1,give,1,0.0,1.0,0.0,2.0
liebal2014does,dunja,36.0,f,helper,dokana,20.0,f,victim,orangutan,dunja_dokana,zoo,0,control_1_no_food,0,,,,
liebal2014does,dunja,36.0,f,helper,dokana,20.0,f,victim,orangutan,dunja_dokana,zoo,0,control_2_no_victim,0,,,,
liebal2014does,padana,11.0,f,helper,dokana,20.0,f,victim,orangutan,padana_dokana,zoo,1,take,1,3.0,0.0,0.0,1.0
liebal2014does,padana,11.0,f,helper,dokana,20.0,f,victim,orangutan,padana_dokana,zoo,1,give,1,1.0,1.0,0.0,0.0
liebal2014does,padana,11.0,f,helper,dokana,20.0,f,victim,orangutan,padana_dokana,zoo,0,control_1_no_food,0,,,,
liebal2014does,padana,11.0,f,helper,dokana,20.0,f,victim,orangutan,padana_dokana,zoo,0,control_2_no_victim,0,,,,
liebal2014does,pini,21.0,f,helper,dokana,20.0,f,victim,orangutan,pini_dokana,zoo,1,take,1,1.0,1.0,0.0,1.0
liebal2014does,pini,21.0,f,helper,dokana,20.0,f,victim,orangutan,pini_dokana,zoo,1,give,1,0.0,3.0,0.0,1.0
liebal2014does,pini,21.0,f,helper,dokana,20.0,f,victim,orangutan,pini_dokana,zoo,0,control_1_no_food,0,,,,
liebal2014does,pini,21.0,f,helper,dokana,20.0,f,victim,orangutan,pini_dokana,zoo,0,control_2_no_victim,0,,,,
liebal2014does,padana,11.0,f,helper,dunja,36.0,f,victim,orangutan,padana_dunja,zoo,1,take,1,0.0,0.0,1.0,0.0
liebal2014does,padana,11.0,f,helper,dunja,36.0,f,victim,orangutan,padana_dunja,zoo,1,give,1,4.0,0.0,2.0,0.0
liebal2014does,padana,11.0,f,helper,dunja,36.0,f,victim,orangutan,padana_dunja,zoo,0,control_1_no_food,0,,,,
liebal2014does,padana,11.0,f,helper,dunja,36.0,f,victim,orangutan,padana_dunja,zoo,0,control_2_no_victim,0,,,,
liebal2014does,pini,21.0,f,helper,dunja,36.0,f,victim,orangutan,pini_dunja,zoo,1,take,1,0.0,0.0,0.0,0.0
liebal2014does,pini,21.0,f,helper,dunja,36.0,f,victim,orangutan,pini_dunja,zoo,0,give,1,2.0,0.0,2.0,0.0
liebal2014does,pini,21.0,f,helper,dunja,36.0,f,victim,orangutan,pini_dunja,zoo,0,control_1_no_food,0,,,,
liebal2014does,pini,21.0,f,helper,dunja,36.0,f,victim,orangutan,pini_dunja,zoo,0,control_2_no_victim,0,,,,
liebal2014does,bimbo,29.0,m,helper,dunja,36.0,f,victim,orangutan,bimbo_dunja,zoo,0,take,1,1.0,0.0,1.0,0.0
liebal2014does,bimbo,29.0,m,helper,dunja,36.0,f,victim,orangutan,bimbo_dunja,zoo,0,give,1,5.0,0.0,0.0,0.0
liebal2014does,bimbo,29.0,m,helper,dunja,36.0,f,victim,orangutan,bimbo_dunja,zoo,0,control_1_no_food,0,,,,
