"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment","number of experiment from publication"
"participant","name of the participant"
"sex","sex of the participant"
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan"
"session","set of trials - mostly occurring on the same day - usually numerical"
"trial","presentation of the experiment to the ape participants - usually numerical"
"condition","baseline - whether participants were able to use visual cues or scents to detect hidden food/ bite and smell vs smell and bite- whether the order of actions had an effect on the participants choice/ shake vs shake and bite - whether a novel checking behavior (shaking the egg) that differs from the standard behavior influences participant selection between two objects/ smell vs smell and bite- demostrator took the egg and moved it near their nose and smelled it before biting into the egg and after placing the egg back in the container"
"side_start","side where the demonstrator first performed the cues "
"baited_egg","whether the baited egg was placed "
"choice","what the participant chose "
"correct","whether the participant answer was correct "
