study_id,experiment,participant,sex,species,session,trial,condition,side_start,baited_egg,choice,correct
buttelmann2008behavioral,1,robert,m,chimpanzee,1.0,1.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,robert,m,chimpanzee,1.0,2.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,robert,m,chimpanzee,1.0,3.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,robert,m,chimpanzee,1.0,4.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,robert,m,chimpanzee,1.0,5.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,robert,m,chimpanzee,1.0,6.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,fraukje,f,chimpanzee,1.0,1.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,fraukje,f,chimpanzee,1.0,2.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,fraukje,f,chimpanzee,1.0,3.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,fraukje,f,chimpanzee,1.0,4.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,fraukje,f,chimpanzee,1.0,5.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,fraukje,f,chimpanzee,1.0,6.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,jahaga,f,chimpanzee,1.0,1.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,jahaga,f,chimpanzee,1.0,2.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,jahaga,f,chimpanzee,1.0,3.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,jahaga,f,chimpanzee,1.0,4.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,jahaga,f,chimpanzee,1.0,5.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,jahaga,f,chimpanzee,1.0,6.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,pia,f,chimpanzee,1.0,1.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,pia,f,chimpanzee,1.0,2.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,pia,f,chimpanzee,1.0,3.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,pia,f,chimpanzee,1.0,4.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,pia,f,chimpanzee,1.0,5.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,pia,f,chimpanzee,1.0,6.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,gertrudia,f,chimpanzee,1.0,1.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,gertrudia,f,chimpanzee,1.0,2.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,gertrudia,f,chimpanzee,1.0,3.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,gertrudia,f,chimpanzee,1.0,4.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,gertrudia,f,chimpanzee,1.0,5.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,gertrudia,f,chimpanzee,1.0,6.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,patrick,m,chimpanzee,1.0,1.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,patrick,m,chimpanzee,1.0,2.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,patrick,m,chimpanzee,1.0,3.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,patrick,m,chimpanzee,1.0,4.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,patrick,m,chimpanzee,1.0,5.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,patrick,m,chimpanzee,1.0,6.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,fifi,f,chimpanzee,1.0,1.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,fifi,f,chimpanzee,1.0,2.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,fifi,f,chimpanzee,1.0,3.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,fifi,f,chimpanzee,1.0,4.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,fifi,f,chimpanzee,1.0,5.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,fifi,f,chimpanzee,1.0,6.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,riet,f,chimpanzee,1.0,1.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,riet,f,chimpanzee,1.0,2.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,riet,f,chimpanzee,1.0,3.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,riet,f,chimpanzee,1.0,4.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,riet,f,chimpanzee,1.0,5.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,riet,f,chimpanzee,1.0,6.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,sandra,f,chimpanzee,1.0,1.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,sandra,f,chimpanzee,1.0,2.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,sandra,f,chimpanzee,1.0,3.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,sandra,f,chimpanzee,1.0,4.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,sandra,f,chimpanzee,1.0,5.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,sandra,f,chimpanzee,1.0,6.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,natascha,f,chimpanzee,1.0,1.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,natascha,f,chimpanzee,1.0,2.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,natascha,f,chimpanzee,1.0,3.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,natascha,f,chimpanzee,1.0,4.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,natascha,f,chimpanzee,1.0,5.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,natascha,f,chimpanzee,1.0,6.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,frodo,m,chimpanzee,1.0,1.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,frodo,m,chimpanzee,1.0,2.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,frodo,m,chimpanzee,1.0,3.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,frodo,m,chimpanzee,1.0,4.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,frodo,m,chimpanzee,1.0,5.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,frodo,m,chimpanzee,1.0,6.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,brent,m,chimpanzee,1.0,1.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,brent,m,chimpanzee,1.0,2.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,brent,m,chimpanzee,1.0,3.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,brent,m,chimpanzee,1.0,4.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,brent,m,chimpanzee,1.0,5.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,brent,m,chimpanzee,1.0,6.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,ulindi,f,bonobo,1.0,1.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,ulindi,f,bonobo,1.0,2.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,ulindi,f,bonobo,1.0,3.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,ulindi,f,bonobo,1.0,4.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,ulindi,f,bonobo,1.0,5.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,ulindi,f,bonobo,1.0,6.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,joey,m,bonobo,1.0,1.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,joey,m,bonobo,1.0,2.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,joey,m,bonobo,1.0,3.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,joey,m,bonobo,1.0,4.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,joey,m,bonobo,1.0,5.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,joey,m,bonobo,1.0,6.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,limbuko,m,bonobo,1.0,1.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,limbuko,m,bonobo,1.0,2.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,limbuko,m,bonobo,1.0,3.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,limbuko,m,bonobo,1.0,4.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,limbuko,m,bonobo,1.0,5.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,limbuko,m,bonobo,1.0,6.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,kuno,m,bonobo,1.0,1.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,kuno,m,bonobo,1.0,2.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,kuno,m,bonobo,1.0,3.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,kuno,m,bonobo,1.0,4.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,kuno,m,bonobo,1.0,5.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,kuno,m,bonobo,1.0,6.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,gorgo,m,gorilla,1.0,1.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,gorgo,m,gorilla,1.0,2.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,gorgo,m,gorilla,1.0,3.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,gorgo,m,gorilla,1.0,4.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,gorgo,m,gorilla,1.0,5.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,gorgo,m,gorilla,1.0,6.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,n’diki,f,gorilla,1.0,1.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,n’diki,f,gorilla,1.0,2.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,n’diki,f,gorilla,1.0,3.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,n’diki,f,gorilla,1.0,4.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,n’diki,f,gorilla,1.0,5.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,n’diki,f,gorilla,1.0,6.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,n’kwango,m,gorilla,1.0,1.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,n’kwango,m,gorilla,1.0,2.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,n’kwango,m,gorilla,1.0,3.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,n’kwango,m,gorilla,1.0,4.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,n’kwango,m,gorilla,1.0,5.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,n’kwango,m,gorilla,1.0,6.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,bebe,f,gorilla,1.0,1.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,bebe,f,gorilla,1.0,2.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,bebe,f,gorilla,1.0,3.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,bebe,f,gorilla,1.0,4.0,baseline,neither,right,right,yes
buttelmann2008behavioral,1,bebe,f,gorilla,1.0,5.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,bebe,f,gorilla,1.0,6.0,baseline,neither,left,right,no
buttelmann2008behavioral,1,ruby_b'windi,f,gorilla,1.0,1.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,ruby_b'windi,f,gorilla,1.0,2.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,ruby_b'windi,f,gorilla,1.0,3.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,ruby_b'windi,f,gorilla,1.0,4.0,baseline,neither,left,left,yes
buttelmann2008behavioral,1,ruby_b'windi,f,gorilla,1.0,5.0,baseline,neither,right,left,no
buttelmann2008behavioral,1,ruby_b'windi,f,gorilla,1.0,6.0,baseline,neither,left,left,yes
