"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment","number of experiment from publication"
"participant","name of the participant"
"sex","sex of the participant"
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan"
"session","set of trials - mostly occurring on the same day - usually numerical"
"trial","presentation of the experiment to the ape participants - usually numerical"
"condition","smell vs smell and pull apart- demonstrator had taken the egg then smelled it and moved it in front of his body and grasped/ smell vs smell and egg on head- demonstrator examined the egg and moved the egg around the crown of his scalp"
"side_start","side where the demonstrator first performed the cues "
"baited_egg","whether the baited egg was placed"
"choice","what the participant chose"
"correct","whether the participant answer was correct"
