study_id,experiment,experiment_name,participant,age_in_years,sex,species,trial,condition,success,duration_target_spot_in_seconds
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,1,window,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,1,window-control,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,2,under,,60.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,2,under-control,,60.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,3,under-left,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,3,under-left-control,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,4,door,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,4,door-control,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,5,under,,60.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,5,under-control,,60.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,6,window,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,6,window-control,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,7,door,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,7,door-control,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,8,under-left,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,8,under-left-control,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,9,window,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,9,window-control,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,10,under,,60.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,10,under-control,,60.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,11,under-left,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,11,under-left-control,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,12,door,success,2.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,12,door-control,success,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,1,under-left,success,9.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,1,under-left-control,success,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,2,door,no-success,8.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,2,door-control,no-success,38.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,3,under,success,60.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,3,under-control,success,31.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,4,window,,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,4,window-control,,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,5,door,success,36.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,5,door-control,success,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,6,under-left,success,39.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,6,under-left-control,success,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,7,window,,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,7,window-control,,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,8,under,,60.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,8,under-control,,60.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,9,under-left,success,56.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,9,under-left-control,success,38.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,10,door,success,48.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,10,door-control,success,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,11,under,success,60.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,11,under-control,success,56.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,12,window,,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,12,window-control,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,1,under,,60.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,1,under-control,,60.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,2,window,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,2,window-control,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,3,under-left,success,35.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,3,under-left-control,success,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,4,door,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,4,door-control,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,5,window,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,5,window-control,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,6,under,,60.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,6,under-control,,60.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,7,door,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,7,door-control,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,8,under-left,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,8,under-left-control,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,9,under,,60.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,9,under-control,,60.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,10,window,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,10,window-control,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,11,door,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,11,door-control,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,12,under-left,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,12,under-left-control,,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,1,window,,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,1,window-control,,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,2,under,success,13.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,2,under-control,success,4.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,3,door,success,29.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,3,door-control,success,17.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,4,under-left,,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,4,under-left-control,,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,5,under,no-success,14.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,5,under-control,no-success,15.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,6,window,,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,6,window-control,,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,7,under-left,,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,7,under-left-control,,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,8,door,success,7.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,8,door-control,success,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,9,window,success,2.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,9,window-control,success,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,10,under,success,27.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,10,under-control,success,20.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,11,door,,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,11,door-control,,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,12,under-left,,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,12,under-left-control,,0.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,1,under,success,12.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,1,under-control,success,11.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,2,window,no-success,2.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,2,window-control,no-success,13.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,3,under-left,,0.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,3,under-left-control,,0.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,4,door,,8.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,4,door-control,,8.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,5,under,success,16.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,5,under-control,success,9.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,6,window,success,25.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,6,window-control,success,16.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,7,door,success,23.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,7,door-control,success,0.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,8,under-left,success,8.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,8,under-left-control,success,0.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,9,window,success,9.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,9,window-control,success,5.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,10,under,no-success,16.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,10,under-control,no-success,34.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,11,under-left,no-success,0.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,11,under-left-control,no-success,7.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,12,door,,3.0
brauer2005all,2,looking_around,frodo,8.0,m,chimpanzee,12,door-control,,3.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,1,under-left,,0.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,1,under-left-control,,0.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,2,door,,0.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,2,door-control,,0.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,3,window,,0.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,3,window-control,,0.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,4,under,,1.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,4,under-control,,1.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,5,under-left,,0.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,5,under-left-control,,0.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,6,door,,0.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,6,door-control,,0.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,7,under,success,3.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,7,under-control,success,2.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,8,window,,0.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,8,window-control,,0.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,9,door,,0.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,9,door-control,,0.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,10,under-left,,0.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,10,under-left-control,,0.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,11,under,,1.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,11,under-control,,1.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,12,window,,0.0
brauer2005all,2,looking_around,gorgo,20.0,m,gorilla,12,window-control,,0.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,1,under,,60.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,1,under-control,,60.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,2,under-left,,0.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,2,under-left-control,,0.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,3,window,,0.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,3,window-control,,0.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,4,door,success,2.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,4,door-control,success,0.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,5,under-left,,0.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,5,under-left-control,,0.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,6,under,success,60.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,6,under-control,success,4.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,7,door,success,2.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,7,door-control,success,0.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,8,window,,0.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,8,window-control,,0.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,9,under,success,26.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,9,under-control,success,17.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,10,under-left,,0.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,10,under-left-control,,0.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,11,window,,0.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,11,window-control,,0.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,12,door,,0.0
brauer2005all,2,looking_around,joey,19.0,m,bonobo,12,door-control,,0.0
brauer2005all,2,looking_around,kuno,5.0,m,bonobo,1,under-left,,0.0
brauer2005all,2,looking_around,kuno,5.0,m,bonobo,1,under-left-control,,0.0
brauer2005all,2,looking_around,kuno,5.0,m,bonobo,2,under,success,60.0
brauer2005all,2,looking_around,kuno,5.0,m,bonobo,2,under-control,success,43.0
brauer2005all,2,looking_around,kuno,5.0,m,bonobo,3,door,no-success,0.0
brauer2005all,2,looking_around,kuno,5.0,m,bonobo,3,door-control,no-success,5.0
brauer2005all,2,looking_around,kuno,5.0,m,bonobo,4,window,,0.0
brauer2005all,2,looking_around,kuno,5.0,m,bonobo,4,window-control,,0.0
brauer2005all,2,looking_around,kuno,5.0,m,bonobo,5,under,no-success,33.0
brauer2005all,2,looking_around,kuno,5.0,m,bonobo,5,under-control,no-success,60.0
brauer2005all,2,looking_around,kuno,5.0,m,bonobo,6,under-left,,0.0
brauer2005all,2,looking_around,kuno,5.0,m,bonobo,6,under-left-control,,0.0
brauer2005all,2,looking_around,kuno,5.0,m,bonobo,7,window,,0.0
brauer2005all,2,looking_around,kuno,5.0,m,bonobo,7,window-control,,0.0
brauer2005all,2,looking_around,kuno,5.0,m,bonobo,8,door,success,6.0
