"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","gaze of the experimenter - gaze-at-ceiling/ gaze-at-participant"
"reaction","reaction of the participant to the gaze of experimenter – look-up/ not-look-up"
"success","whether the participant succeeded or not with following experimenter gaze – success/ no-success"
