study_id,experiment,experiment_name,participant,age_in_years,sex,species,trial,condition,reaction,success
brauer2005all,1,gaze,annett,2.0,f,chimpanzee,2,gaze-at-subject,not-look-up,success
brauer2005all,1,gaze,annett,2.0,f,chimpanzee,3,gaze-at-ceiling,not-look-up,no-success
brauer2005all,1,gaze,annett,2.0,f,chimpanzee,4,gaze-at-subject,not-look-up,success
brauer2005all,1,gaze,annett,2.0,f,chimpanzee,5,gaze-at-ceiling,not-look-up,no-success
brauer2005all,1,gaze,annett,2.0,f,chimpanzee,6,gaze-at-subject,not-look-up,success
brauer2005all,1,gaze,annett,2.0,f,chimpanzee,7,gaze-at-ceiling,not-look-up,no-success
brauer2005all,1,gaze,annett,2.0,f,chimpanzee,8,gaze-at-subject,not-look-up,success
brauer2005all,1,gaze,annett,2.0,f,chimpanzee,9,gaze-at-ceiling,not-look-up,no-success
brauer2005all,1,gaze,annett,2.0,f,chimpanzee,10,gaze-at-subject,not-look-up,success
brauer2005all,1,gaze,annett,2.0,f,chimpanzee,11,gaze-at-ceiling,not-look-up,no-success
brauer2005all,1,gaze,annett,2.0,f,chimpanzee,12,gaze-at-subject,not-look-up,success
