study_id,experiment,participant,sex,species,phase,trial,condition,ostension,low_point,was_response_accurate,comments
moore2015production,2,raja,f,orangutan,test,13,ostensive_direct_begging,1.0,1.0,,
moore2015production,2,raja,f,orangutan,test,13,ostensive_human_pointing,1.0,0.0,,
moore2015production,2,raja,f,orangutan,test,13,reduced_ostension_direct_begging,0.0,1.0,,
moore2015production,2,raja,f,orangutan,test,14,ostensive_direct_begging,1.0,1.0,no,
moore2015production,2,raja,f,orangutan,test,14,ostensive_human_pointing,1.0,0.0,no,
moore2015production,2,raja,f,orangutan,test,14,reduced_ostension_direct_begging,0.0,1.0,,
moore2015production,2,raja,f,orangutan,test,15,ostensive_direct_begging,1.0,1.0,,
moore2015production,2,raja,f,orangutan,test,15,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,raja,f,orangutan,test,15,reduced_ostension_direct_begging,0.0,1.0,no,
moore2015production,2,raja,f,orangutan,test,16,ostensive_direct_begging,1.0,1.0,no,
moore2015production,2,raja,f,orangutan,test,16,ostensive_human_pointing,1.0,0.0,no,
moore2015production,2,raja,f,orangutan,test,16,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,raja,f,orangutan,test,17,ostensive_direct_begging,1.0,1.0,no,
moore2015production,2,raja,f,orangutan,test,17,ostensive_human_pointing,1.0,0.0,,
moore2015production,2,raja,f,orangutan,test,17,reduced_ostension_direct_begging,0.0,1.0,,
moore2015production,2,raja,f,orangutan,test,18,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,raja,f,orangutan,test,18,ostensive_human_pointing,1.0,0.0,,
moore2015production,2,raja,f,orangutan,test,18,reduced_ostension_direct_begging,0.0,1.0,yes,
