study_id,experiment,participant,sex,role,participant_2,sex_2,role_2,species,dyad,phase,trial,did_bimbo_point,was_point_accurate,did_participants_respond_to_the_side_to_which_bimbo_pointed,response_in_less_than_or_equal_to_10s,comments
moore2015production,1,pini,f,donor,bimbo,m,communicator,orangutan,pini_bimbo,test,18,yes,yes,yes,yes,
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,1,yes,yes,,no,
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,2,yes,yes,yes,yes,
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,3,no,,,,
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,4,yes,yes,,no,slow_response_counted_as_n/a
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,5,yes,yes,yes,yes,
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,6,yes,yes,yes,yes,
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,7,no,,,,
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,8,no,,,,
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,9,no,,,,
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,10,no,,,,
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,11,yes,yes,yes,yes,
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,12,yes,yes ,,no,slow_response_counted_as_n/a
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,13,no,,,,
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,14,no,,,,
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,15,yes,left,no,yes,
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,16,no,,,,
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,17,no,,,,
moore2015production,1,raja,f,donor,bimbo,m,communicator,orangutan,raja_bimbo,test,18,no,,,,
