study_id,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,dyad_sex,species_subgroup,phase,session,trial,condition,pull_left,pull_right,success_left,success_right,efficiency_score,number_grapes_left,number_grapes_right,latency_pull_left,latency_pull_right,min_latency,coordination
sanchez2019chimpanzees,2016,10,2,tai,14,f,focal_participant_right,robert,40,m,focal_participant_left,chimpanzee,tai_robert,mix,a,1,3,2,bot,no,yes,yes,no,2,2,0,15.0,1.64,1.64,no
sanchez2019chimpanzees,2016,10,2,tai,14,f,focal_participant_right,robert,40,m,focal_participant_left,chimpanzee,tai_robert,mix,a,1,3,3,bot,no,yes,yes,yes,2,1,1,15.0,0.6,0.6,no
sanchez2019chimpanzees,2016,10,2,tai,14,f,focal_participant_right,robert,40,m,focal_participant_left,chimpanzee,tai_robert,mix,a,1,3,4,bot,no,yes,yes,no,2,2,0,15.0,1.04,1.04,no
sanchez2019chimpanzees,2016,10,2,tai,14,f,focal_participant_right,robert,40,m,focal_participant_left,chimpanzee,tai_robert,mix,a,1,3,5,bot,no,yes,yes,no,2,2,0,15.0,2.2,2.2,no
sanchez2019chimpanzees,2016,10,2,tai,14,f,focal_participant_right,robert,40,m,focal_participant_left,chimpanzee,tai_robert,mix,a,1,3,6,bot,no,yes,yes,no,2,2,0,15.0,0.0,0,no
sanchez2019chimpanzees,2016,10,2,tai,14,f,focal_participant_right,robert,40,m,focal_participant_left,chimpanzee,tai_robert,mix,a,1,3,7,bot,no,yes,yes,no,2,2,0,15.0,2.32,2.32,no
sanchez2019chimpanzees,2016,10,2,tai,14,f,focal_participant_right,robert,40,m,focal_participant_left,chimpanzee,tai_robert,mix,a,1,3,8,bot,no,yes,yes,no,2,2,0,15.0,0.32,0.32,no
sanchez2019chimpanzees,2016,10,2,frodo,22,m,focal_participant_right,corry,39,f,focal_participant_left,chimpanzee,frodo_corrie,mix,a,1,3,1,top,no,yes,no,yes,2,0,2,15.0,5.6,5.6,no
sanchez2019chimpanzees,2016,10,2,frodo,22,m,focal_participant_right,corry,39,f,focal_participant_left,chimpanzee,frodo_corrie,mix,a,1,3,2,top,no,yes,no,yes,2,0,2,15.0,3.4,3.4,no
sanchez2019chimpanzees,2016,10,2,frodo,22,m,focal_participant_right,corry,39,f,focal_participant_left,chimpanzee,frodo_corrie,mix,a,1,3,3,top,yes,no,no,yes,2,0,2,4.0,15.0,4,no
sanchez2019chimpanzees,2016,10,2,frodo,22,m,focal_participant_right,corry,39,f,focal_participant_left,chimpanzee,frodo_corrie,mix,a,1,3,4,top,no,yes,no,yes,2,0,2,15.0,1.32,1.32,no
sanchez2019chimpanzees,2016,10,2,frodo,22,m,focal_participant_right,corry,39,f,focal_participant_left,chimpanzee,frodo_corrie,mix,a,1,3,5,top,yes,yes,no,yes,2,0,2,4.24,2.96,2.96,no
sanchez2019chimpanzees,2016,10,2,frodo,22,m,focal_participant_right,corry,39,f,focal_participant_left,chimpanzee,frodo_corrie,mix,a,1,3,6,top,yes,yes,yes,no,2,2,0,3.08,3.76,3.08,no
sanchez2019chimpanzees,2016,10,2,frodo,22,m,focal_participant_right,corry,39,f,focal_participant_left,chimpanzee,frodo_corrie,mix,a,1,3,7,top,yes,yes,yes,no,2,2,0,1.24,1.6,1.24,no
sanchez2019chimpanzees,2016,10,2,frodo,22,m,focal_participant_right,corry,39,f,focal_participant_left,chimpanzee,frodo_corrie,mix,a,1,3,8,top,yes,yes,yes,no,2,2,0,0.44,1.52,0.44,no
sanchez2019chimpanzees,2016,10,4,robert,40,m,focal_participant_right,tai,14,f,focal_participant_left,chimpanzee,robert_tai,mix,a,1,4,1,bot,yes,no,no,no,0,0,0,1.4,15.0,1.4,no
sanchez2019chimpanzees,2016,10,4,robert,40,m,focal_participant_right,tai,14,f,focal_participant_left,chimpanzee,robert_tai,mix,a,1,4,2,bot,yes,no,no,yes,2,0,2,2.8,15.0,2.8,no
sanchez2019chimpanzees,2016,10,4,robert,40,m,focal_participant_right,tai,14,f,focal_participant_left,chimpanzee,robert_tai,mix,a,1,4,3,bot,yes,no,no,yes,1,0,1,1.04,15.0,1.04,no
sanchez2019chimpanzees,2016,10,4,robert,40,m,focal_participant_right,tai,14,f,focal_participant_left,chimpanzee,robert_tai,mix,a,1,4,4,bot,yes,no,no,yes,2,0,2,0.84,15.0,0.84,no
sanchez2019chimpanzees,2016,10,4,robert,40,m,focal_participant_right,tai,14,f,focal_participant_left,chimpanzee,robert_tai,mix,a,1,4,5,bot,yes,no,no,yes,2,0,2,3.92,15.0,3.92,no
sanchez2019chimpanzees,2016,10,4,robert,40,m,focal_participant_right,tai,14,f,focal_participant_left,chimpanzee,robert_tai,mix,a,1,4,6,bot,yes,no,no,yes,2,0,2,6.2,15.0,6.2,no
sanchez2019chimpanzees,2016,10,4,robert,40,m,focal_participant_right,tai,14,f,focal_participant_left,chimpanzee,robert_tai,mix,a,1,4,7,bot,yes,no,no,yes,2,0,2,3.04,15.0,3.04,no
