study_id,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,dyad_sex,species_subgroup,phase,session,trial,condition,pull_left,pull_right,success_left,success_right,efficiency_score,number_grapes_left,number_grapes_right,latency_pull_left,latency_pull_right,min_latency,coordination
sanchez2019chimpanzees,2016,9,26,bangolo,7,m,focal_participant_right,sandra,23,f,focal_participant_left,chimpanzee,bangolo_sandra,mix,a,1,1,2,top,yes,no,yes,no,2,2,0,0.02,15.0,0.02,no
sanchez2019chimpanzees,2016,9,26,bangolo,7,m,focal_participant_right,sandra,23,f,focal_participant_left,chimpanzee,bangolo_sandra,mix,a,1,1,3,top,yes,no,yes,no,2,2,0,0.0,15.0,0,no
sanchez2019chimpanzees,2016,9,26,bangolo,7,m,focal_participant_right,sandra,23,f,focal_participant_left,chimpanzee,bangolo_sandra,mix,a,1,1,4,top,yes,no,yes,no,2,2,0,0.22,15.0,0.22,no
sanchez2019chimpanzees,2016,9,26,bangolo,7,m,focal_participant_right,sandra,23,f,focal_participant_left,chimpanzee,bangolo_sandra,mix,a,1,1,5,top,yes,no,yes,no,2,2,0,0.02,15.0,0.02,no
sanchez2019chimpanzees,2016,9,26,bangolo,7,m,focal_participant_right,sandra,23,f,focal_participant_left,chimpanzee,bangolo_sandra,mix,a,1,1,6,top,yes,no,yes,no,2,2,0,0.1,15.0,0.1,no
sanchez2019chimpanzees,2016,9,26,bangolo,7,m,focal_participant_right,sandra,23,f,focal_participant_left,chimpanzee,bangolo_sandra,mix,a,1,1,7,top,yes,no,yes,no,2,2,0,0.0,15.0,0,no
sanchez2019chimpanzees,2016,9,26,bangolo,7,m,focal_participant_right,sandra,23,f,focal_participant_left,chimpanzee,bangolo_sandra,mix,a,1,1,8,top,yes,no,yes,no,2,2,0,0.0,15.0,0,no
sanchez2019chimpanzees,2016,9,27,lome,15,m,focal_participant_right,dorien,35,f,focal_participant_left,chimpanzee,lome_dorien,mix,a,1,2,1,top,no,yes,no,yes,2,0,2,15.0,0.96,0.96,no
sanchez2019chimpanzees,2016,9,27,lome,15,m,focal_participant_right,dorien,35,f,focal_participant_left,chimpanzee,lome_dorien,mix,a,1,2,2,top,no,yes,no,yes,2,0,2,15.0,0.68,0.68,no
sanchez2019chimpanzees,2016,9,27,lome,15,m,focal_participant_right,dorien,35,f,focal_participant_left,chimpanzee,lome_dorien,mix,a,1,2,3,top,no,yes,no,yes,2,0,2,15.0,0.0,0,no
sanchez2019chimpanzees,2016,9,27,lome,15,m,focal_participant_right,dorien,35,f,focal_participant_left,chimpanzee,lome_dorien,mix,a,1,2,4,top,no,yes,no,yes,2,0,2,15.0,0.36,0.36,no
sanchez2019chimpanzees,2016,9,27,lome,15,m,focal_participant_right,dorien,35,f,focal_participant_left,chimpanzee,lome_dorien,mix,a,1,2,5,top,yes,yes,no,yes,2,0,2,1.24,0.56,0.56,no
sanchez2019chimpanzees,2016,9,27,lome,15,m,focal_participant_right,dorien,35,f,focal_participant_left,chimpanzee,lome_dorien,mix,a,1,2,6,top,no,yes,no,yes,2,0,2,15.0,0.16,0.16,no
sanchez2019chimpanzees,2016,9,27,lome,15,m,focal_participant_right,dorien,35,f,focal_participant_left,chimpanzee,lome_dorien,mix,a,1,2,7,top,yes,yes,no,yes,2,0,2,0.6,0.04,0.04,no
sanchez2019chimpanzees,2016,9,27,lome,15,m,focal_participant_right,dorien,35,f,focal_participant_left,chimpanzee,lome_dorien,mix,a,1,2,8,top,yes,yes,no,yes,1,0,1,0.72,0.32,0.32,no
sanchez2019chimpanzees,2016,9,27,robert,40,m,focal_participant_right,tai,14,f,focal_participant_left,chimpanzee,robert_tai,mix,a,1,2,1,bot,no,yes,no,no,0,0,0,15.0,2.4,2.4,no
