study_id,experiment,experiment_name,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,condition,condition_group,order,choice,sum_correct,exp_order,feature,place,comments
kanngiesser2010bonobos,2,table_data,2007,6,12,kuno,10,10,m,bonobo,1,7,training,exp,e1_e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,12,kuno,10,10,m,bonobo,1,8,training,exp,e1_e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,12,kuno,10,10,m,bonobo,1,9,training,exp,e1_e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,12,kuno,10,10,m,bonobo,1,10,training,exp,e1_e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,12,kuno,10,10,m,bonobo,1,11,training,exp,e1_e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,12,kuno,10,10,m,bonobo,1,12,training,exp,e1_e2,correct_baited_location,10.0,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,1,training,exp,e1_e2,trial_not_conducted,,table_floor,100*,0*,did_not_do_6_training_trials_before_test
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,2,training,exp,e1_e2,trial_not_conducted,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,3,training,exp,e1_e2,trial_not_conducted,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,4,training,exp,e1_e2,trial_not_conducted,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,5,training,exp,e1_e2,trial_not_conducted,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,6,training,exp,e1_e2,trial_not_conducted,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,1,test,exp,e1_e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,2,test,exp,e1_e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,3,test,exp,e1_e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,4,test,exp,e1_e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,5,test,exp,e1_e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,6,test,exp,e1_e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,7,test,exp,e1_e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,8,test,exp,e1_e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,9,test,exp,e1_e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,10,test,exp,e1_e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,11,test,exp,e1_e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,14,kuno,10,10,m,bonobo,2,12,test,exp,e1_e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,limbuko,11,11,m,bonobo,1,1,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,21,limbuko,11,11,m,bonobo,1,2,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,21,limbuko,11,11,m,bonobo,1,3,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,21,limbuko,11,11,m,bonobo,1,4,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,21,limbuko,11,11,m,bonobo,1,5,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,21,limbuko,11,11,m,bonobo,1,6,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,21,limbuko,11,11,m,bonobo,1,7,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,21,limbuko,11,11,m,bonobo,1,8,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,21,limbuko,11,11,m,bonobo,1,9,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,21,limbuko,11,11,m,bonobo,1,10,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,21,limbuko,11,11,m,bonobo,1,11,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,21,limbuko,11,11,m,bonobo,1,12,training,exp,e1_e2,incorrect_nonbaited_location,4.0,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,22,limbuko,11,11,m,bonobo,2,1,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,22,limbuko,11,11,m,bonobo,2,2,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,22,limbuko,11,11,m,bonobo,2,3,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,22,limbuko,11,11,m,bonobo,2,4,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,22,limbuko,11,11,m,bonobo,2,5,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,22,limbuko,11,11,m,bonobo,2,6,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,22,limbuko,11,11,m,bonobo,2,7,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,22,limbuko,11,11,m,bonobo,2,8,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,22,limbuko,11,11,m,bonobo,2,9,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,22,limbuko,11,11,m,bonobo,2,10,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,22,limbuko,11,11,m,bonobo,2,11,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,22,limbuko,11,11,m,bonobo,2,12,training,exp,e1_e2,incorrect_nonbaited_location,6.0,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,28,limbuko,11,11,m,bonobo,3,1,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,28,limbuko,11,11,m,bonobo,3,2,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,28,limbuko,11,11,m,bonobo,3,3,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,28,limbuko,11,11,m,bonobo,3,4,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,28,limbuko,11,11,m,bonobo,3,5,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,28,limbuko,11,11,m,bonobo,3,6,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,28,limbuko,11,11,m,bonobo,3,7,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,28,limbuko,11,11,m,bonobo,3,8,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,28,limbuko,11,11,m,bonobo,3,9,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,28,limbuko,11,11,m,bonobo,3,10,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,28,limbuko,11,11,m,bonobo,3,11,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,28,limbuko,11,11,m,bonobo,3,12,training,exp,e1_e2,correct_baited_location,9.0,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,3,limbuko,11,11,m,bonobo,4,1,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,3,limbuko,11,11,m,bonobo,4,2,training,exp,e1_e2,incorrect_nonbaited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,3,limbuko,11,11,m,bonobo,4,3,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,3,limbuko,11,11,m,bonobo,4,4,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,3,limbuko,11,11,m,bonobo,4,5,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,3,limbuko,11,11,m,bonobo,4,6,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,3,limbuko,11,11,m,bonobo,4,7,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,3,limbuko,11,11,m,bonobo,4,8,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,3,limbuko,11,11,m,bonobo,4,9,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,3,limbuko,11,11,m,bonobo,4,10,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,3,limbuko,11,11,m,bonobo,4,11,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,3,limbuko,11,11,m,bonobo,4,12,training,exp,e1_e2,correct_baited_location,10.0,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,1,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
