study_id,experiment,experiment_name,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,condition,exp_group,order,choice,sum_correct,feature,place
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,joey,24,25,m,bonobo,2,1,test,learn,e1_e2,feature,,100*,0
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,joey,24,25,m,bonobo,2,2,test,learn,e1_e2,feature,,100*,0
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,joey,24,25,m,bonobo,2,3,test,learn,e1_e2,feature,,100*,0
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,joey,24,25,m,bonobo,2,4,test,learn,e1_e2,feature,,100*,0
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,joey,24,25,m,bonobo,2,5,test,learn,e1_e2,feature,,100*,0
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,joey,24,25,m,bonobo,2,6,test,learn,e1_e2,feature,,100*,0
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,joey,24,25,m,bonobo,2,7,test,learn,e1_e2,feature,,100*,0
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,joey,24,25,m,bonobo,2,8,test,learn,e1_e2,feature,,100*,0
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,joey,24,25,m,bonobo,2,9,test,learn,e1_e2,feature,,100*,0
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,joey,24,25,m,bonobo,2,10,test,learn,e1_e2,feature,,100*,0
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,joey,24,25,m,bonobo,2,11,test,learn,e1_e2,feature,,100*,0
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,joey,24,25,m,bonobo,2,12,test,learn,e1_e2,feature,,100*,0
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,ulindi,13,14,f,bonobo,1,1,training,learn,e2,search_nonbaited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,ulindi,13,14,f,bonobo,1,2,training,learn,e2,search_nonbaited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,ulindi,13,14,f,bonobo,1,3,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,ulindi,13,14,f,bonobo,1,4,training,learn,e2,search_nonbaited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,ulindi,13,14,f,bonobo,1,5,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,ulindi,13,14,f,bonobo,1,6,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,ulindi,13,14,f,bonobo,1,7,training,learn,e2,search_nonbaited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,ulindi,13,14,f,bonobo,1,8,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,ulindi,13,14,f,bonobo,1,9,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,ulindi,13,14,f,bonobo,1,10,training,learn,e2,search_nonbaited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,ulindi,13,14,f,bonobo,1,11,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,ulindi,13,14,f,bonobo,1,12,training,learn,e2,search_baited_location,7.0,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,ulindi,13,14,f,bonobo,2,1,training,learn,e2,search_nonbaited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,ulindi,13,14,f,bonobo,2,2,training,learn,e2,search_nonbaited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,ulindi,13,14,f,bonobo,2,3,training,learn,e2,search_nonbaited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,ulindi,13,14,f,bonobo,2,4,training,learn,e2,search_nonbaited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,ulindi,13,14,f,bonobo,2,5,training,learn,e2,search_nonbaited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,ulindi,13,14,f,bonobo,2,6,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,ulindi,13,14,f,bonobo,2,7,training,learn,e2,search_nonbaited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,ulindi,13,14,f,bonobo,2,8,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,ulindi,13,14,f,bonobo,2,9,training,learn,e2,search_nonbaited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,ulindi,13,14,f,bonobo,2,10,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,ulindi,13,14,f,bonobo,2,11,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,ulindi,13,14,f,bonobo,2,12,training,learn,e2,search_baited_location,5.0,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,ulindi,13,14,f,bonobo,3,1,training,learn,e2,search_nonbaited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,ulindi,13,14,f,bonobo,3,2,training,learn,e2,search_nonbaited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,ulindi,13,14,f,bonobo,3,3,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,ulindi,13,14,f,bonobo,3,4,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,ulindi,13,14,f,bonobo,3,5,training,learn,e2,search_nonbaited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,ulindi,13,14,f,bonobo,3,6,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,ulindi,13,14,f,bonobo,3,7,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,ulindi,13,14,f,bonobo,3,8,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,ulindi,13,14,f,bonobo,3,9,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,ulindi,13,14,f,bonobo,3,10,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,ulindi,13,14,f,bonobo,3,11,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,ulindi,13,14,f,bonobo,3,12,training,learn,e2,search_baited_location,9.0,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,kuno,10,11,m,bonobo,1,1,training,learn_see,e1_e2,search_nonbaited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,kuno,10,11,m,bonobo,1,2,training,learn_see,e1_e2,search_nonbaited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,kuno,10,11,m,bonobo,1,3,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,kuno,10,11,m,bonobo,1,4,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,kuno,10,11,m,bonobo,1,5,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,kuno,10,11,m,bonobo,1,6,training,learn_see,e1_e2,search_baited_location,,100*,0*
