study_id,participant,age_in_years,sex,species,set,condition,first_success,matching_scores
tennie2010two,fraukje,28,f,chimpanzee,2,baseline,1,
tennie2010two,frodo,11,m,chimpanzee,1,full_model,0,
tennie2010two,frodo,11,m,chimpanzee,1,intention,1,0.75
tennie2010two,frodo,11,m,chimpanzee,1,end_state,1,-0.57
tennie2010two,frodo,11,m,chimpanzee,1,baseline,0,
tennie2010two,frodo,11,m,chimpanzee,2,full_model,1,0.58
tennie2010two,frodo,11,m,chimpanzee,2,intention,1,-0.53
tennie2010two,frodo,11,m,chimpanzee,2,end_state,1,-0.42
tennie2010two,frodo,11,m,chimpanzee,2,baseline,0,
tennie2010two,gertrudia,11,f,chimpanzee,1,full_model,0,0.25
tennie2010two,gertrudia,11,f,chimpanzee,1,intention,1,-0.75
tennie2010two,gertrudia,11,f,chimpanzee,1,end_state,1,-0.43
tennie2010two,gertrudia,11,f,chimpanzee,1,baseline,1,
tennie2010two,gertrudia,11,f,chimpanzee,2,full_model,1,0.42
tennie2010two,gertrudia,11,f,chimpanzee,2,intention,1,0.53
tennie2010two,gertrudia,11,f,chimpanzee,2,end_state,1,-0.58
tennie2010two,gertrudia,11,f,chimpanzee,2,baseline,1,
tennie2010two,gorgo,23,m,gorilla,1,full_model,0,
tennie2010two,gorgo,23,m,gorilla,1,intention,0,
tennie2010two,gorgo,23,m,gorilla,1,end_state,0,
tennie2010two,gorgo,23,m,gorilla,1,baseline,0,
tennie2010two,gorgo,23,m,gorilla,2,full_model,,
tennie2010two,gorgo,23,m,gorilla,2,intention,,
tennie2010two,gorgo,23,m,gorilla,2,end_state,,
tennie2010two,gorgo,23,m,gorilla,2,baseline,,
tennie2010two,jahaga,12,f,chimpanzee,1,full_model,1,-0.43
tennie2010two,jahaga,12,f,chimpanzee,1,intention,1,0.8
tennie2010two,jahaga,12,f,chimpanzee,1,end_state,1,0.25
tennie2010two,jahaga,12,f,chimpanzee,1,baseline,1,
tennie2010two,jahaga,12,f,chimpanzee,2,full_model,1,-0.58
tennie2010two,jahaga,12,f,chimpanzee,2,intention,1,-0.11
tennie2010two,jahaga,12,f,chimpanzee,2,end_state,1,0.42
tennie2010two,jahaga,12,f,chimpanzee,2,baseline,1,
tennie2010two,joey,22,m,bonobo,1,full_model,1,0.2
tennie2010two,joey,22,m,bonobo,1,intention,1,0.75
tennie2010two,joey,22,m,bonobo,1,end_state,1,-0.25
tennie2010two,joey,22,m,bonobo,1,baseline,1,
tennie2010two,joey,22,m,bonobo,2,full_model,1,0.11
tennie2010two,joey,22,m,bonobo,2,intention,1,0.58
tennie2010two,joey,22,m,bonobo,2,end_state,1,0.47
tennie2010two,joey,22,m,bonobo,2,baseline,1,
tennie2010two,kuno,8,m,bonobo,1,full_model,1,-0.43
tennie2010two,kuno,8,m,bonobo,1,intention,1,-0.2
tennie2010two,kuno,8,m,bonobo,1,end_state,1,0.25
tennie2010two,kuno,8,m,bonobo,1,baseline,1,
tennie2010two,kuno,8,m,bonobo,2,full_model,1,-0.58
tennie2010two,kuno,8,m,bonobo,2,intention,1,-0.11
tennie2010two,kuno,8,m,bonobo,2,end_state,1,-0.58
tennie2010two,kuno,8,m,bonobo,2,baseline,1,
tennie2010two,limbuko,9,m,bonobo,1,full_model,1,0.75
tennie2010two,limbuko,9,m,bonobo,1,intention,1,0.43
tennie2010two,limbuko,9,m,bonobo,1,end_state,1,0.2
tennie2010two,limbuko,9,m,bonobo,1,baseline,1,
tennie2010two,limbuko,9,m,bonobo,2,full_model,1,0.47
tennie2010two,limbuko,9,m,bonobo,2,intention,1,0.58
tennie2010two,limbuko,9,m,bonobo,2,end_state,1,0.11
tennie2010two,limbuko,9,m,bonobo,2,baseline,1,
tennie2010two,lome,3,m,chimpanzee,1,full_model,1,-0.8
tennie2010two,lome,3,m,chimpanzee,1,intention,0,
tennie2010two,lome,3,m,chimpanzee,1,end_state,1,0.25
tennie2010two,lome,3,m,chimpanzee,1,baseline,1,
tennie2010two,lome,3,m,chimpanzee,2,full_model,1,-0.11
tennie2010two,lome,3,m,chimpanzee,2,intention,1,0.42
tennie2010two,lome,3,m,chimpanzee,2,end_state,1,-0.47
tennie2010two,lome,3,m,chimpanzee,2,baseline,1,
tennie2010two,natascha,24,f,chimpanzee,1,full_model,0,
tennie2010two,natascha,24,f,chimpanzee,1,intention,,
tennie2010two,natascha,24,f,chimpanzee,1,end_state,0,
tennie2010two,natascha,24,f,chimpanzee,1,baseline,0,
tennie2010two,natascha,24,f,chimpanzee,2,full_model,0,
