study_id,experiment,day,month,year,participant,age_original,age_in_years,sex,species,species_subgroup,session,trial,condition,order_of_conditions,preference_single_item,preference_pop_open,preference_pop_covered,initial_position_pellet_pop,position_pellet_sample,choice
eckert2017great,2,10,12,2014,viringika,19,19.0,f,gorilla,,1,1,test 2,original,100.0,100.0,100.0,l,l,carrot
eckert2017great,2,10,12,2014,viringika,19,19.0,f,gorilla,,1,2,test 2,original,100.0,100.0,100.0,r,r,carrot
eckert2017great,2,10,12,2014,viringika,19,19.0,f,gorilla,,1,3,test 2,original,100.0,100.0,100.0,l,l,carrot
eckert2017great,2,10,12,2014,viringika,19,19.0,f,gorilla,,1,4,test 2,original,100.0,100.0,100.0,r,r,carrot
eckert2017great,2,11,12,2014,viringika,19,19.0,f,gorilla,,2,5,test 2,original,100.0,100.0,100.0,r,r,carrot
eckert2017great,2,11,12,2014,viringika,19,19.0,f,gorilla,,2,6,test 2,original,100.0,100.0,100.0,l,l,carrot
eckert2017great,2,11,12,2014,viringika,19,19.0,f,gorilla,,2,7,test 2,original,100.0,100.0,100.0,l,r,carrot
eckert2017great,2,11,12,2014,viringika,19,19.0,f,gorilla,,2,8,test 2,original,100.0,100.0,100.0,r,l,carrot
eckert2017great,2,12,12,2014,viringika,19,19.0,f,gorilla,,3,9,test 2,original,100.0,100.0,100.0,r,l,carrot
eckert2017great,2,12,12,2014,viringika,19,19.0,f,gorilla,,3,10,test 2,original,100.0,100.0,100.0,l,r,pellet
eckert2017great,2,12,12,2014,viringika,19,19.0,f,gorilla,,3,11,test 2,original,100.0,100.0,100.0,r,r,carrot
eckert2017great,2,12,12,2014,viringika,19,19.0,f,gorilla,,3,12,test 2,original,100.0,100.0,100.0,l,l,pellet
eckert2017great,2,12,12,2014,abeeku,15,15.0,m,gorilla,,1,1,test 2,original,100.0,100.0,50.0,l,l,carrot
eckert2017great,2,12,12,2014,abeeku,15,15.0,m,gorilla,,1,2,test 2,original,100.0,100.0,50.0,r,r,pellet
eckert2017great,2,12,12,2014,abeeku,15,15.0,m,gorilla,,1,3,test 2,original,100.0,100.0,50.0,l,l,carrot
eckert2017great,2,12,12,2014,abeeku,15,15.0,m,gorilla,,1,4,test 2,original,100.0,100.0,50.0,r,r,pellet
eckert2017great,2,12,12,2014,kibara,10,10.0,f,gorilla,,1,1,test 2,original,100.0,100.0,75.0,l,l,carrot
eckert2017great,2,12,12,2014,kibara,10,10.0,f,gorilla,,1,2,test 2,original,100.0,100.0,75.0,r,r,pellet
eckert2017great,2,12,12,2014,kibara,10,10.0,f,gorilla,,1,3,test 2,original,100.0,100.0,75.0,l,l,carrot
eckert2017great,2,12,12,2014,kibara,10,10.0,f,gorilla,,1,4,test 2,original,100.0,100.0,75.0,r,r,carrot
eckert2017great,2,13,12,2014,kibara,10,10.0,f,gorilla,,2,5,test 2,original,100.0,100.0,75.0,r,r,pellet
eckert2017great,2,13,12,2014,kibara,10,10.0,f,gorilla,,2,6,test 2,original,100.0,100.0,75.0,l,l,carrot
eckert2017great,2,13,12,2014,kibara,10,10.0,f,gorilla,,2,7,test 2,original,100.0,100.0,75.0,l,r,carrot
eckert2017great,2,13,12,2014,kibara,10,10.0,f,gorilla,,2,8,test 2,original,100.0,100.0,75.0,r,l,carrot
eckert2017great,2,13,12,2014,abeeku,15,15.0,m,gorilla,,2,5,test 2,original,100.0,100.0,50.0,r,r,pellet
eckert2017great,2,13,12,2014,abeeku,15,15.0,m,gorilla,,2,6,test 2,original,100.0,100.0,50.0,l,l,carrot
eckert2017great,2,13,12,2014,abeeku,15,15.0,m,gorilla,,2,7,test 2,original,100.0,100.0,50.0,l,r,pellet
eckert2017great,2,13,12,2014,abeeku,15,15.0,m,gorilla,,2,8,test 2,original,100.0,100.0,50.0,r,l,carrot
eckert2017great,2,14,12,2014,abeeku,15,15.0,m,gorilla,,3,9,test 2,original,100.0,100.0,50.0,l,l,carrot
eckert2017great,2,14,12,2014,abeeku,15,15.0,m,gorilla,,3,10,test 2,original,100.0,100.0,50.0,r,l,carrot
eckert2017great,2,14,12,2014,abeeku,15,15.0,m,gorilla,,3,11,test 2,original,100.0,100.0,50.0,r,r,pellet
eckert2017great,2,14,12,2014,abeeku,15,15.0,m,gorilla,,3,12,test 2,original,100.0,100.0,50.0,l,r,pellet
eckert2017great,2,14,12,2014,kibara,10,10.0,f,gorilla,,3,9,test 2,original,100.0,100.0,75.0,l,l,carrot
eckert2017great,2,14,12,2014,kibara,10,10.0,f,gorilla,,3,10,test 2,original,100.0,100.0,75.0,r,l,carrot
eckert2017great,2,14,12,2014,kibara,10,10.0,f,gorilla,,3,11,test 2,original,100.0,100.0,75.0,r,r,pellet
eckert2017great,2,14,12,2014,kibara,10,10.0,f,gorilla,,3,12,test 2,original,100.0,100.0,75.0,l,r,pellet
eckert2017great,2,6,1,2015,kumili,10,10.0,f,gorilla,,1,1,test 2,original,96.67,75.0,25.0,l,l,pellet
eckert2017great,2,6,1,2015,kumili,10,10.0,f,gorilla,,1,2,test 2,original,96.67,75.0,25.0,r,r,carrot
eckert2017great,2,6,1,2015,kumili,10,10.0,f,gorilla,,1,3,test 2,original,96.67,75.0,25.0,l,l,pellet
eckert2017great,2,6,1,2015,kumili,10,10.0,f,gorilla,,1,4,test 2,original,96.67,75.0,25.0,r,r,carrot
eckert2017great,2,7,1,2015,kumili,10,10.0,f,gorilla,,2,5,test 2,original,96.67,75.0,25.0,r,r,carrot
eckert2017great,2,7,1,2015,kumili,10,10.0,f,gorilla,,2,6,test 2,original,96.67,75.0,25.0,l,l,pellet
eckert2017great,2,7,1,2015,kumili,10,10.0,f,gorilla,,2,7,test 2,original,96.67,75.0,25.0,l,r,pellet
eckert2017great,2,7,1,2015,kumili,10,10.0,f,gorilla,,2,8,test 2,original,96.67,75.0,25.0,r,l,carrot
eckert2017great,2,8,1,2015,kumili,10,10.0,f,gorilla,,3,9,test 2,original,96.67,75.0,25.0,l,l,carrot
eckert2017great,2,8,1,2015,kumili,10,10.0,f,gorilla,,3,10,test 2,original,96.67,75.0,25.0,r,l,carrot
eckert2017great,2,8,1,2015,kumili,10,10.0,f,gorilla,,3,11,test 2,original,96.67,75.0,25.0,r,r,carrot
eckert2017great,2,8,1,2015,kumili,10,10.0,f,gorilla,,3,12,test 2,original,96.67,75.0,25.0,l,r,carrot
eckert2017great,2,24,1,2015,lobo,10,10.0,m,chimpanzee,a,1,1,test 2,original,96.67,100.0,75.0,l,r,carrot
eckert2017great,2,24,1,2015,lobo,10,10.0,m,chimpanzee,a,1,2,test 2,original,96.67,100.0,75.0,r,r,carrot
eckert2017great,2,24,1,2015,lobo,10,10.0,m,chimpanzee,a,1,3,test 2,original,96.67,100.0,75.0,l,l,pellet
eckert2017great,2,24,1,2015,lobo,10,10.0,m,chimpanzee,a,1,4,test 2,original,96.67,100.0,75.0,r,l,carrot
eckert2017great,2,25,1,2015,tai,12,12.0,f,chimpanzee,a,1,1,test 2,original,93.33,100.0,100.0,l,r,carrot
eckert2017great,2,25,1,2015,tai,12,12.0,f,chimpanzee,a,1,2,test 2,original,93.33,100.0,100.0,r,r,carrot
eckert2017great,2,25,1,2015,tai,12,12.0,f,chimpanzee,a,1,3,test 2,original,93.33,100.0,100.0,l,l,pellet
eckert2017great,2,25,1,2015,tai,12,12.0,f,chimpanzee,a,1,4,test 2,original,93.33,100.0,100.0,r,l,carrot
eckert2017great,2,25,1,2015,sandra,21,21.0,f,chimpanzee,a,1,1,test 2,original,100.0,100.0,100.0,l,r,carrot
eckert2017great,2,25,1,2015,sandra,21,21.0,f,chimpanzee,a,1,2,test 2,original,100.0,100.0,100.0,r,r,carrot
eckert2017great,2,25,1,2015,sandra,21,21.0,f,chimpanzee,a,1,3,test 2,original,100.0,100.0,100.0,l,l,carrot
eckert2017great,2,25,1,2015,sandra,21,21.0,f,chimpanzee,a,1,4,test 2,original,100.0,100.0,100.0,r,l,pellet
eckert2017great,2,25,1,2015,lobo,10,10.0,m,chimpanzee,a,2,5,test 2,original,96.67,100.0,75.0,r,r,carrot
eckert2017great,2,25,1,2015,lobo,10,10.0,m,chimpanzee,a,2,6,test 2,original,96.67,100.0,75.0,l,l,pellet
eckert2017great,2,25,1,2015,lobo,10,10.0,m,chimpanzee,a,2,7,test 2,original,96.67,100.0,75.0,l,r,carrot
eckert2017great,2,25,1,2015,lobo,10,10.0,m,chimpanzee,a,2,8,test 2,original,96.67,100.0,75.0,r,l,carrot
eckert2017great,2,26,1,2015,tai,12,12.0,f,chimpanzee,a,2,5,test 2,original,93.33,100.0,100.0,r,r,carrot
eckert2017great,2,26,1,2015,tai,12,12.0,f,chimpanzee,a,2,6,test 2,original,93.33,100.0,100.0,l,l,carrot
eckert2017great,2,26,1,2015,tai,12,12.0,f,chimpanzee,a,2,7,test 2,original,93.33,100.0,100.0,l,r,carrot
eckert2017great,2,26,1,2015,tai,12,12.0,f,chimpanzee,a,2,8,test 2,original,93.33,100.0,100.0,r,l,carrot
eckert2017great,2,26,1,2015,lobo,10,10.0,m,chimpanzee,a,3,9,test 2,original,96.67,100.0,75.0,l,l,pellet
eckert2017great,2,26,1,2015,lobo,10,10.0,m,chimpanzee,a,3,10,test 2,original,96.67,100.0,75.0,r,l,carrot
eckert2017great,2,26,1,2015,lobo,10,10.0,m,chimpanzee,a,3,11,test 2,original,96.67,100.0,75.0,r,r,carrot
eckert2017great,2,26,1,2015,lobo,10,10.0,m,chimpanzee,a,3,12,test 2,original,96.67,100.0,75.0,l,r,carrot
eckert2017great,2,27,1,2015,tai,12,12.0,f,chimpanzee,a,3,9,test 2,original,93.33,100.0,100.0,l,l,pellet
eckert2017great,2,27,1,2015,tai,12,12.0,f,chimpanzee,a,3,10,test 2,original,93.33,100.0,100.0,r,l,carrot
eckert2017great,2,27,1,2015,tai,12,12.0,f,chimpanzee,a,3,11,test 2,original,93.33,100.0,100.0,r,r,carrot
eckert2017great,2,27,1,2015,tai,12,12.0,f,chimpanzee,a,3,12,test 2,original,93.33,100.0,100.0,l,r,pellet
eckert2017great,2,27,1,2015,sandra,21,21.0,f,chimpanzee,a,2,5,test 2,original,100.0,100.0,100.0,r,r,pellet
eckert2017great,2,27,1,2015,sandra,21,21.0,f,chimpanzee,a,2,6,test 2,original,100.0,100.0,100.0,l,l,pellet
eckert2017great,2,27,1,2015,sandra,21,21.0,f,chimpanzee,a,2,7,test 2,original,100.0,100.0,100.0,l,r,pellet
eckert2017great,2,27,1,2015,sandra,21,21.0,f,chimpanzee,a,2,8,test 2,original,100.0,100.0,100.0,r,l,carrot
eckert2017great,2,28,1,2015,frodo,21,21.0,m,chimpanzee,a,1,1,test 2,original,100.0,100.0,100.0,l,r,pellet
eckert2017great,2,28,1,2015,frodo,21,21.0,m,chimpanzee,a,1,2,test 2,original,100.0,100.0,100.0,r,r,carrot
eckert2017great,2,28,1,2015,frodo,21,21.0,m,chimpanzee,a,1,3,test 2,original,100.0,100.0,100.0,l,l,pellet
eckert2017great,2,28,1,2015,frodo,21,21.0,m,chimpanzee,a,1,4,test 2,original,100.0,100.0,100.0,r,l,carrot
eckert2017great,2,29,1,2015,frodo,21,21.0,m,chimpanzee,a,2,5,test 2,original,100.0,100.0,100.0,r,r,carrot
eckert2017great,2,29,1,2015,frodo,21,21.0,m,chimpanzee,a,2,6,test 2,original,100.0,100.0,100.0,l,l,pellet
eckert2017great,2,29,1,2015,frodo,21,21.0,m,chimpanzee,a,2,7,test 2,original,100.0,100.0,100.0,l,r,pellet
eckert2017great,2,29,1,2015,frodo,21,21.0,m,chimpanzee,a,2,8,test 2,original,100.0,100.0,100.0,r,l,pellet
eckert2017great,2,29,1,2015,sandra,21,21.0,f,chimpanzee,a,3,9,test 2,original,100.0,100.0,100.0,l,l,pellet
eckert2017great,2,29,1,2015,sandra,21,21.0,f,chimpanzee,a,3,10,test 2,original,100.0,100.0,100.0,r,l,pellet
