study_id,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,session,trial,condition,3_6_side,options,choice
herrmann2019human,2018,1,8,kofi,12,m,focal_participant,lobo,13,m,partner,chimpanzee,kofi_lobo,4,21,control,right,2/5vs3/6,3
herrmann2019human,2018,1,8,kofi,12,m,focal_participant,lobo,13,m,partner,chimpanzee,kofi_lobo,4,22,control,left,2/5vs3/6,3
herrmann2019human,2018,1,8,kofi,12,m,focal_participant,lobo,13,m,partner,chimpanzee,kofi_lobo,4,23,control,left,2/5vs3/6,3
herrmann2019human,2018,1,8,kofi,12,m,focal_participant,lobo,13,m,partner,chimpanzee,kofi_lobo,4,24,control,right,2/5vs3/6,3
herrmann2019human,2018,1,6,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,1,25,control,right,2/5vs3/6,3
herrmann2019human,2018,1,6,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,1,26,control,left,2/5vs3/6,3
herrmann2019human,2018,1,6,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,1,27,control,right,2/5vs3/6,3
herrmann2019human,2018,1,6,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,1,28,control,right,2/5vs3/6,3
herrmann2019human,2018,1,6,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,1,29,control,left,2/5vs3/6,3
herrmann2019human,2018,1,6,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,1,30,control,left,2/5vs3/6,3
herrmann2019human,2018,1,7,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,2,31,control,right,2/5vs3/6,3
herrmann2019human,2018,1,7,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,2,32,control,left,2/5vs3/6,3
herrmann2019human,2018,1,7,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,2,33,control,right,2/5vs3/6,3
herrmann2019human,2018,1,7,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,2,34,control,left,2/5vs3/6,3
herrmann2019human,2018,1,7,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,2,35,control,left,2/5vs3/6,2
herrmann2019human,2018,1,7,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,2,36,control,right,2/5vs3/6,3
herrmann2019human,2018,1,8,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,3,37,test,left,2/1vs3/6,3
herrmann2019human,2018,1,8,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,3,38,test,right,2/1vs3/6,3
herrmann2019human,2018,1,8,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,3,39,test,right,2/1vs3/6,3
herrmann2019human,2018,1,8,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,3,40,test,left,2/1vs3/6,3
herrmann2019human,2018,1,8,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,3,41,test,left,2/1vs3/6,2
herrmann2019human,2018,1,8,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,3,42,test,right,2/1vs3/6,3
herrmann2019human,2018,1,9,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,4,43,test,right,2/1vs3/6,3
herrmann2019human,2018,1,9,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,4,44,test,left,2/1vs3/6,3
herrmann2019human,2018,1,9,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,4,45,test,left,2/1vs3/6,3
herrmann2019human,2018,1,9,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,4,46,test,right,2/1vs3/6,3
herrmann2019human,2018,1,9,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,4,47,test,right,2/1vs3/6,3
herrmann2019human,2018,1,9,bangolo,8,m,focal_participant,lome,16,m,partner,chimpanzee,bangolo_lome,4,48,test,left,2/1vs3/6,3
herrmann2019human,2018,1,9,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,1,49,test,right,2/1vs3/6,3
herrmann2019human,2018,1,9,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,1,50,test,right,2/1vs3/6,3
herrmann2019human,2018,1,9,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,1,51,test,left,2/1vs3/6,2
herrmann2019human,2018,1,9,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,1,52,test,left,2/1vs3/6,3
herrmann2019human,2018,1,9,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,1,53,test,right,2/1vs3/6,3
herrmann2019human,2018,1,9,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,1,54,test,left,2/1vs3/6,3
herrmann2019human,2018,1,11,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,2,55,test,right,2/1vs3/6,3
herrmann2019human,2018,1,11,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,2,56,test,right,2/1vs3/6,3
herrmann2019human,2018,1,11,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,2,57,test,left,2/1vs3/6,3
herrmann2019human,2018,1,11,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,2,58,test,left,2/1vs3/6,3
herrmann2019human,2018,1,11,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,2,59,test,right,2/1vs3/6,3
herrmann2019human,2018,1,11,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,2,60,test,left,2/1vs3/6,3
herrmann2019human,2018,1,12,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,3,61,control,right,2/5vs3/6,3
herrmann2019human,2018,1,12,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,3,62,control,right,2/5vs3/6,3
herrmann2019human,2018,1,12,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,3,63,control,left,2/5vs3/6,3
herrmann2019human,2018,1,12,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,3,64,control,left,2/5vs3/6,3
herrmann2019human,2018,1,12,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,3,65,control,right,2/5vs3/6,3
herrmann2019human,2018,1,12,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,3,66,control,left,2/5vs3/6,3
herrmann2019human,2018,1,13,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,4,67,control,right,2/5vs3/6,3
herrmann2019human,2018,1,13,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,4,68,control,right,2/5vs3/6,3
herrmann2019human,2018,1,13,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,4,69,control,left,2/5vs3/6,3
herrmann2019human,2018,1,13,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,4,70,control,left,2/5vs3/6,3
herrmann2019human,2018,1,13,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,4,71,control,right,2/5vs3/6,3
herrmann2019human,2018,1,13,tai,15,f,focal_participant,dorien,37,f,partner,chimpanzee,tai_dorien,4,72,control,left,2/5vs3/6,3
herrmann2019human,2018,1,11,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,1,73,control,left,2/5vs3/6,3
herrmann2019human,2018,1,11,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,1,74,control,left,2/5vs3/6,2
herrmann2019human,2018,1,11,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,1,75,control,right,2/5vs3/6,2
herrmann2019human,2018,1,11,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,1,76,control,right,2/5vs3/6,3
herrmann2019human,2018,1,11,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,1,77,control,left,2/5vs3/6,3
herrmann2019human,2018,1,11,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,1,78,control,right,2/5vs3/6,3
herrmann2019human,2018,1,12,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,2,79,control,left,2/5vs3/6,3
herrmann2019human,2018,1,12,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,2,80,control,left,2/5vs3/6,3
herrmann2019human,2018,1,12,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,2,81,control,right,2/5vs3/6,3
herrmann2019human,2018,1,12,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,2,82,control,right,2/5vs3/6,3
herrmann2019human,2018,1,12,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,2,83,control,left,2/5vs3/6,2
herrmann2019human,2018,1,12,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,2,84,control,right,2/5vs3/6,3
herrmann2019human,2018,1,13,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,3,85,test,left,2/1vs3/6,3
herrmann2019human,2018,1,13,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,3,86,test,left,2/1vs3/6,3
herrmann2019human,2018,1,13,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,3,87,test,right,2/1vs3/6,3
herrmann2019human,2018,1,13,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,3,88,test,right,2/1vs3/6,3
herrmann2019human,2018,1,13,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,3,89,test,left,2/1vs3/6,2
herrmann2019human,2018,1,13,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,3,90,test,right,2/1vs3/6,3
herrmann2019human,2018,1,14,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,4,91,test,left,2/1vs3/6,3
herrmann2019human,2018,1,14,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,4,92,test,left,2/1vs3/6,3
herrmann2019human,2018,1,14,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,4,93,test,right,2/1vs3/6,3
herrmann2019human,2018,1,14,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,4,94,test,right,2/1vs3/6,3
herrmann2019human,2018,1,14,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,4,95,test,left,2/1vs3/6,3
herrmann2019human,2018,1,14,natascha,37,f,focal_participant,riet,40,f,partner,chimpanzee,natascha_riet,4,96,test,right,2/1vs3/6,3
herrmann2019human,2018,1,9,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,1,97,test,left,2/1vs3/6,3
herrmann2019human,2018,1,9,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,1,98,test,right,2/1vs3/6,3
herrmann2019human,2018,1,9,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,1,99,test,left,2/1vs3/6,3
herrmann2019human,2018,1,9,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,1,100,test,left,2/1vs3/6,3
herrmann2019human,2018,1,9,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,1,101,test,right,2/1vs3/6,3
herrmann2019human,2018,1,9,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,1,102,test,right,2/1vs3/6,3
herrmann2019human,2018,1,11,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,2,103,test,left,2/1vs3/6,3
herrmann2019human,2018,1,11,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,2,104,test,right,2/1vs3/6,3
herrmann2019human,2018,1,11,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,2,105,test,left,2/1vs3/6,3
herrmann2019human,2018,1,11,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,2,106,test,right,2/1vs3/6,3
herrmann2019human,2018,1,11,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,2,107,test,right,2/1vs3/6,3
herrmann2019human,2018,1,11,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,2,108,test,left,2/1vs3/6,3
herrmann2019human,2018,1,12,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,3,109,control,left,2/5vs3/6,3
herrmann2019human,2018,1,12,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,3,110,control,right,2/5vs3/6,3
herrmann2019human,2018,1,12,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,3,111,control,left,2/5vs3/6,3
herrmann2019human,2018,1,12,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,3,112,control,left,2/5vs3/6,3
herrmann2019human,2018,1,12,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,3,113,control,right,2/5vs3/6,3
herrmann2019human,2018,1,12,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,3,114,control,right,2/5vs3/6,3
herrmann2019human,2018,1,13,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,4,115,control,left,2/5vs3/6,3
herrmann2019human,2018,1,13,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,4,116,control,right,2/5vs3/6,3
herrmann2019human,2018,1,13,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,4,117,control,left,2/5vs3/6,3
herrmann2019human,2018,1,13,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,4,118,control,right,2/5vs3/6,3
herrmann2019human,2018,1,13,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,4,119,control,right,2/5vs3/6,2
herrmann2019human,2018,1,13,frodo,24,m,focal_participant,robert,42,m,partner,chimpanzee,frodo_robert,4,120,control,left,2/5vs3/6,3
herrmann2019human,2018,1,11,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,1,121,control,right,2/5vs3/6,2
herrmann2019human,2018,1,11,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,1,122,control,left,2/5vs3/6,3
herrmann2019human,2018,1,11,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,1,123,control,right,2/5vs3/6,3
herrmann2019human,2018,1,11,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,1,124,control,right,2/5vs3/6,3
herrmann2019human,2018,1,11,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,1,125,control,left,2/5vs3/6,3
herrmann2019human,2018,1,11,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,1,126,control,left,2/5vs3/6,3
herrmann2019human,2018,1,12,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,2,127,control,right,2/5vs3/6,3
herrmann2019human,2018,1,12,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,2,128,control,left,2/5vs3/6,3
herrmann2019human,2018,1,12,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,2,129,control,right,2/5vs3/6,3
herrmann2019human,2018,1,12,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,2,130,control,left,2/5vs3/6,3
herrmann2019human,2018,1,12,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,2,131,control,left,2/5vs3/6,3
herrmann2019human,2018,1,12,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,2,132,control,right,2/5vs3/6,3
herrmann2019human,2018,1,13,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,3,133,test,right,2/1vs3/6,3
herrmann2019human,2018,1,13,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,3,134,test,left,2/1vs3/6,3
herrmann2019human,2018,1,13,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,3,135,test,right,2/1vs3/6,3
herrmann2019human,2018,1,13,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,3,136,test,right,2/1vs3/6,3
herrmann2019human,2018,1,13,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,3,137,test,left,2/1vs3/6,3
herrmann2019human,2018,1,13,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,3,138,test,left,2/1vs3/6,3
herrmann2019human,2018,1,14,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,4,139,test,right,2/1vs3/6,3
herrmann2019human,2018,1,14,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,4,140,test,left,2/1vs3/6,3
herrmann2019human,2018,1,14,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,4,141,test,right,2/1vs3/6,3
herrmann2019human,2018,1,14,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,4,142,test,left,2/1vs3/6,3
herrmann2019human,2018,1,14,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,4,143,test,left,2/1vs3/6,3
herrmann2019human,2018,1,14,lobo,13,m,focal_participant,robert,42,m,partner,chimpanzee,lobo_robert,4,144,test,right,2/1vs3/6,3
herrmann2019human,2018,1,18,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,1,145,test,left,2/1vs3/6,3
herrmann2019human,2018,1,18,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,1,146,test,right,2/1vs3/6,3
herrmann2019human,2018,1,18,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,1,147,test,left,2/1vs3/6,3
herrmann2019human,2018,1,18,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,1,148,test,left,2/1vs3/6,2
herrmann2019human,2018,1,18,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,1,149,test,right,2/1vs3/6,3
herrmann2019human,2018,1,18,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,1,150,test,right,2/1vs3/6,3
herrmann2019human,2018,1,19,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,2,151,test,right,2/1vs3/6,3
herrmann2019human,2018,1,19,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,2,152,test,left,2/1vs3/6,3
herrmann2019human,2018,1,19,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,2,153,test,right,2/1vs3/6,3
