study_id,year,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,dyad_original,dyad_sex,trial,friendship_relation,poke_left_focal_participant,poke_right_focal_participant,poke_total,turn_taking_within_trial,total_turn_taking_per_dyad
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kara_frodo,frodo_kara,mixed,1,yes,8,54,62,6,8.0
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kara_frodo,frodo_kara,mixed,2,yes,1,76,77,2,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kara_frodo,frodo_kara,mixed,3,yes,0,53,53,0,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kara_frodo,frodo_kara,mixed,4,yes,0,63,63,0,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kara_frodo,frodo_kara,mixed,5,yes,0,98,98,0,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kara_frodo,frodo_kara,mixed,6,yes,0,65,65,0,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kara_frodo,frodo_kara,mixed,7,yes,0,65,65,0,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kara_frodo,frodo_kara,mixed,8,yes,0,75,75,0,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kara_frodo,frodo_kara,mixed,9,yes,0,70,70,0,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kara_frodo,frodo_kara,mixed,10,yes,0,78,78,0,
knofe2019chimpanzees,2011,kofi,6,m,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kofi_frodo,frodo_kofi,male,1,no,0,41,41,0,6.0
knofe2019chimpanzees,2011,kofi,6,m,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kofi_frodo,frodo_kofi,male,2,no,0,43,43,0,
knofe2019chimpanzees,2011,kofi,6,m,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kofi_frodo,frodo_kofi,male,3,no,2,41,43,2,
knofe2019chimpanzees,2011,kofi,6,m,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kofi_frodo,frodo_kofi,male,4,no,0,37,37,0,
knofe2019chimpanzees,2011,kofi,6,m,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kofi_frodo,frodo_kofi,male,5,no,0,44,44,0,
knofe2019chimpanzees,2011,kofi,6,m,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kofi_frodo,frodo_kofi,male,6,no,3,32,35,2,
knofe2019chimpanzees,2011,kofi,6,m,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kofi_frodo,frodo_kofi,male,7,no,0,40,40,0,
knofe2019chimpanzees,2011,kofi,6,m,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kofi_frodo,frodo_kofi,male,8,no,0,39,39,0,
knofe2019chimpanzees,2011,kofi,6,m,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kofi_frodo,frodo_kofi,male,9,no,0,38,38,0,
knofe2019chimpanzees,2011,kofi,6,m,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,kofi_frodo,frodo_kofi,male,10,no,2,56,58,2,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,pia_frodo,frodo_pia,mixed,1,no,0,29,29,0,0.0
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,pia_frodo,frodo_pia,mixed,2,no,0,48,48,0,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,pia_frodo,frodo_pia,mixed,3,no,0,31,31,0,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,pia_frodo,frodo_pia,mixed,4,no,0,51,51,0,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,pia_frodo,frodo_pia,mixed,5,no,0,42,42,0,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,pia_frodo,frodo_pia,mixed,6,no,0,53,53,0,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,pia_frodo,frodo_pia,mixed,7,no,0,35,35,0,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,pia_frodo,frodo_pia,mixed,8,no,0,49,49,0,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,pia_frodo,frodo_pia,mixed,9,no,0,38,38,0,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,frodo,18,m,focal_participant_left_es_view,chimpanzee,pia_frodo,frodo_pia,mixed,10,no,0,40,40,0,
knofe2019chimpanzees,2011,alex,10,m,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,alex_jahaga,jahaga_alex,mixed,1,yes,40,7,47,1,17.0
knofe2019chimpanzees,2011,alex,10,m,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,alex_jahaga,jahaga_alex,mixed,2,yes,51,11,62,2,
knofe2019chimpanzees,2011,alex,10,m,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,alex_jahaga,jahaga_alex,mixed,3,yes,33,37,70,5,
knofe2019chimpanzees,2011,alex,10,m,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,alex_jahaga,jahaga_alex,mixed,4,yes,36,0,36,0,
knofe2019chimpanzees,2011,alex,10,m,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,alex_jahaga,jahaga_alex,mixed,5,yes,25,34,59,3,
knofe2019chimpanzees,2011,alex,10,m,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,alex_jahaga,jahaga_alex,mixed,6,yes,42,54,96,3,
knofe2019chimpanzees,2011,alex,10,m,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,alex_jahaga,jahaga_alex,mixed,7,yes,24,36,60,1,
knofe2019chimpanzees,2011,alex,10,m,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,alex_jahaga,jahaga_alex,mixed,8,yes,69,0,69,0,
knofe2019chimpanzees,2011,alex,10,m,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,alex_jahaga,jahaga_alex,mixed,9,yes,56,1,57,2,
knofe2019chimpanzees,2011,alex,10,m,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,alex_jahaga,jahaga_alex,mixed,10,yes,48,0,48,0,
knofe2019chimpanzees,2011,fifi,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,fifi_jahaga,jahaga_fifi,female,1,yes,35,27,62,4,30.0
knofe2019chimpanzees,2011,fifi,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,fifi_jahaga,jahaga_fifi,female,2,yes,2,46,48,3,
knofe2019chimpanzees,2011,fifi,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,fifi_jahaga,jahaga_fifi,female,3,yes,32,23,55,4,
knofe2019chimpanzees,2011,fifi,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,fifi_jahaga,jahaga_fifi,female,4,yes,37,32,69,2,
knofe2019chimpanzees,2011,fifi,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,fifi_jahaga,jahaga_fifi,female,5,yes,3,41,44,3,
knofe2019chimpanzees,2011,fifi,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,fifi_jahaga,jahaga_fifi,female,6,yes,25,39,64,1,
knofe2019chimpanzees,2011,fifi,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,fifi_jahaga,jahaga_fifi,female,7,yes,30,34,64,5,
knofe2019chimpanzees,2011,fifi,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,fifi_jahaga,jahaga_fifi,female,8,yes,48,24,72,5,
knofe2019chimpanzees,2011,fifi,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,fifi_jahaga,jahaga_fifi,female,9,yes,36,31,67,2,
knofe2019chimpanzees,2011,fifi,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,fifi_jahaga,jahaga_fifi,female,10,yes,36,14,50,1,
knofe2019chimpanzees,2011,gertrudia,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,gertrudia_jahaga,jahaga_trudi,female,1,yes,51,47,98,4,18.0
knofe2019chimpanzees,2011,gertrudia,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,gertrudia_jahaga,jahaga_trudi,female,2,yes,27,25,52,4,
knofe2019chimpanzees,2011,gertrudia,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,gertrudia_jahaga,jahaga_trudi,female,3,yes,67,0,67,0,
knofe2019chimpanzees,2011,gertrudia,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,gertrudia_jahaga,jahaga_trudi,female,4,yes,44,8,52,3,
knofe2019chimpanzees,2011,gertrudia,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,gertrudia_jahaga,jahaga_trudi,female,5,yes,28,29,57,2,
knofe2019chimpanzees,2011,gertrudia,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,gertrudia_jahaga,jahaga_trudi,female,6,yes,54,29,83,2,
knofe2019chimpanzees,2011,gertrudia,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,gertrudia_jahaga,jahaga_trudi,female,7,yes,62,39,101,1,
knofe2019chimpanzees,2011,gertrudia,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,gertrudia_jahaga,jahaga_trudi,female,8,yes,58,44,102,1,
knofe2019chimpanzees,2011,gertrudia,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,gertrudia_jahaga,jahaga_trudi,female,9,yes,72,17,89,1,
