study_id,experiment_no,data_provided,grouping,droupouts_no,dropout_names,group_id,group_id_excluded,data_collection_date_provided,data_collection_date_source,data_collection_date,data_collection_date_comments,age_source,age_source_comments
manrique2010great,3,True,individuals,3,"Ulla, Frodo, Bimbo","wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo, wkprc_orangutan, wkprc_gorilla",,True,author,2008 - 2009,"20 august 2009: Dunja, Padana, Kila, 21 august 2009: Joey, Yasa, Limbuko, Kuno, , 22 august 2009: Dokana, Pini, , 10 sept 2009: Jahaga, Trudi, 12 sept 2009: Fraukje, Frodo, Patrick, Ulla",publication_calculated,age_original from diploma thesis of Alexandra Gross/age_in_years calculated
manrique2011spontaneous,1,True,individuals,,,"wkprc_chimpanzee_b, wkprc_bonobo, wkprc_orangutan",,True,dataset,"2003,2009","2003/01/24, 2009/01/12 to 2009/06/2",calculated, 
manrique2011spontaneous,2,True,individuals,5,"Joey, Kuno, Ulindi, Limbuko, Yasa","wkprc_chimpanzee_b, wkprc_bonobo, wkprc_orangutan",,True,dataset,2009,2009/02/10 to 2009/06/14,calculated, 
manrique2011spontaneous,3,True,individuals,,,"wkprc_chimpanzee_b, wkprc_orangutan",,True,dataset,2009,2009/04/03 to 2009/06/17,calculated, 
manrique2011spontaneous,4,True,individuals,1,Dunja,"wkprc_chimpanzee_b, wkprc_orangutan",,True,dataset,"2009, 2010",2009/11/12 to 2010/01/11,calculated, 
manrique2013repeated,1,True,individuals,,,"wkprc_bonobo, , wkprc_chimpanzee_b, wkprc_gorilla, wkprc_orangutan",,,,,,calculated, 
manrique2015age,1,True,individuals,,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorilla, wkprc_orangutan",,True,data_file,2009 - 2010,,data_file, 
many2019establishing,1,partial,"individuals, group",16,,"wkprc_orangutan, wkprc_chimpanzee_a","kristiansand_ringtailedlemur, kristiansand_blackfacedspidermonkey, edinburghzoo_browncapuchinmonkey, edinburghzoo_squirrelmonkey, edinburghzoo_chimpanzee, desmonies_bonobo, wight_rhesus, wight_barbarymacaque, göttingen_longtailedmacaque , göttingen_ringtailedlemur, göttingen_ruffedlemur, chicago_gorilla, kumamoto_chimpanzee, kumamoto_bonobo, heidelberg_gorilla,  georgia_capuchinmonkey, sweetwaters_chimpanzee_old, sweetwaters_chimpanzee_young",,,,,data_file, 
martin2008tubes,1,True,individuals,,,"wkprc_orangutan, wkprc_bonobo, wkprc_gorilla, wkprc_chimpanzee_a, wkprc_chimpanzee_b",,,,,,data_file_calculated,age_original in months from author and age_in_years calculated
martin2009assessing,1,True,individuals,,,"wkprc_bonobo, wkprc_gorilla, wkprc_orangutan, wkprc_chimpanzee_a, wkprc_chimpanzee_b",,,,,,data_file_calculated,age_original in months from author and age_in_years calculated
martin2009assessing,2,False,individuals,,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorilla, wkprc_orangutan",,,,,,not_provided, 
martin2010keeping,1,True,individuals,,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_orangutan",,,,,,publication, 
martin2010keeping,2,True,individuals,,,"wkprc_bonobo, wkprc_chimpanzee_b, wkprc_orangutan",,,,,,publication, 
martin2011memory,1,True,individuals,,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_orangutan",,,,,,publication,partial ages provided by author
martin2011memory,2,True,individuals,,,"wkprc_bonobo, wkprc_orangutan",,,,,,publication, 
martin2011memory,3,True,individuals,,,"wkprc_bonobo, wkprc_orangutan",,,,,,publication, 
martin2013memory,1,True,individuals,1,Padana,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_orangutan",,,,,,publication,kila age not provided
martin2013memory,2,True,individuals,4,"Robert, Frauje, Corrie, Riet","wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_orangutan",,,,,,publication, 
moore2015production,1,True,dyads,,,wkprc_orangutan,,,,,, , 
moore2015production,2,True,individuals,,,wkprc_orangutan,,,,,, , 
muhlenbeck2015gaze,1,partial,individuals,,,wkprc_orangutan,berlin_adults,,,,,calculated, 
muhlenbeck2016differences,1,partial,individuals,,,wkprc_orangutan,"hai_adolescents, berlin_adolescents, hamburg_adolescents",,,,,data_file,age_in_years provided by author in data file
muhlenbeck2017cultural,1,partial,individuals,,,wkprc_orangutan,"hai_adolescents, hamburg_adolescents, hamburg_adolescents",,,,,data_file,age_in_years provided by author in data file
munar2015common,1,False,,,,,,,,,,not_provided, 
munar2015common,2,False,,,,,,,,,,not_provided, 
munar2015common,3,True,individuals,1,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorilla",,True,dataset,2013,2013/06/9 to 2013/09/10,calculated, 
