study_id,experiment_no,data_provided,grouping,droupouts_no,dropout_names,group_id,group_id_excluded,data_collection_date_provided,data_collection_date_source,data_collection_date,data_collection_date_comments,age_source,age_source_comments
call2004inferences,3,True,individuals,2,"Vimoto, Vizuri","wkprc_gorilla, wkprc_bonobo, wkprc_chimpanzee_a",,,,,,publication, 
call2004inferences,4,True,individuals,,,"wkprc_gorilla, wkprc_bonobo",,,,,,publication, 
call2004inferences,5,True,individuals,3,"Robert, Patrick, Ulindi","wkprc_orangutan, wkprc_gorilla, wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b",,,,,,publication, 
call2004inferences,6,True,individuals,2,"Vimoto, Vizuri","wkprc_gorilla, wkprc_bonobo, wkprc_chimpanzee_a",,,,,,publication, 
dufour2009calculated,1,True,dyads,,,wkprc_orangutan,,,,,,not_provided, 
duguid2014coordination,1,False,,,,,,,,,,not_provided, 
duguid2014coordination,2,partial,dyads,3,"Dorien, Riet, Swela",wkprc_chimpanzee_a,leipzig_children,,,,,data_file, 
duguid2020strategies,1,True,dyads,"7 across training and testing, 2 additional drops due to pressing more than one button","Federike, Dorien, Kara, Tai, Natascha, Fraukje, Brigitta","wkprc_chimpanzee_a, wkprc_chimpanzee_b",,True,datset,"2013,2014",2013-06-1 to 2014-4-28,calculated, 
duguid2020strategies,2,False,,,,,,,,,,not_provided, 
ebel2019innovative,1,False,,,,,"sweetwaters_chimpanzee_old, sweetwaters_chimpanzee_young",,,,,not_provided, 
ebel2019innovative,2,True,individuals,3,"annett, kisha, swela","wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b",,True,author,2014-2015,"chimps.A: 25.10.-05.12.2014, chimps.B: 05.11.-18.12.2014, bonobos: 05.01.-25.01.2015",data_file_calculated,age_in_years calculated – age_original from data_file
ebel2019innovative,3,True,individuals,,,"dortmund_orangutan, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_orangutan",,True,author,2014,"orangs: Raja, Padana 16.05.-04.06.2014, Dokana 06.07.-12.07.2014, Toba, Tao (Zoo Dortmund) 22.05.-27.05.2014, chimps.A: 22.09.-06.10.2014",data_file_calculated,age_in_years calculated – age_original from data_file
ebel2020object,1,True,individuals,,,"wkprc_orangutan, dortmund_orangutan, berlin_orangutan",,,,,,data_file, 
ebel2021prior,1,True,individuals,2,"Raja, Abeeku","wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorilla",,,,,,data_file_calculated,age_in_years calculated – age_original from data_file
eckert2017great,1,True,individuals,3,"Bangolo, Abeeko, Kumili","wkprc_gorilla, wkprc_bonobo, wkprc_orangutan, wkprc_chimpanzee_a, wkprc_chimpanzee_b",,True,publication,2014 - 2015,were tested between November 2014 and September 2015,data_file_calculated,age_in_years calculated – age_original from data_file
eckert2017great,2,True,individuals,4,"Robert, Fimi, Daza, Jeudi","wkprc_gorilla, wkprc_bonobo, wkprc_orangutan, wkprc_chimpanzee_a, wkprc_chimpanzee_b",,True,publication,2014 - 2015,were tested between November 2014 and September 2015,data_file_calculated,age_in_years calculated – age_original from data_file
engelmann2012five,1,True,,,,,,True,dataset,2010,2010-09-21 to 2010-10-03,calculated, 
engelmann2012five,2,True,groups,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b",,True,dataset,2010,2010-08-31 to 2010-10-25,calculated, 
engelmann2017social,1,True,"individuals, dyads",,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b",,True,,2016,2016-03-31 to 2016-08-07,calculated, 
forss2016cognitive,1,partial,individuals,,,wkprc_orangutan,"basel_orangutan, durrell_orangutan, dortmund_orangutan, paignton_orangutan, blackpool_orangutan, apenheul_orangutan, munster_orangutan, twycross_orangutan",True,publication,2012 - 2015,"Supplementary material: Twycross zoo January- February 2013, Allwetter zoo münster  April- May 2013, Apenheul Primate Park January-February 2014, Blackpool zoo  January 2015, Paignton zoo February 2015, Dortmund zoo November- December 2012, Durrell Wildlife March 2013, Basel zoo November 2013, Leipzig zoo  March 2014 ",data_file, 
greenberg2010chimpanzee,1,True,,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b",,False,,,,publication, 
grueneisen2017children,1a,True,dyads,8,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo",,True,dataset,2015,,calculated,
grueneisen2017children,1b,True,dyads,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo",,True,dataset,2015,,calculated,
grueneisen2017children,2,False,,,,,,,,,,not_provided, 
halina2018goal,1,True,individuals,,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b",,,,,,not_provided, 
hanus2011chimpanzee,1,True,individuals,,,ngamba_chimpanzee,,True,publication,2007,All data were collected between November and December 2007.,not_provided, 
hanus2011chimpanzee,2,True,individuals,,,wkprc_chimpanzee_a,,True,publication,2010,All data were collected between October and November 2010.,data_file_calculated,age_in_years calculated – age_original from data_file
hanus2011comparing,1,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorilla",,,,,, , 
hanus2011comparing,2,True,individuals,,,"occq_orangutan, ngamba_chimpanzee",,,,,, , Kalema age in publication incorrect - actual age is 18
hanus2011comparing,3,True,individuals,3,"Frodo, Robert, Natascha","wkprc_chimpanzee_a, wkprc_chimpanzee_b,",,,,,, , 
hanus2011comparing,4,False,,,,,,,,,, , 
haun2006evolutionary,1,True,individuals,,,"wkprc_orangutan, wkprc_gorilla, wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b",leipzig_children,True,dataset,2004,from  2004/07/27  to 2004/09/8,calculated, 
haun2009great,1,False,,,,,,,,,,not_provided,age_in_years at arrival provided by author in exp4/ age calculated for exp 2-3
haun2009great,2,True,individuals,5,,"wkprc_gorilla, wkprc_orangutan, wkprc_chimpanzee_a, wkprc_chimpanzee_b",,True,dataset,2007,22/02/2007 to 18/04/2007,calculated,age_in_years at arrival provided by author in exp4/ age calculated for exp 2-3
haun2009great,3,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b",,True,dataset,2007,16/04/2007 to 19/04/2007,calculated,age_in_years at arrival provided by author in exp4/ age calculated for exp 2-3
haun2009great,4,True,individuals,8,,occq_orangutan,,,,,,calculated,age_in_years at arrival provided by author in exp4/ age calculated for exp 2-3
haun2011great,1,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo, wkprc_orangutan, wkprc_gorilla",,True,dataset,"2007,2008",2007/01/06 to 2008/10/12,data_file_calculated,age_in_years calculated – age_original from data_file
heilbronner2008fruit,1,True,individuals,,,"wkprc_chimpanzee_a, wkprc_bonobo",,False,,,,publication, 
hepach2020help,1,False,,,,,,,,,,not_provided, 
hepach2020help,2,True,dyads,14,,"wkprc_chimpanzee_b, wkprc_chimpanzee_a",,True,publication,2014 - 2015,study was conducted between February 2014 and March 2015,calculated, 
hepach2021chimpanzees,1,True,dyads,5,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b",,True,publication,2014 - 2015,study was conducted between February 2014 and February 2015.,not_provided, 
hepach2021chimpanzees,2,True,dyads,7,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b",,True,publication,2016 - 2016,February 2016 and June 2016,not_provided, 
herrmann2006apes,1,True,individuals,3,"Corry, Joey, Limbuko","wkprc_chimpanzee_b, wkprc_chimpanzee_a, wkprc_bonobo",,False,,,,publication, 
herrmann2006apes,2,False,,,,,,,,,, , 
herrmann2019human,1,False,,,,,,,,,,not_provided, 
herrmann2019human,2,True,dyads,,,wkprc_chimpanzee_a,"sweetwaters_chimpanzee_old, sweetwaters_chimpanzee_young",True,dataset,2018,2018-01-5 to 2018 -01-22,calculated, 
hribar2011great,1,True,individuals,,,"wkprc_chimpanzee_b, wkprc_bonobo, wkprc_orangutan",,True,dataset,2009,2009/02/28 to 2009/03/10,calculated, 
hribar2011great,2,True,individuals,,,"wkprc_chimpanzee_b, wkprc_bonobo, wkprc_orangutan",,True,dataset,2009,2009/09/24 to 2009/09/30,calculated, 
hribar2011great,3,True,individuals,,,"wkprc_chimpanzee_b, wkprc_bonobo, wkprc_orangutan",,,,,,not_provided, 
kanngiesser2010bonobos,1,True,individuals,4,"dorien, natascha, swela, dunja","wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorillas, wkprc_bonobo, wkprc_orangutan",,True,dataset,"2007,2008",2007/05/29 to 2008/01/5,age_in_years calculated and age_original provided by author in publication, 
kanngiesser2010bonobos,2,True,individuals,1,pia,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorillas, wkprc_bonobo, wkprc_orangutan",,True,dataset,"2007,2008",2007/06/12 to 2008/01/4,age_in_years calculated and age_original provided by author in publication, 
kanngiesser2010bonobos,3,True,individuals,1,ulla,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo",,True,dataset,2008,2008/05/20 to 2008/07/10,age_in_years calculated and age_original provided by author in publication, 
kanngiesser2011limits,1,True,individuals,16,"fifi, gertrudia, riet, tai, unyoro, dokana, kila, padana",,,True,dataset,2008,2008/01/21 to 2008/08/14,calculated, 
kanngiesser2011limits,2,True,individuals,13,"annett, lome, robert, svela, kila","wkprc_chimpanzee_a,wkprc_chimpanzee_b, wkprc_gorilla, wkprc_orangutan, wkprc_bonobos",,True,dataset,2008,2008/02/21 to 2008/09/03,calculated, 
kanngiesser2011limits,3,True,individuals,1,yasa,"wkprc_orangutan, wkprc_bonobo",,True,dataset,2004,2004/07/16 to 2004/09/22,calculated, 
kanngiesser2020children,1,True,dyads,15,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo",,False,,,,publication, 
kanngiesser2020children,2,False,,,,,,,,,,not_provided, 
kano2011visual,1,True,individuals,,,"wkprc_gorilla, wkprc_orangutan, gari_chimpanzee, kupri_chimpanzee","okayama_adults, kyoto_adults, leipzig_adults",,,,,not_provided, 
kano2012face,1,True,individuals,,,"wkprc_gorilla, wkprc_orangutan",leipzig_adults,False,,,,publication,age_original from author and age_in_years adjusted
kano2014cross,1,True,individuals,,,"wkprc_bonobo, wkprc_orangutan, wkprc_chimpanzee_a, wkprc_chimpanzee_b",,,,,,not_provided, 
kano2014cross,2,False,,,,,,,,,,not_provided, 
kano2014cross,3,True,individuals,,,"wkprc_bonobo, wkprc_orangutan, wkprc_chimpanzee_a, wkprc_chimpanzee_b",,,,,,not_provided, 
kano2014great,1,True,individuals,5,"Jasongo, Joey, Getrudia, Pini, Fifi","wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_orangutan",,,,,,not_provided, 
kano2015social,1,True,individuals,,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, kumamoto_chimpanzee, kumamoto_bonobo",,,,,,data_file, 
kano2016nasal,1,True,individuals,,,wkprc_chimpanzee_a,,True,publication,2014,"All sessions were conducted between 10–12 am, in May–June 2014.",publication, 
kano2016nasal,2,False,individuals,,,kumamoto_chimpanzee,,True,publication,2014 - 2015,"All sessions were conducted in 12–13 pm, November–December 2014, and March–May 2015.",not_provided, 
kano2018human,1,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_orangutan, wkprc_bonobo",,,,,,not_provided, 
kano2018human,2,True,individuals,,,"kumamoto_chimpanzee, kumamoto_bonobo, kupri_chimpanzee",,,,,,not_provided, 
kano2018human,3,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo, wkprc_orangutan, kumamoto_bonobo",,,,,,not_provided, 
kano2018primate,1,partial,individuals,1,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_orangutan, kumamoto_chimpanzee, kumamoto_bonobo, rockefeller_rhesusmacaque",leipzig_adults,,,,,not_provided, 
kano2018primate,2,partial,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, kumamoto_chimpanzee","leipzig_children, european_adults, japan_adults",,,,,not_provided, 
kano2019great,1,True,individuals,,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_orangutan, kumamoto_bonobo, kumamoto_chimpanzee, kupri_chimpanzee",,,,,,not_provided, 
karg2016differing,1,True,dyads,2,"Corrie, Annett","wkprc_chimpanzee_a, wkprc_chimpanzee_b",leipzig_children,False,,,,data_file, 
karg2016differing,2,False,dyads,5,"Pasa, Kalema, Kisembo, Nani, Sally",ngamba_chimpanzee,,False,,,,not_provided, 
kirchhofer2012dogs,1,True,individuals,3,,wkprc_chimpanzee_a,"leipzig_dog, ngamba_chimpanzee",True,dataset,2008,2008/03/13 to 2008/04/04,data_file_calculated,age_in_years calculated - age_original from data_file
