participant,competition_and_cooperation,first_competition_and_cooperation,features_and_categories,first_features_and_categories,quantities_and_time,first_quantities_and_time,social_learning_and_culture,first_social_learning_and_culture,social_strategies_and_communication,first_social_strategies_and_communication,space_and_objects,first_space_and_objects,stimuli_and_arousal,first_stimuli_and_arousal,temperament_and_personality,first_temperament_and_personality,theory_of_mind_and_metacognition,first_theory_of_mind_and_metacognition,tools_and_causality,first_tools_and_causality
n’diki,4,brauer2006apes,1,haun2009great,3,vlamings2006great,3,tennie2006push,0,,7,call2004inferences,0,,1,uher2008coherence,3,brauer2005all,6,call2004inferences
n’kwango,1,brauer2006apes,0,,4,vlamings2006great,1,tennie2006push,0,,4,call2004inferences,0,,0,,2,brauer2005all,2,call2004inferences
ohini,0,,0,,0,,0,,0,,0,,0,,0,,1,kopp2021small,0,
okech,1,liebal2014does,0,,0,,0,,0,,0,,0,,0,,0,,0,
padana,9,brauer2006apes,8,haun2009great,14,vlamings2006great,6,tennie2006push,8,tempelmann2013apes,15,call2004inferences,0,,1,uher2008coherence,12,brauer2005all,26,call2004inferences
pagai,0,,0,,3,amici2008fission,0,,0,,3,amici2008fission,0,,0,,0,,3,amici2010monkeys
patrick,8,brauer2006apes,2,parron2008behavioural,8,heilbronner2008fruit,4,tennie2006push,3,herrmann2006apes,6,call2004inferences,0,,0,,6,brauer2005all,13,call2004inferences
pia,7,brauer2006apes,2,parron2008behavioural,5,heilbronner2008fruit,4,tennie2010evidence,4,liszkowski2009prelinguistic,4,haun2009great,0,,0,,6,brauer2005all,15,martin2008tubes
pini,11,brauer2006apes,8,haun2009great,17,suda2004piagetian,6,tennie2006push,8,tempelmann2013apes,16,call2004inferences,0,,1,uher2008coherence,12,brauer2005all,26,call2004inferences
raja,5,amici2014calculated,7,kano2011visual,10,amici2008fission,2,allritz2013food,6,bohn2015communication,6,amici2008fission,0,,0,,9,kano2014cross,17,amici2010monkeys
riet,16,brauer2006apes,4,parron2008behavioural,6,kanngiesser2011limits,5,tennie2006push,6,brauer2006making,11,call2004inferences,1,kano2016nasal,0,,16,brauer2005all,18,call2004inferences
robert,20,brauer2006apes,4,parron2008behavioural,8,heilbronner2008fruit,5,tennie2006push,9,brauer2006making,9,call2004inferences,1,kano2016nasal,1,uher2008coherence,16,brauer2006making,19,call2004inferences
roland,1,liebal2014does,0,,0,,0,,0,,0,,0,,0,,0,,0,
ruby_b'windi,4,brauer2006apes,0,,3,vlamings2006great,3,tennie2006push,0,,6,call2004inferences,0,,1,uher2008coherence,3,brauer2005all,4,call2004inferences
sabin,1,liebal2014does,0,,0,,0,,0,,0,,0,,0,,0,,0,
sallie,1,liebal2014does,0,,0,,0,,0,,0,,0,,0,,0,,0,
sally,1,liebal2014does,0,,0,,0,,0,,0,,0,,0,,0,,0,
sam,1,liebal2014does,0,,0,,0,,0,,0,,0,,0,,0,,0,
sandra,28,brauer2006apes,4,parron2008behavioural,15,suda2004piagetian,5,tennie2006push,10,brauer2006making,13,call2004inferences,0,,1,uher2008coherence,20,brauer2005all,23,call2004inferences
suaq,2,volter2015exploitation,7,kano2011visual,3,sanchez2016differences,1,forss2016cognitive,5,bohn2015communication,1,lewis2017non,0,,0,,6,kano2014cross,5,manrique2015age
swela,3,engelmann2012five,1,parron2008behavioural,3,kanngiesser2011limits,6,tennie2010evidence,4,liszkowski2009prelinguistic,1,lewis2017non,0,,0,,4,bohn2017information,9,hanus2011comparing
tai,21,brauer2009apes,0,,7,kanngiesser2011limits,5,tennie2010two,5,kirchhofer2012dogs,4,kanngiesser2010bonobos,0,,0,,8,schmelz2011chimpanzees,17,manrique2010great
tanah,2,volter2015exploitation,6,kano2012face,2,sanchez2016differences,1,forss2016cognitive,2,kano2018human,1,lewis2017non,0,,0,,8,kano2014cross,6,manrique2015age
tao,0,,1,ebel2020object,0,,1,forss2016cognitive,0,,0,,0,,0,,0,,1,forss2016cognitive
toba,1,brauer2006apes,0,,5,suda2004piagetian,3,tennie2006push,0,,6,call2004inferences,0,,0,,3,brauer2005all,4,call2004inferences
tumbo,1,liebal2014does,0,,0,,0,,0,,0,,0,,0,,0,,0,
ulin,1,liebal2014does,0,,0,,0,,0,,0,,0,,0,,0,,0,
ulindi,7,brauer2006apes,2,haun2009great,15,suda2004piagetian,3,tennie2006push,2,brauer2006making,13,call2004inferences,0,,1,uher2008coherence,7,brauer2005all,15,call2004inferences
ulla,10,russell2008image,3,parron2008behavioural,7,suda2004piagetian,4,tennie2006push,3,brauer2006making,4,call2004inferences,0,,0,,11,brauer2005all,14,call2004inferences
umugenzi,1,liebal2014does,0,,0,,0,,0,,0,,0,,0,,0,,0,
unyoro,2,amici2012aversion,1,haun2009great,1,kanngiesser2011limits,3,tennie2009ratcheting,0,,1,haun2009great,0,,0,,0,,2,hanus2011comparing
vimoto,0,,0,,0,,0,,0,,1,call2004inferences,0,,0,,1,brauer2005all,1,call2004inferences
viringika,7,brauer2006apes,4,haun2009great,13,vlamings2006great,3,tennie2009ratcheting,2,bohn2015communication,8,call2004inferences,0,,1,uher2008coherence,3,brauer2005all,13,call2004inferences
vizuri,0,,0,,1,amici2012modular,0,,0,,2,call2004inferences,0,,0,,1,brauer2005all,2,call2004inferences
walter,1,brauer2006apes,0,,6,suda2004piagetian,3,tennie2006push,0,,6,call2004inferences,0,,0,,3,brauer2005all,4,call2004inferences
yaro,0,,0,,0,,0,,1,kano2018human,0,,0,,0,,4,krupenye2016great,0,
yasa,13,russell2008image,3,haun2009great,15,heilbronner2008fruit,2,tennie2009ratcheting,6,bohn2015communication,11,haun2006evolutionary,0,,1,uher2008coherence,11,russell2008image,18,martin2008tubes
yasmin,1,liebal2014does,0,,0,,0,,0,,0,,0,,0,,0,,0,
youma,0,,0,,0,,0,,0,,0,,0,,0,,1,kopp2021small,0,
zira,2,wolf2019visually,0,,0,,0,,1,tauzin2020context,0,,0,,0,,1,kopp2021small,0,
zola,0,,2,kano2011visual,1,rakoczy2014apes,0,,0,,0,,0,,0,,0,,0,
zora,0,,0,,0,,1,tennie2009ratcheting,0,,1,cacchione2009gravity,0,,0,,0,,1,cacchione2009gravity
