"name","species","location","group_id","transfer_chimp_a_b","sex","breeding","father","mother","place_of_birth","day_of_birth","month_of_birth","year_of_birth","day_in_leipzig_since","month_in_leipzig_since","year_in_leipzig_since","arrived_from","day_of_death","month_of_death","year_of_death"
"zola","gorilla","left_for_other_zoo","wkprc_gorilla","no","female","parent","gorgo","viringika","leipzig",15,4,2008,15,4,2008,,,,
"batak","orangutan","left_for_other_zoo","wkprc_orangutan","no","male","parent","bimbo","pini","leipzig",30,10,2009,30,10,2009,,,,
"bimbo","orangutan","leipzig","wkprc_orangutan","no","male","hand_reared","major","noni","zoo_duisburg",20,9,1980,21,12,2000,"peaugres",,,
"dokana","orangutan","leipzig","wkprc_orangutan","no","female","parent","djeruk","djudi","dresden",31,1,1989,7,5,2002,"dresden",,,
"dunja","orangutan","died","wkprc_orangutan","no","female","parent","hans","ulla","tp_berlin-friedrichsfelde_gmbh",19,4,1973,13,4,1976,"Berlin","27","10","2009"
"kila","orangutan","left_for_other_zoo","wkprc_orangutan","no","female","parent","tuhjo","dunja","leipzig",2,6,2000,2,6,2000,,,,
"lursa","orangutan","leipzig","wkprc_orangutan","no","female","parent","bimbo","raja","leipzig",21,8,2021,21,8,2021,,,,
"maia","orangutan","left_for_other_zoo","wkprc_orangutan","no","female","parent","bimbo","dunja","leipzig",7,12,2007,7,12,2007,,,,
"martok","orangutan","died","wkprc_orangutan","no","male","parent","bimbo","raja","leipzig",25,3,2017,25,3,2017,,"9","8","2020"
"mengala","orangutan","left_for_other_zoo","wkprc_orangutan","no","female","parent","willem","duriane","budapest",25,4,1996,8,10,2012,"budapest",,,
"padana","orangutan","leipzig","wkprc_orangutan","no","female","parent","walther","pini","leipzig",18,11,1997,18,11,1997,,,,
"pagai","orangutan","died","wkprc_orangutan","no","male","parent","bimbo","dokana","leipzig",6,12,2003,6,12,2003,,"1","9","2008"
"pini","orangutan","leipzig","wkprc_orangutan","no","female","parent","coco","dunja","leipzig",30,6,1988,30,6,1988,,,,
"raja","orangutan","leipzig","wkprc_orangutan","no","female","parent","walther","pini","leipzig",26,9,2003,26,9,2003,,,,
"rima","orangutan","died","wkprc_orangutan","no","female","parent","bimbo","pini","leipzig",2,8,2019,2,8,2019,,"12","4","2020"
"sari","orangutan","leipzig","wkprc_orangutan","no","female","parent","bimbo","padana","leipzig",5,8,2017,5,8,2017,,,,
"suaq","orangutan","left_for_other_zoo","wkprc_orangutan","no","male","parent","bimbo","padana","leipzig",14,5,2009,14,5,2009,,,,
"tanah","orangutan","left_for_other_zoo","wkprc_orangutan","no","female","parent","bimo","dokana","leipzig",16,6,2009,16,6,2009,,,,
"tao","orangutan","left_for_other_zoo","wkprc_orangutan","no","female","parent","walther","toba","leipzig",18,11,2004,18,11,2004,,,,
"toba","orangutan","left_for_other_zoo","wkprc_orangutan","no","female","parent","djeruk","dunja","leipzig",7,2,1994,7,2,1994,,,,
"vilmos","orangutan","left_for_other_zoo","wkprc_orangutan","no","male","parent","chuij","mengala","budapest",9,12,2010,9,10,2012,"budapest",,,
"walter","orangutan","left_for_other_zoo","wkprc_orangutan","no","male","parent","charly","djambi","frankfurt_a_main",24,4,1989,25,3,1993,"Furuvik",,,
"zora","orangutan","left_for_other_zoo","wkprc_orangutan","no","female","hand_reared","bruno","tessy","munich",1,5,1990,1,7,2005,"hannover",,,
