study_id,experiment,participant,sex,species,group_id,order_of_condition,face_view_time_ostensive_still_phase,face_view_time_ostensive_cue_phase,face_view_time_ostensive_look_phase,face_view_time_control_still_phase,face_view_time_control_cue_phase,face_view_time_control_look_phase,first_look_ostensive_target,first_look_ostensive_distractor,first_look_control_target,first_look_control_distractor,viewing_time_ostensive_target,viewing_time_ostensive_distractor,viewing_time_control_target,viewing_time_control_distractor
kano2018human,1,fimi,f,bonobo,mpi,control,611.1111111,2516.666667,694.4444444,633.3333333,955.5555556,438.8888889,1.0,2.0,2.0,1.0,80.55555556,86.11111111,105.5555556,100.0
kano2018human,1,gemena,f,bonobo,mpi,ostension,288.8888889,619.4444444,133.3333333,358.3333333,1152.777778,819.4444444,2.0,1.0,1.0,2.0,686.1111111,44.44444444,241.6666667,127.7777778
kano2018human,1,jasongo,m,bonobo,mpi,ostension,575.0,3005.555556,1216.666667,638.8888889,1075.0,602.7777778,3.0,0.0,0.0,3.0,738.8888889,0.0,216.6666667,236.1111111
kano2018human,1,joey,m,bonobo,mpi,ostension,462.5,1908.333333,1475.0,147.2222222,1302.777778,1288.888889,0.0,1.0,0.0,1.0,0.0,233.3333333,933.3333333,152.7777778
kano2018human,1,kuno,m,bonobo,mpi,ostension,455.5555556,2569.444444,1113.888889,347.2222222,1452.777778,994.4444444,4.0,1.0,4.0,1.0,683.3333333,266.6666667,213.8888889,144.4444444
kano2018human,1,luiza,f,bonobo,mpi,control,413.8888889,2716.666667,1027.777778,763.8888889,1725.0,866.6666667,2.0,3.0,2.0,1.0,183.3333333,266.6666667,225.0,130.5555556
kano2018human,1,yasa,f,bonobo,mpi,control,533.3333333,2444.444444,686.1111111,344.4444444,1047.222222,647.2222222,3.0,3.0,2.0,3.0,347.2222222,263.8888889,119.4444444,261.1111111
kano2018human,1,alex,m,chimpanzee,mpi,ostension,697.2222222,2922.222222,800.0,436.1111111,1575.0,1136.111111,1.0,3.0,3.0,1.0,586.1111111,444.4444444,447.2222222,138.8888889
kano2018human,1,bangolo,m,chimpanzee,mpi,ostension,108.3333333,1305.555556,2.777777778,94.44444444,566.6666667,25.0,4.0,2.0,2.0,1.0,405.5555556,208.3333333,194.4444444,66.66666667
kano2018human,1,daza,f,chimpanzee,mpi,ostension,825.0,2652.777778,2969.444444,602.7777778,1683.333333,947.2222222,0.0,2.0,0.0,1.0,108.3333333,261.1111111,0.0,80.55555556
kano2018human,1,frederike,f,chimpanzee,mpi,control,602.7777778,2588.888889,2738.888889,1283.333333,3233.333333,2555.555556,3.0,1.0,2.0,1.0,636.1111111,747.2222222,100.0,219.4444444
kano2018human,1,fraukje,f,chimpanzee,mpi,control,369.4444444,1986.111111,2511.111111,169.4444444,1505.555556,1158.333333,2.0,3.0,2.0,1.0,702.7777778,252.7777778,394.4444444,105.5555556
kano2018human,1,jahaga,f,chimpanzee,mpi,ostension,594.4444444,1975.0,886.1111111,355.5555556,1455.555556,569.4444444,4.0,1.0,5.0,0.0,402.7777778,158.3333333,216.6666667,55.55555556
kano2018human,1,jeudi,f,chimpanzee,mpi,control,316.6666667,986.1111111,300.0,350.0,1466.666667,772.2222222,1.0,2.0,3.0,0.0,113.8888889,97.22222222,569.4444444,275.0
kano2018human,1,kara,f,chimpanzee,mpi,control,130.5555556,655.5555556,2.777777778,177.7777778,711.1111111,25.0,2.0,1.0,0.0,0.0,111.1111111,116.6666667,0.0,0.0
kano2018human,1,kofi,m,chimpanzee,mpi,control,47.22222222,372.2222222,144.4444444,443.3333333,2083.333333,1350.0,2.0,0.0,0.0,0.0,225.0,50.0,0.0,0.0
kano2018human,1,lobo,m,chimpanzee,mpi,ostension,255.5555556,1488.888889,1258.333333,63.88888889,158.3333333,100.0,1.0,0.0,1.0,2.0,66.66666667,52.77777778,77.77777778,52.77777778
kano2018human,1,lome,m,chimpanzee,mpi,ostension,96.66666667,1006.666667,46.66666667,0.0,194.4444444,0.0,1.0,0.0,2.0,1.0,150.0,0.0,111.1111111,13.88888889
kano2018human,1,natascha,f,chimpanzee,mpi,control,188.8888889,375.0,61.11111111,383.3333333,705.5555556,580.5555556,0.0,0.0,0.0,1.0,0.0,0.0,38.88888889,44.44444444
kano2018human,1,riet,f,chimpanzee,mpi,ostension,391.6666667,2666.666667,1141.666667,516.6666667,1108.333333,175.0,3.0,2.0,2.0,3.0,188.8888889,144.4444444,111.1111111,322.2222222
kano2018human,1,robert,m,chimpanzee,mpi,ostension,530.5555556,3277.777778,1444.444444,405.5555556,1425.0,788.8888889,3.0,3.0,1.0,3.0,161.1111111,333.3333333,111.1111111,138.8888889
kano2018human,1,sandra,f,chimpanzee,mpi,control,219.4444444,988.8888889,133.3333333,241.6666667,872.2222222,461.1111111,3.0,2.0,2.0,1.0,130.5555556,200.0,113.8888889,213.8888889
kano2018human,1,batak,m,orangutan,mpi,ostension,366.6666667,1670.0,933.3333333,80.0,1580.0,183.3333333,1.0,4.0,0.0,3.0,813.3333333,660.0,383.3333333,456.6666667
kano2018human,1,dokana,f,orangutan,mpi,ostension,172.2222222,1075.0,280.5555556,86.11111111,572.2222222,158.3333333,5.0,1.0,2.0,3.0,830.5555556,508.3333333,563.8888889,313.8888889
kano2018human,1,padana,f,orangutan,mpi,control,352.7777778,2863.888889,986.1111111,477.7777778,1561.111111,777.7777778,4.0,2.0,2.0,1.0,1358.333333,1152.777778,416.6666667,269.4444444
kano2018human,1,pini,f,orangutan,mpi,ostension,341.6666667,1311.111111,572.2222222,391.6666667,1105.555556,694.4444444,0.0,3.0,0.0,1.0,419.4444444,813.8888889,36.11111111,72.22222222
kano2018human,1,raja,f,orangutan,mpi,ostension,94.44444444,580.5555556,191.6666667,125.0,750.0,0.0,5.0,0.0,1.0,0.0,350.0,363.8888889,16.66666667,0.0
kano2018human,1,suaq,m,orangutan,mpi,control,308.3333333,2250.0,125.0,169.4444444,2458.333333,1338.888889,4.0,2.0,4.0,2.0,930.5555556,941.6666667,561.1111111,533.3333333
kano2018human,1,tanah,f,orangutan,mpi,control,108.3333333,1866.666667,519.4444444,325.0,1530.555556,530.5555556,2.0,2.0,3.0,2.0,669.4444444,419.4444444,366.6666667,544.4444444
