study_id,experiment,participant,sex,species,group_id,order_of_condition,face_view_time_ostensive_still_phase,face_view_time_ostensive_cue_phase,face_view_time_ostensive_look_phase,face_view_time_control_still_phase,face_view_time_control_cue_phase,face_view_time_control_look_phase,first_look_ostensive_target,first_look_ostensive_distractor,first_look_control_target,first_look_control_distractor,viewing_time_ostensive_target,viewing_time_ostensive_distractor,viewing_time_control_target,viewing_time_control_distractor
kano2018human,3,frodo,m,chimpanzee,mpi,control_eat,150.0,691.6666667,0.0,244.4444444,236.1111111,88.88888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kano2018human,3,jahaga,f,chimpanzee,mpi,control_eat,380.5555556,2175.0,508.3333333,486.1111111,1891.666667,1150.0,3.0,1.0,3.0,1.0,258.3333333,186.1111111,169.4444444,52.77777778
kano2018human,3,jeudi,f,chimpanzee,mpi,ostension,144.4444444,1041.666667,486.1111111,255.5555556,880.5555556,833.3333333,4.0,0.0,2.0,1.0,350.0,183.3333333,225.0,161.1111111
kano2018human,3,kofi,m,chimpanzee,mpi,ostension,88.88888889,972.2222222,1002.777778,88.88888889,375.0,0.0,0.0,0.0,0.0,0.0,27.77777778,22.22222222,0.0,0.0
kano2018human,3,lobo,m,chimpanzee,mpi,ostension,136.1111111,325.0,183.3333333,186.1111111,536.1111111,30.55555556,0.0,1.0,0.0,0.0,0.0,38.88888889,0.0,0.0
kano2018human,3,riet,f,chimpanzee,mpi,ostension,563.8888889,1144.444444,477.7777778,855.5555556,2697.222222,933.3333333,2.0,0.0,1.0,1.0,216.6666667,163.8888889,113.8888889,319.4444444
kano2018human,3,robert,m,chimpanzee,mpi,control_eat,136.1111111,2388.888889,1197.222222,341.6666667,1669.444444,511.1111111,2.0,0.0,0.0,2.0,138.8888889,33.33333333,36.11111111,169.4444444
kano2018human,3,sandra,f,chimpanzee,mpi,control_eat,136.1111111,786.1111111,130.5555556,194.4444444,583.3333333,102.7777778,1.0,1.0,3.0,1.0,44.44444444,33.33333333,155.5555556,47.22222222
kano2018human,3,tai,f,chimpanzee,mpi,ostension,80.55555556,2047.222222,297.2222222,44.44444444,1216.666667,0.0,0.0,2.0,0.0,1.0,122.2222222,205.5555556,194.4444444,194.4444444
kano2018human,3,dokana,f,orangutan,mpi,control_eat,202.7777778,536.1111111,313.8888889,441.6666667,1955.555556,1141.666667,2.0,1.0,4.0,1.0,919.4444444,791.6666667,1225.0,491.6666667
kano2018human,3,padana,f,orangutan,mpi,control_eat,697.2222222,2319.444444,1936.111111,341.6666667,2619.444444,1694.444444,1.0,4.0,3.0,0.0,1080.555556,208.3333333,600.0,280.5555556
kano2018human,3,pini,f,orangutan,mpi,ostension,430.5555556,1925.0,750.0,333.3333333,2486.111111,1475.0,0.0,2.0,4.0,1.0,522.2222222,694.4444444,1222.222222,950.0
kano2018human,3,raja,f,orangutan,mpi,ostension,105.5555556,1319.444444,430.5555556,266.6666667,1460.0,183.3333333,1.0,0.0,1.0,1.0,180.5555556,88.88888889,130.0,170.0
kano2018human,3,suaq,m,orangutan,mpi,control_eat,250.0,1827.777778,586.1111111,308.3333333,1572.222222,616.6666667,1.0,0.0,3.0,1.0,466.6666667,97.22222222,472.2222222,141.6666667
kano2018human,3,tanah,f,orangutan,mpi,ostension,352.7777778,2205.555556,650.0,894.4444444,2616.666667,1675.0,3.0,1.0,4.0,0.0,688.8888889,380.5555556,808.3333333,50.0
