study_id,experiment,participant,sex,species,group_id,order_of_condition,face_view_time_ostensive_still_phase,face_view_time_ostensive_cue_phase,face_view_time_ostensive_look_phase,face_view_time_control_still_phase,face_view_time_control_cue_phase,face_view_time_control_look_phase,first_look_ostensive_target,first_look_ostensive_distractor,first_look_control_target,first_look_control_distractor,viewing_time_ostensive_target,viewing_time_ostensive_distractor,viewing_time_control_target,viewing_time_control_distractor
kano2018human,3,ikela,f ,bonobo,ks,ostension,222.0,713.3333333,53.33333333,248.3333333,1099.444444,286.6666667,0.0,0.0,1.0,0.0,0.0,0.0,177.2222222,65.55555556
kano2018human,3,jr,m ,bonobo,ks,control_eat,293.3333333,1197.777778,767.2222222,160.0,1590.555556,1190.555556,1.0,0.0,2.0,0.0,10.55555556,4.444444444,120.0,0.0
kano2018human,3,lenore,f ,bonobo,ks,ostension,726.1111111,1132.777778,768.3333333,690.0,1098.888889,543.8888889,3.0,0.0,0.0,3.0,508.3333333,98.33333333,72.22222222,93.33333333
kano2018human,3,loleta,f ,bonobo,ks,ostension,329.4444444,244.4444444,170.0,483.3333333,1015.0,496.1111111,0.0,0.0,0.0,2.0,56.66666667,39.44444444,36.66666667,166.1111111
kano2018human,3,louise,f ,bonobo,ks,ostension,489.4444444,2447.777778,1077.777778,615.0,1362.777778,533.8888889,0.0,1.0,1.0,0.0,0.0,51.66666667,263.3333333,25.55555556
kano2018human,3,vijay,m ,bonobo,ks,control_eat,485.0,2516.111111,796.6666667,451.3333333,1978.0,1102.666667,5.0,1.0,1.0,3.0,706.1111111,376.6666667,325.3333333,369.3333333
kano2018human,3,fimi,f,bonobo,mpi,ostension,450.0,2363.888889,1166.666667,400.0,1313.888889,600.0,3.0,1.0,3.0,0.0,569.4444444,366.6666667,430.5555556,97.22222222
kano2018human,3,gemena,f,bonobo,mpi,ostension,361.1111111,1252.777778,433.3333333,222.2222222,1183.333333,613.8888889,1.0,0.0,0.0,2.0,316.6666667,50.0,75.0,155.5555556
kano2018human,3,kuno,m,bonobo,mpi,control_eat,283.3333333,1719.444444,963.8888889,330.5555556,2127.777778,1841.666667,2.0,1.0,0.0,1.0,147.2222222,255.5555556,138.8888889,286.1111111
kano2018human,3,lexi,f,bonobo,mpi,ostension,497.2222222,1772.222222,1155.555556,677.7777778,1863.888889,572.2222222,2.0,2.0,4.0,1.0,311.1111111,486.1111111,277.7777778,269.4444444
kano2018human,3,yaro,m,bonobo,mpi,ostension,613.8888889,1863.888889,413.8888889,533.3333333,1883.333333,608.3333333,2.0,2.0,1.0,0.0,569.4444444,261.1111111,94.44444444,16.66666667
kano2018human,3,yasa,f,bonobo,mpi,control_eat,405.5555556,1250.0,258.3333333,433.3333333,1055.555556,563.8888889,2.0,1.0,2.0,0.0,177.7777778,41.66666667,186.1111111,163.8888889
kano2018human,3,kasai_II,m,bonobo,mpi,control_eat,636.1111111,1994.444444,1327.777778,497.2222222,2188.888889,905.5555556,5.0,1.0,3.0,0.0,780.5555556,422.2222222,622.2222222,336.1111111
kano2018human,3,hatsuka,f,chimpanzee,ks,ostension,671.6666667,1359.444444,510.5555556,741.6666667,1635.0,533.8888889,3.0,1.0,0.0,1.0,694.4444444,815.0,56.11111111,75.55555556
kano2018human,3,iroha,f ,chimpanzee,ks,ostension,513.8888889,1485.0,1008.888889,620.5555556,2278.333333,820.0,2.0,2.0,0.0,1.0,685.5555556,633.8888889,162.7777778,174.4444444
kano2018human,3,misaki,f ,chimpanzee,ks,control_eat,401.6666667,1337.777778,1903.888889,157.2222222,2031.666667,522.7777778,0.0,1.0,0.0,0.0,1035.0,87.22222222,54.44444444,0.0
kano2018human,3,mizuki,f ,chimpanzee,ks,control_eat,393.3333333,2093.333333,680.5555556,712.7777778,2032.222222,1385.0,2.0,0.0,3.0,0.0,122.2222222,153.3333333,340.0,56.66666667
kano2018human,3,natsuki,f ,chimpanzee,ks,ostension,134.4444444,789.4444444,237.7777778,95.55555556,1807.777778,153.8888889,0.0,3.0,2.0,0.0,10.0,666.6666667,93.33333333,62.77777778
kano2018human,3,alex,m,chimpanzee,mpi,ostension,886.1111111,1900.0,1591.666667,1027.777778,2969.444444,2105.555556,2.0,1.0,2.0,0.0,83.33333333,683.3333333,300.0,400.0
kano2018human,3,bangolo,m,chimpanzee,mpi,control_eat,156.6666667,380.0,26.66666667,138.8888889,483.3333333,0.0,1.0,1.0,0.0,0.0,30.0,30.0,72.22222222,0.0
kano2018human,3,daza,f,chimpanzee,mpi,control_eat,986.1111111,2419.444444,2338.888889,591.6666667,2783.333333,3155.555556,0.0,1.0,0.0,2.0,22.22222222,516.6666667,150.0,561.1111111
kano2018human,3,fraukje,f,chimpanzee,mpi,control_eat,422.2222222,1122.222222,1558.333333,397.2222222,1758.333333,797.2222222,0.0,0.0,1.0,0.0,50.0,0.0,80.55555556,27.77777778
kano2018human,3,frederike,f,chimpanzee,mpi,ostension,886.1111111,2547.222222,3113.888889,1033.333333,2447.222222,3002.777778,2.0,0.0,1.0,0.0,372.2222222,58.33333333,222.2222222,0.0
