study_id,participant,age_category,sex,species,inhibition_anotb,inhibition_middlecup,inhibition_plexiglashole,inhibition_swingdoor,inhibition_delayofgratification,memory_30sec,memory_30min,transposition1,transposition2,transposition3,transposition4,support1_cloth,support2_cloth,support3_cloth,support4_strings,support5_strings,support6_strings
amici2012modular,alex,s,m,chimpanzee,,,,,,,,,,,,66.7,50.0,50.0,50.0,50.0,50.0
amici2012modular,alexandra,s,f,chimpanzee,,,,,,,,,,,,50.0,83.3,83.3,50.0,66.7,50.0
amici2012modular,annett,s,f,chimpanzee,,,,,,,,,,,,50.0,50.0,33.3,66.7,66.7,66.7
amici2012modular,brent,s,m,chimpanzee,,,,,,,,,,,,83.3,83.3,66.7,50.0,50.0,33.3
amici2012modular,corry,a,f,chimpanzee,,,,,,100.0,67.0,,,,,50.0,66.7,50.0,,,
amici2012modular,dorien,a,f,chimpanzee,,,100.0,,162,100.0,100.0,,,,,66.7,66.7,50.0,66.7,83.3,33.3
amici2012modular,fifi,a,f,chimpanzee,100.0,100.0,50.0,0.0,.,100.0,,100.0,100.0,100.0,100.0,83.3,50.0,66.7,66.7,50.0,66.7
amici2012modular,fraukje,a,f,chimpanzee,100.0,50.0,100.0,0.0,106,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.7,83.3,100.0,33.3,83.3
amici2012modular,frodo,a,m,chimpanzee,100.0,100.0,100.0,0.0,,67.0,,100.0,100.0,100.0,100.0,100.0,83.3,100.0,66.7,16.7,50.0
amici2012modular,jahaga,a,f,chimpanzee,100.0,100.0,100.0,0.0,,67.0,,100.0,50.0,100.0,100.0,66.7,83.3,66.7,83.3,33.3,50.0
amici2012modular,lome,s,m,chimpanzee,,,,,,100.0,67.0,,,,,,,,,,
amici2012modular,natascha,a,f,chimpanzee,,,,,,,,,,,,50.0,33.3,50.0,66.7,50.0,33.3
amici2012modular,patrick,s,m,chimpanzee,,,,,108,,,,,,,66.7,83.3,66.7,100.0,50.0,50.0
amici2012modular,pia,s,f,chimpanzee,,,,,,,,,,,,66.7,50.0,50.0,66.7,50.0,83.3
amici2012modular,riet,a,f,chimpanzee,100.0,50.0,100.0,40.0,,100.0,100.0,100.0,100.0,100.0,100.0,66.7,50.0,100.0,83.3,66.7,50.0
amici2012modular,robert,a,m,chimpanzee,,,,,157,100.0,67.0,,,,,66.7,66.7,50.0,83.3,33.3,66.7
amici2012modular,sandra,a,f,chimpanzee,100.0,0.0,100.0,,80,100.0,100.0,100.0,50.0,100.0,100.0,66.7,50.0,83.3,0.0,33.3,33.3
amici2012modular,gertrudia,a,f,chimpanzee,100.0,0.0,100.0,0.0,,100.0,,100.0,50.0,100.0,100.0,100.0,66.7,83.3,33.3,66.7,33.3
amici2012modular,ulla,a,f,chimpanzee,,,,,,,,,,,,83.3,66.7,83.3,66.7,100.0,66.7
amici2012modular,joey,a,m,bonobo,100.0,50.0,100.0,0.0,92,100.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,50.0,83.3,100.0,66.7
amici2012modular,kuno,a,m,bonobo,100.0,100.0,100.0,0.0,80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,83.3,33.3,50.0,83.3
amici2012modular,limbuko,a,m,bonobo,100.0,100.0,100.0,0.0,59,100.0,33.0,100.0,100.0,100.0,100.0,50.0,33.3,100.0,83.3,33.3,16.7
amici2012modular,ulindi,a,f,bonobo,100.0,50.0,50.0,0.0,91,100.0,100.0,100.0,100.0,100.0,100.0,83.3,66.7,83.3,50.0,83.3,66.7
amici2012modular,yasa,a,f,bonobo,,,,,50,100.0,100.0,,,,,50.0,50.0,50.0,66.7,83.3,50.0
amici2012modular,bebe,a,f,gorilla,100.0,0.0,0.0,0.0,25,67.0,33.0,100.0,100.0,100.0,100.0,66.7,66.7,16.7,50.0,66.7,33.3
amici2012modular,gorgo,a,m,gorilla,100.0,0.0,0.0,0.0,30,67.0,33.0,50.0,50.0,100.0,100.0,66.7,66.7,66.7,83.3,66.7,66.7
amici2012modular,kibara,j,f,gorilla,,,,,48,100.0,67.0,,,,,,,,,,
amici2012modular,n’diki,a,f,gorilla,100.0,100.0,50.0,50.0,,67.0,,50.0,100.0,0.0,100.0,66.7,50.0,16.7,66.7,66.7,66.7
amici2012modular,n’kwango,a,m,gorilla,100.0,0.0,50.0,0.0,,67.0,,100.0,100.0,100.0,100.0,,,,,,
amici2012modular,ruby_b'windi,a,f,gorilla,100.0,50.0,100.0,0.0,,100.0,,100.0,50.0,100.0,100.0,50.0,66.7,33.3,50.0,33.3,16.7
amici2012modular,viringika,a,f,gorilla,100.0,0.0,50.0,0.0,73,100.0,67.0,50.0,100.0,0.0,100.0,83.3,66.7,66.7,83.3,33.3,83.3
amici2012modular,vizuri,a,f,gorilla,100.0,0.0,,,,100.0,,100.0,50.0,100.0,100.0,,,,,,
amici2012modular,bimbo,a,m,orangutan,100.0,100.0,100.0,50.0,30,100.0,33.0,50.0,100.0,0.0,100.0,66.7,50.0,83.3,66.7,33.3,50.0
amici2012modular,dokana,a,f,orangutan,,,,90.0,76,33.0,33.0,,,,,66.7,33.3,66.7,83.3,50.0,33.3
amici2012modular,dunja,a,f,orangutan,100.0,100.0,100.0,0.0,85,67.0,100.0,100.0,50.0,100.0,100.0,66.7,33.3,66.7,50.0,50.0,83.3
amici2012modular,kila,s,f,orangutan,,,,,27,33.0,0.0,,,,,,,,,,
amici2012modular,padana,a,f,orangutan,0.0,0.0,100.0,20.0,44,67.0,67.0,100.0,100.0,100.0,100.0,83.3,66.7,100.0,50.0,66.7,50.0
amici2012modular,pagai,j,m,orangutan,,,,,21,67.0,67.0,,,,,,,,,,
amici2012modular,pini,a,f,orangutan,100.0,0.0,100.0,20.0,74,100.0,100.0,50.0,100.0,100.0,100.0,83.3,50.0,83.3,83.3,33.3,66.7
amici2012modular,raja,j,f,orangutan,,,,,40,67.0,33.0,,,,,,,,,,
