"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant – focal_participant_left "
"participant_2","name of the participant_2 "
"age_in_years_2","age presented in years of the participant_2 – see metadata for source of age"
"sex_2","sex of the participant_2 "
"role_2","role of the participant_2 – focal_participant_right"
"species","species of individuals participating in the study -bonobo/chimpanzee"
"dyad","name of the two participants that compose the dyad "
"phase","training phase participants received prior to the test – 1 (individual) / 2 (dyadic)"
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"food_in_non_social","the quantity of food in the non-social option -0/ 1/3/5"
"position_5_rewards_in_social","the position of the 5 items in the tray – free_exterior_side/ roped_interior_side"
"position_1_reward_in_social","the position of the 1 items in the tray - free_exterior_side/ roped_interior_side"
"choice_focal_participant_right","the choice the participant_right made – social/ non_social"
"choice_focal_participant_left","the choice the participant_right made - social/ non_social"
"latency_open_door_right","the latency in seconds of participant_right to slide the door to open the access to the social or non-social option / N = participant did not open any door."
"latency_open_door_left","the latency in seconds of participant_left to slide the door to open the access to the social or non-social option / N = when participant did not open any door."
"pull_latency_focal_participant_right","latency in seconds to pull once a participant_right chose the social option/ NP = no pull. "
"pull_latency_focal_participant_left","latency in seconds to pull once a participant_left chose the social option/ NP = no pull. "
"get_focal_participant_right","the amount of rewards participant_right obtained"
"get_focal_participant_left","the amount of rewards participant_left obtained"
