study_id,year,month,day,participant,age_in_years,sex,species,session,trial,condition,left,center,right,choice,position_strictly_dominated_baseline
sanchez2019disentangling,2016,7,11,abeeku,17.0,m,gorilla,4,7,control_for_preference_grape,banana,grape,grape,grape,end
sanchez2019disentangling,2016,7,11,abeeku,17.0,m,gorilla,4,8,control_for_preference_grape,grape,grape,banana,banana,end
sanchez2019disentangling,2016,7,11,abeeku,17.0,m,gorilla,4,9,test_decoy_small_banana,small_banana,banana,grape,banana,end
sanchez2019disentangling,2016,7,11,abeeku,17.0,m,gorilla,4,10,control_for_preference_grape,banana,grape,grape,grape,end
sanchez2019disentangling,2016,7,11,abeeku,17.0,m,gorilla,4,11,test_decoy_small_grape,grape,small_grape,banana,banana,end
sanchez2019disentangling,2016,7,11,abeeku,17.0,m,gorilla,4,12,test_decoy_small_banana,small_banana,grape,banana,banana,end
sanchez2019disentangling,2016,7,14,abeeku,17.0,m,gorilla,5,1,control_for_preference_grape,grape,grape,banana,banana,end
sanchez2019disentangling,2016,7,14,abeeku,17.0,m,gorilla,5,2,test_decoy_small_banana,banana,small_banana,grape,banana,end
sanchez2019disentangling,2016,7,14,abeeku,17.0,m,gorilla,5,3,test_decoy_small_grape,grape,banana,small_grape,banana,end
sanchez2019disentangling,2016,7,14,abeeku,17.0,m,gorilla,5,4,control_for_preference_grape,grape,banana,grape,banana,end
sanchez2019disentangling,2016,7,14,abeeku,17.0,m,gorilla,5,5,test_decoy_small_banana,banana,grape,small_banana,banana,end
sanchez2019disentangling,2016,7,14,abeeku,17.0,m,gorilla,5,6,test_decoy_small_banana,grape,banana,small_banana,banana,end
sanchez2019disentangling,2016,7,14,abeeku,17.0,m,gorilla,5,7,test_decoy_small_banana,grape,small_banana,banana,banana,end
sanchez2019disentangling,2016,7,14,abeeku,17.0,m,gorilla,5,8,test_decoy_small_grape,banana,grape,small_grape,banana,end
sanchez2019disentangling,2016,7,14,abeeku,17.0,m,gorilla,5,9,control_for_preference_grape,grape,grape,banana,banana,end
sanchez2019disentangling,2016,7,14,abeeku,17.0,m,gorilla,5,10,control_for_preference_grape,grape,banana,grape,banana,end
sanchez2019disentangling,2016,7,14,abeeku,17.0,m,gorilla,5,11,test_decoy_small_grape,banana,small_grape,grape,banana,end
