"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"age_original","age provided by author in data file"
"age_in_years","age presented in years – see metadata for source of age"
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","whether the condition was-functional_trap/painted_trap/fake_trap"
"trap_side","side of the tube where participants obtained the reward"
"correct","whether participants succeeded in retrieving the reward"
