study_id,experiment,experiment_name,publication,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,trial,pair,cond_sid,app_side,app_what,app_time,condition,whath,whatv,whathn,whatvn,con_inde
brauer2007chimpanzees,1,basic_data,2007,2003,02,05,sandra,9,f,focal_participant,dorien,22,f,against,chimpanzee,sandra_dorien,4,5.0,h_v_left,not,not,,h_v,,,,,
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,05,sandra,9,f,focal_participant,dorien,22,f,against,chimpanzee,sandra_dorien,5,5.0,h_h_noise_right,not,not,,h_h_noise,,,,,
brauer2007chimpanzees,1,basic_data,2007,2003,02,05,sandra,9,f,focal_participant,dorien,22,f,against,chimpanzee,sandra_dorien,6,5.0,h_right,not,not,,h,,,,,hidden_independent
brauer2007chimpanzees,1,basic_data,2007,2003,02,05,sandra,9,f,focal_participant,dorien,22,f,against,chimpanzee,sandra_dorien,7,5.0,h_left,not,not,,h,,,,,hidden_independent
brauer2007chimpanzees,1,basic_data,2007,2003,02,05,sandra,9,f,focal_participant,dorien,22,f,against,chimpanzee,sandra_dorien,8,5.0,v_right,not,not,,v,,,,,visible_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,05,sandra,9,f,focal_participant,dorien,22,f,against,chimpanzee,sandra_dorien,9,5.0,h_h_noise_left,left,hidden_noise,6.0,h_h_noise,,,1.0,,
brauer2007chimpanzees,1,basic_data,2007,2003,02,05,sandra,9,f,focal_participant,dorien,22,f,against,chimpanzee,sandra_dorien,10,5.0,h_v_right,left,hidden,4.0,h_v,1.0,,,,
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,05,sandra,9,f,focal_participant,dorien,22,f,against,chimpanzee,sandra_dorien,11,5.0,v_noise_left,left,visible_noise,3.0,v_noise,,,,1.0,visible_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,05,sandra,9,f,focal_participant,dorien,22,f,against,chimpanzee,sandra_dorien,12,5.0,v_noise_right,not,not,,v_noise,,,,,visible_independent
brauer2007chimpanzees,1,basic_data,2007,2003,02,27,ulla,25,f,focal_participant,dorien,22,f,against,chimpanzee,ulla_dorien,1,6.0,h_v_left,right,hidden,3.0,h_v,1.0,,,,
brauer2007chimpanzees,1,basic_data,2007,2003,02,27,ulla,25,f,focal_participant,dorien,22,f,against,chimpanzee,ulla_dorien,2,6.0,v_left,left,visible,4.0,v,,1.0,,,visible_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,27,ulla,25,f,focal_participant,dorien,22,f,against,chimpanzee,ulla_dorien,3,6.0,h_noise_right,right,hidden_noise,4.0,h_noise,,,1.0,,hidden_independent
brauer2007chimpanzees,1,basic_data,2007,2003,02,27,ulla,25,f,focal_participant,dorien,22,f,against,chimpanzee,ulla_dorien,4,6.0,h_v_right,right,visible,4.0,h_v,,1.0,,,
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,27,ulla,25,f,focal_participant,dorien,22,f,against,chimpanzee,ulla_dorien,5,6.0,h_h_noise_left,right,hidden,3.0,h_h_noise,1.0,,,,
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,27,ulla,25,f,focal_participant,dorien,22,f,against,chimpanzee,ulla_dorien,6,6.0,v_noise_right,right,visible_noise,5.0,v_noise,,,,1.0,visible_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,27,ulla,25,f,focal_participant,dorien,22,f,against,chimpanzee,ulla_dorien,7,6.0,h_noise_left,left,hidden_noise,4.0,h_noise,,,1.0,,hidden_independent
brauer2007chimpanzees,1,basic_data,2007,2003,02,27,ulla,25,f,focal_participant,dorien,22,f,against,chimpanzee,ulla_dorien,8,6.0,h_left,not,not,,h,,,,,hidden_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,27,ulla,25,f,focal_participant,dorien,22,f,against,chimpanzee,ulla_dorien,9,6.0,v_noise_left,not,not,,v_noise,,,,,visible_independent
brauer2007chimpanzees,1,basic_data,2007,2003,02,27,ulla,25,f,focal_participant,dorien,22,f,against,chimpanzee,ulla_dorien,10,6.0,h_right,not,not,,h,,,,,hidden_independent
brauer2007chimpanzees,1,basic_data,2007,2003,02,27,ulla,25,f,focal_participant,dorien,22,f,against,chimpanzee,ulla_dorien,11,6.0,v_right,right,visible,4.0,v,,1.0,,,visible_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,27,ulla,25,f,focal_participant,dorien,22,f,against,chimpanzee,ulla_dorien,12,6.0,h_h_noise_right,left,hidden,2.0,h_h_noise,1.0,,,,
brauer2007chimpanzees,1,basic_data,2007,2003,02,27,jahaga,10,f,focal_participant,natascha,22,f,against,chimpanzee,jahaga_natascha,1,7.0,h_v_left,right,hidden,3.0,h_v,1.0,,,,
brauer2007chimpanzees,1,basic_data,2007,2003,02,27,jahaga,10,f,focal_participant,natascha,22,f,against,chimpanzee,jahaga_natascha,2,7.0,v_left,left,visible,2.0,v,,1.0,,,visible_independent
