"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"year","year the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session_day","the session day"
"condition","two conditions: kiwi/control"
"number_days_approached","number of approached locations within the respective condition"
"relative_percentage_approached","relative percentage calculated by the number of approached locations/number of baited locations (eg 10)"
"number_revisited","number of revisited locations within the respective condition"
"relative_percentage_revisited","relative percentage calculated by the number of revisited locations/number of baited locations"
