study_id,experiment,experiment_name,participant,age_in_years,sex,species,condition,location_id,number_food_pieces,distance_meters,number_days_approached_and_depleted,number_days_approached,relative_percentage_successfully_approached,relative_percentage_approached
scheumann2006sumatran,1,factors,toba,8.0,f,orangutan,control,1.0,7.0,16.9,,12.0,,0.71
scheumann2006sumatran,1,factors,toba,8.0,f,orangutan,control,2.0,10.0,25.05,,10.0,,0.59
scheumann2006sumatran,1,factors,toba,8.0,f,orangutan,control,3.0,5.0,25.46,,3.0,,0.18
scheumann2006sumatran,1,factors,toba,8.0,f,orangutan,control,4.0,6.0,23.22,,4.0,,0.24
scheumann2006sumatran,1,factors,toba,8.0,f,orangutan,control,5.0,6.0,27.12,,0.0,,0.0
scheumann2006sumatran,1,factors,toba,8.0,f,orangutan,control,6.0,4.0,37.94,,3.0,,0.18
scheumann2006sumatran,1,factors,toba,8.0,f,orangutan,control,7.0,8.0,44.93,,1.0,,0.06
scheumann2006sumatran,1,factors,toba,8.0,f,orangutan,control,8.0,5.0,47.25,,3.0,,0.18
scheumann2006sumatran,1,factors,toba,8.0,f,orangutan,control,9.0,5.0,43.71,,0.0,,0.0
scheumann2006sumatran,1,factors,toba,8.0,f,orangutan,control,10.0,10.0,43.56,,0.0,,0.0
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,kiwi,1.0,7.0,16.9,0.0,2.0,0.0,0.17
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,kiwi,2.0,10.0,25.05,0.0,1.0,0.0,0.08
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,kiwi,3.0,5.0,25.46,2.0,2.0,0.17,0.17
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,kiwi,4.0,6.0,23.22,0.0,0.0,0.0,0.0
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,kiwi,5.0,6.0,27.12,0.0,0.0,0.0,0.0
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,kiwi,6.0,4.0,37.94,0.0,0.0,0.0,0.0
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,kiwi,7.0,8.0,44.93,0.0,0.0,0.0,0.0
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,kiwi,8.0,5.0,47.25,0.0,0.0,0.0,0.0
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,kiwi,9.0,5.0,43.71,0.0,0.0,0.0,0.0
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,kiwi,10.0,10.0,43.56,0.0,1.0,0.0,0.08
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,control,1.0,7.0,16.9,,0.0,,0.0
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,control,2.0,10.0,25.05,,0.0,,0.0
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,control,3.0,5.0,25.46,,0.0,,0.0
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,control,4.0,6.0,23.22,,1.0,,0.08
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,control,5.0,6.0,27.12,,0.0,,0.0
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,control,6.0,4.0,37.94,,0.0,,0.0
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,control,7.0,8.0,44.93,,0.0,,0.0
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,control,8.0,5.0,47.25,,0.0,,0.0
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,control,9.0,5.0,43.71,,0.0,,0.0
scheumann2006sumatran,1,factors,bimbo,22.0,m,orangutan,control,10.0,10.0,43.56,,2.0,,0.17
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,kiwi,1.0,7.0,16.9,0.0,0.0,0.0,0.0
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,kiwi,2.0,10.0,25.05,0.0,2.0,0.0,0.13
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,kiwi,3.0,5.0,25.46,0.0,1.0,0.0,0.06
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,kiwi,4.0,6.0,23.22,15.0,15.0,0.94,0.94
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,kiwi,5.0,6.0,27.12,14.0,15.0,0.88,0.94
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,kiwi,6.0,4.0,37.94,8.0,10.0,0.5,0.63
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,kiwi,7.0,8.0,44.93,12.0,12.0,0.75,0.75
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,kiwi,8.0,5.0,47.25,7.0,9.0,0.44,0.56
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,kiwi,9.0,5.0,43.71,8.0,10.0,0.5,0.63
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,kiwi,10.0,10.0,43.56,4.0,10.0,0.25,0.63
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,control,1.0,7.0,16.9,,0.0,,0.0
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,control,2.0,10.0,25.05,,0.0,,0.0
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,control,3.0,5.0,25.46,,1.0,,0.06
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,control,4.0,6.0,23.22,,11.0,,0.69
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,control,5.0,6.0,27.12,,1.0,,0.06
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,control,6.0,4.0,37.94,,2.0,,0.13
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,control,7.0,8.0,44.93,,5.0,,0.31
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,control,8.0,5.0,47.25,,2.0,,0.13
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,control,9.0,5.0,43.71,,1.0,,0.06
scheumann2006sumatran,1,factors,walter,13.0,m,orangutan,control,10.0,10.0,43.56,,3.0,,0.19
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,kiwi,1.0,7.0,16.9,0.0,1.0,0.0,0.06
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,kiwi,2.0,10.0,25.05,5.0,6.0,0.29,0.35
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,kiwi,3.0,5.0,25.46,2.0,7.0,0.12,0.41
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,kiwi,4.0,6.0,23.22,2.0,5.0,0.12,0.29
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,kiwi,5.0,6.0,27.12,2.0,6.0,0.12,0.35
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,kiwi,6.0,4.0,37.94,2.0,3.0,0.12,0.18
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,kiwi,7.0,8.0,44.93,1.0,1.0,0.06,0.06
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,kiwi,8.0,5.0,47.25,4.0,5.0,0.24,0.29
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,kiwi,9.0,5.0,43.71,6.0,6.0,0.35,0.35
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,kiwi,10.0,10.0,43.56,1.0,5.0,0.06,0.29
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,control,1.0,7.0,16.9,,1.0,,0.06
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,control,2.0,10.0,25.05,,1.0,,0.06
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,control,3.0,5.0,25.46,,5.0,,0.29
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,control,4.0,6.0,23.22,,2.0,,0.12
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,control,5.0,6.0,27.12,,0.0,,0.0
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,control,6.0,4.0,37.94,,0.0,,0.0
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,control,7.0,8.0,44.93,,1.0,,0.06
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,control,8.0,5.0,47.25,,1.0,,0.06
