study_id,experiment,experiment_name,participant,age_in_years,sex,species,condition,location_id,number_food_pieces,distance_meters,number_days_approached_and_depleted,number_days_approached,relative_percentage_successfully_approached,relative_percentage_approached,number_baited
scheumann2006sumatran,2,factors,padana,5.0,f,orangutan,banana,4.0,5.0,29.01,1.0,5.0,0.08,0.42,
scheumann2006sumatran,2,factors,padana,5.0,f,orangutan,banana,5.0,10.0,30.22,5.0,6.0,0.42,0.5,
scheumann2006sumatran,2,factors,padana,5.0,f,orangutan,banana,6.0,5.0,34.78,2.0,4.0,0.17,0.33,
scheumann2006sumatran,2,factors,padana,5.0,f,orangutan,banana,7.0,8.0,45.3,8.0,10.0,0.67,0.83,
scheumann2006sumatran,2,factors,padana,5.0,f,orangutan,banana,8.0,5.0,49.08,10.0,11.0,0.83,0.92,
scheumann2006sumatran,2,factors,padana,5.0,f,orangutan,banana,9.0,5.0,48.14,8.0,10.0,0.67,0.83,
scheumann2006sumatran,2,factors,padana,5.0,f,orangutan,banana,10.0,4.0,25.76,6.0,11.0,0.5,0.92,
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,banana,1.0,10.0,24.42,9.0,11.0,0.75,0.92,
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,banana,2.0,7.0,34.53,0.0,0.0,0.0,0.0,
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,banana,3.0,6.0,35.41,0.0,0.0,0.0,0.0,
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,banana,4.0,5.0,29.01,7.0,9.0,0.58,0.75,
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,banana,5.0,10.0,30.22,6.0,6.0,0.5,0.5,
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,banana,6.0,5.0,34.78,9.0,10.0,0.75,0.83,
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,banana,7.0,8.0,45.3,4.0,4.0,0.33,0.33,
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,banana,8.0,5.0,49.08,3.0,3.0,0.25,0.25,
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,banana,9.0,5.0,48.14,1.0,1.0,0.08,0.08,
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,banana,10.0,4.0,25.76,8.0,8.0,0.67,0.67,
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,grape,1.0,4.0,14.81,0.0,0.0,0.0,0.0,6.0
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,grape,2.0,5.0,9.05,0.0,0.0,0.0,0.0,12.0
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,grape,3.0,5.0,3.47,1.0,2.0,0.09,0.17,12.0
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,grape,4.0,8.0,4.07,5.0,7.0,0.45,0.58,12.0
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,grape,5.0,10.0,31.82,0.0,0.0,0.0,0.0,6.0
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,grape,6.0,5.0,41.82,0.0,2.0,0.0,0.17,12.0
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,grape,7.0,5.0,47.89,0.0,0.0,0.0,0.0,12.0
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,grape,8.0,6.0,47.28,0.0,0.0,0.0,0.0,12.0
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,grape,9.0,7.0,43.3,0.0,0.0,0.0,0.0,12.0
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,grape,10.0,10.0,43.72,0.0,3.0,0.0,0.25,12.0
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,grape,1.0,4.0,14.81,1.0,1.0,0.17,0.17,6.0
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,grape,2.0,5.0,9.05,0.0,0.0,0.0,0.0,12.0
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,grape,3.0,5.0,3.47,2.0,2.0,0.17,0.17,12.0
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,grape,4.0,8.0,4.07,4.0,5.0,0.33,0.42,12.0
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,grape,5.0,10.0,31.82,0.0,2.0,0.0,0.33,6.0
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,grape,6.0,5.0,41.82,1.0,5.0,0.08,0.42,12.0
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,grape,7.0,5.0,47.89,6.0,8.0,0.5,0.67,12.0
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,grape,8.0,6.0,47.28,6.0,8.0,0.5,0.67,12.0
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,grape,9.0,7.0,43.3,2.0,9.0,0.17,0.75,12.0
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,grape,10.0,10.0,43.72,4.0,8.0,0.33,0.67,12.0
scheumann2006sumatran,2,factors,walter,13.0,m,orangutan,grape,1.0,4.0,14.81,0.0,0.0,0.0,0.0,6.0
scheumann2006sumatran,2,factors,walter,13.0,m,orangutan,grape,2.0,5.0,9.05,3.0,3.0,0.25,0.25,12.0
scheumann2006sumatran,2,factors,walter,13.0,m,orangutan,grape,3.0,5.0,3.47,1.0,1.0,0.08,0.08,12.0
scheumann2006sumatran,2,factors,walter,13.0,m,orangutan,grape,4.0,8.0,4.07,0.0,0.0,0.0,0.0,12.0
scheumann2006sumatran,2,factors,walter,13.0,m,orangutan,grape,5.0,10.0,31.82,1.0,1.0,0.17,0.17,6.0
scheumann2006sumatran,2,factors,walter,13.0,m,orangutan,grape,6.0,5.0,41.82,3.0,7.0,0.25,0.58,12.0
scheumann2006sumatran,2,factors,walter,13.0,m,orangutan,grape,7.0,5.0,47.89,0.0,0.0,0.0,0.0,12.0
scheumann2006sumatran,2,factors,walter,13.0,m,orangutan,grape,8.0,6.0,47.28,3.0,3.0,0.25,0.25,12.0
scheumann2006sumatran,2,factors,walter,13.0,m,orangutan,grape,9.0,7.0,43.3,5.0,8.0,0.42,0.67,12.0
scheumann2006sumatran,2,factors,walter,13.0,m,orangutan,grape,10.0,10.0,43.72,7.0,9.0,0.58,0.75,12.0
scheumann2006sumatran,2,factors,pini,14.0,f,orangutan,grape,1.0,4.0,14.81,0.0,0.0,0.0,0.0,6.0
scheumann2006sumatran,2,factors,pini,14.0,f,orangutan,grape,2.0,5.0,9.05,0.0,0.0,0.0,0.0,12.0
scheumann2006sumatran,2,factors,pini,14.0,f,orangutan,grape,3.0,5.0,3.47,0.0,0.0,0.0,0.0,12.0
scheumann2006sumatran,2,factors,pini,14.0,f,orangutan,grape,4.0,8.0,4.07,1.0,1.0,0.08,0.08,12.0
scheumann2006sumatran,2,factors,pini,14.0,f,orangutan,grape,5.0,10.0,31.82,0.0,0.0,0.0,0.0,6.0
scheumann2006sumatran,2,factors,pini,14.0,f,orangutan,grape,6.0,5.0,41.82,0.0,1.0,0.0,0.08,12.0
scheumann2006sumatran,2,factors,pini,14.0,f,orangutan,grape,7.0,5.0,47.89,1.0,1.0,0.08,0.08,12.0
scheumann2006sumatran,2,factors,pini,14.0,f,orangutan,grape,8.0,6.0,47.28,0.0,3.0,0.0,0.25,12.0
scheumann2006sumatran,2,factors,pini,14.0,f,orangutan,grape,9.0,7.0,43.3,0.0,1.0,0.0,0.08,12.0
scheumann2006sumatran,2,factors,pini,14.0,f,orangutan,grape,10.0,10.0,43.72,1.0,1.0,0.08,0.08,12.0
scheumann2006sumatran,2,factors,padana,5.0,f,orangutan,grape,1.0,4.0,14.81,0.0,0.0,0.0,0.0,6.0
scheumann2006sumatran,2,factors,padana,5.0,f,orangutan,grape,2.0,5.0,9.05,0.0,0.0,0.0,0.0,12.0
scheumann2006sumatran,2,factors,padana,5.0,f,orangutan,grape,3.0,5.0,3.47,0.0,1.0,0.0,0.08,12.0
scheumann2006sumatran,2,factors,padana,5.0,f,orangutan,grape,4.0,8.0,4.07,0.0,0.0,0.0,0.0,12.0
scheumann2006sumatran,2,factors,padana,5.0,f,orangutan,grape,5.0,10.0,31.82,0.0,0.0,0.0,0.0,6.0
scheumann2006sumatran,2,factors,padana,5.0,f,orangutan,grape,6.0,5.0,41.82,5.0,6.0,0.42,0.5,12.0
scheumann2006sumatran,2,factors,padana,5.0,f,orangutan,grape,7.0,5.0,47.89,1.0,1.0,0.08,0.08,12.0
scheumann2006sumatran,2,factors,padana,5.0,f,orangutan,grape,8.0,6.0,47.28,0.0,1.0,0.0,0.08,12.0
scheumann2006sumatran,2,factors,padana,5.0,f,orangutan,grape,9.0,7.0,43.3,1.0,2.0,0.08,0.17,12.0
scheumann2006sumatran,2,factors,padana,5.0,f,orangutan,grape,10.0,10.0,43.72,1.0,2.0,0.08,0.17,12.0
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,grape,1.0,4.0,14.81,0.0,0.0,0.0,0.0,5.0
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,grape,2.0,5.0,9.05,0.0,0.0,0.0,0.0,10.0
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,grape,3.0,5.0,3.47,0.0,0.0,0.0,0.0,10.0
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,grape,4.0,8.0,4.07,0.0,0.0,0.0,0.0,10.0
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,grape,5.0,10.0,31.82,0.0,0.0,0.0,0.0,5.0
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,grape,6.0,5.0,41.82,0.0,0.0,0.0,0.0,10.0
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,grape,7.0,5.0,47.89,0.0,0.0,0.0,0.0,10.0
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,grape,8.0,6.0,47.28,0.0,0.0,0.0,0.0,10.0
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,grape,9.0,7.0,43.3,0.0,0.0,0.0,0.0,10.0
scheumann2006sumatran,2,factors,mini,19.0,f,gibbon,grape,10.0,10.0,43.72,4.0,4.0,0.33,0.4,10.0
