study_id,experiment,year,participant,age_in_years,sex,species,session_day,condition,number_days_approached,relative_percentage_approached,number_revisited,relative_percentage_revisited
scheumann2006sumatran,1,2002,walter,13.0,m,orangutan,4.0,control,1.0,0.1,,
scheumann2006sumatran,1,2002,walter,13.0,m,orangutan,5.0,control,1.0,0.1,,
scheumann2006sumatran,1,2002,walter,13.0,m,orangutan,6.0,control,2.0,0.2,,
scheumann2006sumatran,1,2002,walter,13.0,m,orangutan,7.0,control,1.0,0.1,,
scheumann2006sumatran,1,2002,walter,13.0,m,orangutan,8.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,walter,13.0,m,orangutan,9.0,control,1.0,0.1,,
scheumann2006sumatran,1,2002,walter,13.0,m,orangutan,10.0,control,2.0,0.2,,
scheumann2006sumatran,1,2002,walter,13.0,m,orangutan,11.0,control,2.0,0.2,,
scheumann2006sumatran,1,2002,walter,13.0,m,orangutan,12.0,control,2.0,0.2,,
scheumann2006sumatran,1,2002,walter,13.0,m,orangutan,13.0,control,3.0,0.3,,
scheumann2006sumatran,1,2002,walter,13.0,m,orangutan,14.0,control,4.0,0.4,,
scheumann2006sumatran,1,2002,walter,13.0,m,orangutan,15.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,walter,13.0,m,orangutan,16.0,control,2.0,0.2,,
scheumann2006sumatran,1,2002,walter,13.0,m,orangutan,17.0,control,,,,
scheumann2006sumatran,1,2002,walter,13.0,m,orangutan,18.0,control,,,,
scheumann2006sumatran,1,2002,walter,13.0,m,orangutan,19.0,control,,,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,1.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,2.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,3.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,4.0,control,2.0,0.2,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,5.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,6.0,control,1.0,0.1,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,7.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,8.0,control,3.0,0.3,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,9.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,10.0,control,2.0,0.2,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,11.0,control,2.0,0.2,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,12.0,control,1.0,0.1,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,13.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,14.0,control,1.0,0.1,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,15.0,control,2.0,0.2,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,16.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,17.0,control,1.0,0.1,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,18.0,control,,,,
scheumann2006sumatran,1,2002,pini,14.0,f,orangutan,19.0,control,,,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,1.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,2.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,3.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,4.0,control,2.0,0.2,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,5.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,6.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,7.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,8.0,control,1.0,0.1,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,9.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,10.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,11.0,control,3.0,0.3,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,12.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,13.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,14.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,15.0,control,2.0,0.2,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,16.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,17.0,control,1.0,0.1,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,18.0,control,,,,
scheumann2006sumatran,1,2002,padana,5.0,f,orangutan,19.0,control,,,,
