study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,condition,together,related,first_pair,first_experience,token_soon,token_late,token_not,token_latency,w_token_soon,w_token_late,w_token_not,w_token_latency,eat_soon,eat_late,eat_soon_percent,eat_late_percent,point,point_pp,if_point,leave,leave_per,if_leave,trialduration,if_extra_beg,if_beg,eat_per_present_time
brauer2009apes,pini,19,f,focal_participant,dunja,34,f,focal_participant,orangutan,pini_dunja,same,long,yes,,,24.0,1.0,0.0,30.0,21.0,4.0,0.0,15.0,25.0,0.0,1.0,0.0,28.0,0.039603960396039604,1.0,34.0,0.04588394062078273,1.0,741.0,1.0,1.0,0.03536067892503536
brauer2009apes,padana,10,f,focal_participant,dokana,18,f,competitor,orangutan,padana_dokana,dif,short,no,,,23.0,2.0,0.0,16.5,19.0,6.0,0.0,13.0,16.0,9.0,0.64,0.36,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.026272577996715927
brauer2009apes,dunja,34,f,focal_participant,padana,10,f,competitor,orangutan,dunja_padana,dif,long,no,1.0,,24.0,1.0,0.0,9.0,24.0,1.0,0.0,14.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,1.0,1.0,0.046125461254612546
brauer2009apes,dokana,18,f,focal_participant,pini,19,f,focal_participant,orangutan,dokana_pini,same,short,no,1.0,1.0,25.0,0.0,0.0,0.0,24.0,1.0,0.0,42.0,25.0,0.0,1.0,0.0,3.0,0.005703422053231939,1.0,43.0,0.07557117750439367,1.0,569.0,1.0,1.0,0.04752851711026616
brauer2009apes,pini,19,f,focal_participant,dokana,18,f,focal_participant,orangutan,pini_dokana,same,short,no,1.0,,23.0,2.0,0.0,19.0,15.0,10.0,0.0,11.4,24.0,1.0,0.96,0.040000000000000036,13.0,0.02574257425742574,1.0,64.0,0.11247803163444639,1.0,569.0,1.0,1.0,0.047524752475247525
brauer2009apes,dunja,34,f,focal_participant,dokana,18,f,focal_participant,orangutan,dunja_dokana,same,short,no,,,14.0,11.0,2.0,24.45,11.0,14.0,2.0,23.93,19.0,5.0,0.7916666666666666,0.20833333333333337,5.0,0.00547645125958379,1.0,14.0,0.015102481121898598,1.0,927.0,1.0,1.0,0.0208105147864184
brauer2009apes,dokana,18,f,focal_participant,dunja,34,f,focal_participant,orangutan,dokana_dunja,same,short,no,,,24.0,1.0,0.0,13.0,22.0,3.0,0.0,12.67,25.0,0.0,1.0,0.0,13.0,0.016774193548387096,1.0,152.0,0.16396979503775622,1.0,927.0,1.0,1.0,0.03225806451612903
brauer2009apes,pini,19,f,focal_participant,padana,10,f,competitor,orangutan,pini_padana,dif,long,yes,,,22.0,3.0,0.0,9.67,15.0,10.0,0.0,10.7,23.0,2.0,0.92,0.07999999999999996,24.0,0.04436229205175601,1.0,25.0,0.044169611307420496,1.0,566.0,1.0,1.0,0.04251386321626617
brauer2009apes,padana,10,f,focal_participant,dunja,34,f,competitor,orangutan,padana_dunja,dif,long,no,1.0,,25.0,0.0,0.0,0.0,24.0,1.0,0.0,8.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.009478672985781991,1.0,422.0,0.0,0.0,0.05980861244019139
brauer2009apes,dokana,18,f,focal_participant,dunja,34,f,competitor,orangutan,dokana_dunja,dif,short,no,,,25.0,0.0,0.0,0.0,23.0,2.0,0.0,8.0,25.0,0.0,1.0,0.0,1.0,0.002105263157894737,1.0,0.0,0.0,0.0,475.0,0.0,1.0,0.05263157894736842
brauer2009apes,pini,19,f,focal_participant,dokana,18,f,competitor,orangutan,pini_dokana,dif,short,no,1.0,,22.0,3.0,0.0,9.33,17.0,8.0,0.0,9.25,23.0,2.0,0.92,0.07999999999999996,13.0,0.026748971193415638,1.0,0.0,0.0,0.0,486.0,1.0,1.0,0.047325102880658436
brauer2009apes,dunja,34,f,focal_participant,pini,19,f,competitor,orangutan,dunja_pini,dif,long,yes,,,17.0,8.0,1.0,20.25,16.0,9.0,1.0,21.11,4.0,21.0,0.16,0.84,9.0,0.011842105263157895,1.0,0.0,0.0,0.0,760.0,1.0,1.0,0.005263157894736842
brauer2009apes,padana,10,f,focal_participant,dokana,18,f,focal_participant,orangutan,padana_dokana,same,short,no,,,23.0,2.0,0.0,8.0,21.0,4.0,0.0,19.5,25.0,0.0,1.0,0.0,0.0,0.0,0.0,75.0,0.146484375,1.0,512.0,0.0,0.0,0.057208237986270026
brauer2009apes,dokana,18,f,focal_participant,padana,10,f,focal_participant,orangutan,dokana_padana,same,short,no,,,23.0,2.0,0.0,7.5,21.0,4.0,0.0,12.0,19.0,6.0,0.76,0.24,2.0,0.004415011037527594,1.0,59.0,0.115234375,1.0,512.0,0.0,1.0,0.04194260485651214
brauer2009apes,limbuko,12,m,focal_participant,yasa,10,f,focal_participant,bonobo,limbuko_yasa,same,short,no,1.0,1.0,24.0,1.0,0.0,9.0,24.0,1.0,0.0,6.0,23.0,2.0,0.92,0.07999999999999996,2.0,0.0038240917782026767,1.0,75.0,0.1254180602006689,1.0,598.0,0.0,1.0,0.04397705544933078
brauer2009apes,yasa,10,f,focal_participant,limbuko,12,m,focal_participant,bonobo,yasa_limbuko,same,short,no,1.0,1.0,25.0,0.0,0.0,0.0,18.0,7.0,0.0,11.57,23.0,2.0,0.92,0.07999999999999996,38.0,0.0657439446366782,1.0,20.0,0.033444816053511704,1.0,598.0,1.0,1.0,0.039792387543252594
brauer2009apes,yasa,10,f,focal_participant,kuno,11,m,focal_participant,bonobo,yasa_kuno,same,short,no,,,14.0,11.0,5.0,35.73,11.0,14.0,5.0,31.36,16.0,4.0,0.8,0.19999999999999996,15.0,0.02170767004341534,1.0,222.0,0.24315443592552027,1.0,913.0,1.0,1.0,0.023154848046309694
brauer2009apes,kuno,11,m,focal_participant,yasa,10,f,focal_participant,bonobo,kuno_yasa,same,short,no,,1.0,23.0,2.0,0.0,30.5,15.0,10.0,0.0,12.5,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,0.0,0.0,0.027382256297918947
brauer2009apes,limbuko,12,m,focal_participant,yasa,10,f,competitor,bonobo,limbuko_yasa,dif,short,no,1.0,1.0,20.0,5.0,0.0,14.2,13.0,12.0,0.0,18.0,1.0,24.0,0.04,0.96,0.0,0.0,0.0,335.0,0.5052790346907994,1.0,663.0,1.0,1.0,0.003048780487804878
brauer2009apes,kuno,11,m,focal_participant,joey,25,m,competitor,bonobo,kuno_joey,dif,short,no,1.0,1.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,0.0,0.0,0.04091653027823241
brauer2009apes,ulindi,14,f,focal_participant,yasa,10,f,competitor,bonobo,ulindi_yasa,dif,short,no,,1.0,21.0,4.0,1.0,32.75,13.0,12.0,2.0,19.42,20.0,4.0,0.8333333333333334,0.16666666666666663,37.0,0.07269155206286837,1.0,192.0,0.2738944365192582,1.0,701.0,0.0,1.0,0.03929273084479371
brauer2009apes,limbuko,12,m,focal_participant,joey,25,m,focal_participant,bonobo,limbuko_joey,same,short,no,,,25.0,0.0,0.0,0.0,24.0,1.0,0.0,6.0,24.0,1.0,0.96,0.040000000000000036,20.0,0.03937007874015748,1.0,14.0,0.02681992337164751,1.0,522.0,1.0,1.0,0.047244094488188976
brauer2009apes,joey,25,m,focal_participant,limbuko,12,m,focal_participant,bonobo,joey_limbuko,same,short,no,,1.0,20.0,5.0,0.0,8.8,5.0,20.0,0.0,9.35,24.0,1.0,0.96,0.040000000000000036,1.0,0.0019157088122605363,1.0,0.0,0.0,0.0,522.0,0.0,1.0,0.04597701149425287
brauer2009apes,yasa,10,f,focal_participant,ulindi,14,f,competitor,bonobo,yasa_ulindi,dif,short,no,,1.0,25.0,0.0,0.0,0.0,24.0,1.0,0.0,8.0,23.0,2.0,0.92,0.07999999999999996,29.0,0.048903878583473864,1.0,0.0,0.0,0.0,593.0,1.0,1.0,0.0387858347386172
brauer2009apes,joey,25,m,focal_participant,limbuko,12,m,competitor,bonobo,joey_limbuko,dif,short,no,,1.0,21.0,4.0,0.0,7.5,9.0,16.0,0.0,9.94,25.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.012433392539964476,1.0,563.0,0.0,0.0,0.044964028776978415
brauer2009apes,ulindi,14,f,focal_participant,limbuko,12,m,competitor,bonobo,ulindi_limbuko,dif,short,no,,,20.0,5.0,0.0,14.2,16.0,9.0,0.0,13.67,23.0,2.0,0.92,0.07999999999999996,14.0,0.025362318840579712,1.0,45.0,0.07537688442211055,1.0,597.0,1.0,1.0,0.041666666666666664
brauer2009apes,kuno,11,m,focal_participant,ulindi,14,f,competitor,bonobo,kuno_ulindi,dif,short,no,,,25.0,0.0,0.0,0.0,24.0,1.0,0.0,7.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775.0,0.0,0.0,0.03225806451612903
brauer2009apes,limbuko,12,m,focal_participant,ulindi,14,f,competitor,bonobo,limbuko_ulindi,dif,short,no,,,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,5.0,0.01440922190201729,1.0,7.0,0.01977401129943503,1.0,354.0,0.0,1.0,0.07204610951008646
brauer2009apes,yasa,10,f,focal_participant,joey,25,m,competitor,bonobo,yasa_joey,dif,short,no,,,23.0,2.0,0.0,13.5,22.0,3.0,0.0,13.33,25.0,0.0,1.0,0.0,18.0,0.026470588235294117,1.0,12.0,0.017341040462427744,1.0,692.0,1.0,1.0,0.03676470588235294
brauer2009apes,kuno,11,m,focal_participant,yasa,10,f,competitor,bonobo,kuno_yasa,dif,short,no,,,23.0,2.0,1.0,36.33,19.0,6.0,1.0,23.67,24.0,0.0,1.0,0.0,0.0,0.0,0.0,184.0,0.2598870056497175,1.0,708.0,0.0,0.0,0.04580152671755725
brauer2009apes,ulindi,14,f,focal_participant,joey,25,m,competitor,bonobo,ulindi_joey,dif,short,no,,,20.0,5.0,0.0,16.0,18.0,7.0,0.0,17.43,24.0,1.0,0.96,0.040000000000000036,17.0,0.025954198473282442,1.0,30.0,0.043795620437956206,1.0,685.0,0.0,1.0,0.0366412213740458
brauer2009apes,yasa,10,f,focal_participant,kuno,11,m,competitor,bonobo,yasa_kuno,dif,short,no,,,25.0,0.0,0.0,0.0,22.0,3.0,0.0,7.0,2.0,23.0,0.08,0.92,14.0,0.03056768558951965,1.0,0.0,0.0,0.0,458.0,0.0,1.0,0.004366812227074236
brauer2009apes,limbuko,12,m,focal_participant,joey,25,m,competitor,bonobo,limbuko_joey,dif,short,no,,,23.0,2.0,0.0,7.5,22.0,3.0,0.0,9.0,24.0,1.0,0.96,0.040000000000000036,0.0,0.0,0.0,36.0,0.06132879045996593,1.0,587.0,0.0,0.0,0.043557168784029036
brauer2009apes,ulindi,14,f,focal_participant,kuno,11,m,focal_participant,bonobo,ulindi_kuno,same,short,no,,1.0,25.0,0.0,0.0,0.0,22.0,3.0,0.0,7.0,23.0,2.0,0.92,0.07999999999999996,16.0,0.03619909502262444,1.0,0.0,0.0,0.0,442.0,0.0,1.0,0.05203619909502263
brauer2009apes,kuno,11,m,focal_participant,ulindi,14,f,focal_participant,bonobo,kuno_ulindi,same,short,no,,,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,0.0,0.0,0.05656108597285068
brauer2009apes,limbuko,12,m,focal_participant,kuno,11,m,focal_participant,bonobo,limbuko_kuno,same,long,no,,,22.0,3.0,0.0,25.0,17.0,8.0,0.0,17.75,14.0,11.0,0.56,0.43999999999999995,1.0,0.0028011204481792717,1.0,133.0,0.2714285714285714,1.0,490.0,0.0,1.0,0.0392156862745098
