study_id,experiment,experiment_name,year,month,day,subject,participant,age_in_years,sex,species,session,trial,trial_id,session_time,block_order,block_order_codes,block,fixation_rt,image_left,image_right,mask_rt_incl_buffer,reward,selected_picture
munar2015common,3,84ms,2013,06,09,2.0,jahaga,20,f,chimpanzee,1.0,1.0,,09:40:02,1.0,Block_1-Block_2,training,13086.0,control_anchor.bmp,control_fork.bmp,615.0,0.0,left
munar2015common,3,84ms,2013,06,09,3.0,fifi,20,f,chimpanzee,1.0,1.0,,09:58:48,1.0,Block_1-Block_2,training,8991.0,control_africanmask.bmp,control_feather.bmp,933.0,1.0,right
munar2015common,3,84ms,2013,06,09,4.0,alex,12,m,chimpanzee,1.0,1.0,,10:18:34,2.0,Block_2-Block_1,training,229.0,control_africanmask.bmp,control_feather.bmp,451.0,0.0,left
munar2015common,3,84ms,2013,08,02,5.0,lome,11,m,chimpanzee,1.0,1.0,,11:27:18,2.0,Block_2-Block_1,training,516.0,control_billiard.bmp,control_helm.bmp,2566.0,0.0,right
munar2015common,3,84ms,2013,08,02,6.0,kofi,8,m,chimpanzee,1.0,1.0,,10:57:42,2.0,Block_2-Block_1,training,8338.0,control_cane.bmp,control_leaf.bmp,878.0,1.0,right
munar2015common,3,84ms,2013,08,02,7.0,lobo,9,m,chimpanzee,1.0,1.0,,10:29:51,1.0,Block_1-Block_2,training,9653.0,control_barrell.bmp,control_harp.bmp,1569.0,1.0,left
munar2015common,3,84ms,2013,09,06,8.0,kibara,9,f,gorilla,1.0,1.0,,09:01:01,2.0,Block_2-Block_1,training,1567.0,control_billiard.bmp,control_helm.bmp,2317.0,0.0,right
munar2015common,3,84ms,2013,09,06,9.0,viringika,18,f,gorilla,1.0,1.0,,09:21:47,2.0,Block_2-Block_1,training,4480.0,control_bowtiepasta.bmp,control_icecream.bmp,437.0,0.0,left
munar2015common,3,84ms,2013,06,09,2.0,jahaga,20,f,chimpanzee,1.0,2.0,,09:40:02,1.0,Block_1-Block_2,training,266.0,control_cane.bmp,control_leaf.bmp,343.0,1.0,right
munar2015common,3,84ms,2013,06,09,3.0,fifi,20,f,chimpanzee,1.0,2.0,,09:58:48,1.0,Block_1-Block_2,training,2101.0,control_barrell.bmp,control_harp.bmp,1852.0,0.0,right
