study_id,year,month,day,participant,age_in_years,sex,species,session,condition,apparatus,solve,time,man,manleft,manright,biman
bohn2020learning,2016,9,20,lexi,17.0,f,bonobo,1.0,iconic,boxing,0.0,396.0,1.0,1.0,1.0,0.0
bohn2020learning,2016,9,20,yasa,19.0,f,bonobo,1.0,baseline,apart,0.0,314.0,1.0,1.0,0.0,1.0
bohn2020learning,2016,9,20,fimi,8.0,f,bonobo,1.0,baseline,apart,0.0,312.0,1.0,1.0,0.0,1.0
bohn2020learning,2016,9,20,gemena,10.0,f,bonobo,1.0,iconic,apart,0.0,319.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,9,20,kuno,19.0,m,bonobo,1.0,iconic,apart,0.0,335.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,9,23,luiza,11.0,f,bonobo,2.0,baseline,boxing,0.0,312.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,9,23,joey,33.0,m,bonobo,1.0,baseline,boxing,0.0,315.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,9,23,lexi,17.0,f,bonobo,2.0,iconic,boxing,0.0,315.0,1.0,1.0,1.0,0.0
bohn2020learning,2016,9,23,yasa,19.0,f,bonobo,2.0,baseline,apart,0.0,335.0,1.0,1.0,0.0,1.0
bohn2020learning,2016,9,23,fimi,8.0,f,bonobo,2.0,baseline,apart,0.0,327.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,9,23,gemena,10.0,f,bonobo,2.0,iconic,apart,0.0,315.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,9,23,kuno,19.0,m,bonobo,2.0,iconic,apart,0.0,330.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,9,24,luiza,11.0,f,bonobo,3.0,baseline,boxing,0.0,314.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,9,24,joey,33.0,m,bonobo,2.0,baseline,boxing,0.0,318.0,1.0,0.0,0.0,1.0
bohn2020learning,2016,9,24,lexi,17.0,f,bonobo,3.0,iconic,boxing,0.0,317.0,1.0,1.0,1.0,0.0
bohn2020learning,2016,9,24,yasa,19.0,f,bonobo,3.0,baseline,apart,0.0,323.0,1.0,1.0,0.0,0.0
bohn2020learning,2016,9,24,fimi,8.0,f,bonobo,3.0,baseline,apart,0.0,316.0,1.0,0.0,0.0,1.0
bohn2020learning,2016,9,24,gemena,10.0,f,bonobo,3.0,iconic,apart,0.0,319.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,9,24,kuno,19.0,m,bonobo,3.0,iconic,apart,0.0,334.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,9,26,luiza,11.0,f,bonobo,4.0,baseline,boxing,0.0,312.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,9,26,joey,33.0,m,bonobo,3.0,baseline,boxing,0.0,313.0,1.0,0.0,0.0,1.0
bohn2020learning,2016,9,26,lexi,17.0,f,bonobo,4.0,iconic,boxing,0.0,310.0,1.0,1.0,1.0,0.0
bohn2020learning,2016,9,26,yasa,19.0,f,bonobo,4.0,baseline,apart,0.0,309.0,1.0,1.0,0.0,0.0
bohn2020learning,2016,9,26,fimi,8.0,f,bonobo,4.0,baseline,apart,0.0,312.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,9,26,gemena,10.0,f,bonobo,4.0,iconic,apart,0.0,312.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,9,27,luiza,11.0,f,bonobo,5.0,baseline,boxing,0.0,312.0,1.0,0.0,1.0,0.0
bohn2020learning,2016,9,27,joey,33.0,m,bonobo,4.0,baseline,boxing,0.0,317.0,1.0,1.0,0.0,1.0
bohn2020learning,2016,9,27,lexi,17.0,f,bonobo,5.0,iconic,boxing,0.0,323.0,1.0,1.0,0.0,0.0
bohn2020learning,2016,9,27,yasa,19.0,f,bonobo,5.0,baseline,apart,0.0,330.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,9,27,fimi,8.0,f,bonobo,5.0,baseline,apart,0.0,312.0,1.0,0.0,0.0,1.0
bohn2020learning,2016,9,27,gemena,10.0,f,bonobo,5.0,iconic,apart,0.0,317.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,9,27,kuno,19.0,m,bonobo,4.0,iconic,apart,0.0,330.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,9,28,kuno,19.0,m,bonobo,5.0,iconic,apart,0.0,347.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,9,28,joey,33.0,m,bonobo,5.0,baseline,boxing,0.0,315.0,0.0,0.0,0.0,0.0
bohn2020learning,2016,10,5,jeudi,,f,chimpanzee,1.0,iconic,boxing,0.0,342.0,0.0,0.0,0.0,0.0
bohn2020learning,2016,10,5,frederike,42.0,f,chimpanzee,1.0,baseline,boxing,0.0,322.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,10,5,alex,15.0,m,chimpanzee,1.0,baseline,apart,0.0,342.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,10,5,daza,30.0,f,chimpanzee,1.0,iconic,apart,0.0,337.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,10,7,jeudi,,f,chimpanzee,2.0,iconic,boxing,0.0,323.0,0.0,0.0,0.0,0.0
bohn2020learning,2016,10,7,frederike,42.0,f,chimpanzee,2.0,baseline,boxing,0.0,322.0,1.0,0.0,1.0,0.0
bohn2020learning,2016,10,7,bambari,15.0,f,chimpanzee,1.0,iconic,boxing,0.0,317.0,0.0,0.0,0.0,0.0
bohn2020learning,2016,10,7,alex,15.0,m,chimpanzee,2.0,baseline,apart,0.0,315.0,1.0,1.0,1.0,0.0
