study_id,participant,age_in_years,sex,species,timestamp,fixationduration,aoiids,aoinames,fixmark,fixmarknew,stimuliname,picnumb,fixationpointx,fixationpointy
muhlenbeck2017cultural,batak,3,m,orangutan,7.0,107.0,0.0,content,,,no media,,974.0,112.0
muhlenbeck2017cultural,batak,3,m,orangutan,107.0,400.0,0.0,content,,,no media,,538.0,375.0
muhlenbeck2017cultural,batak,3,m,orangutan,507.0,267.0,0.0,content,,,no media,,438.0,359.0
muhlenbeck2017cultural,batak,3,m,orangutan,774.0,300.0,0.0,content,,,no media,,226.0,86.0
muhlenbeck2017cultural,batak,3,m,orangutan,1073.0,333.0,0.0,content,,,fixation_weintrauben.jpg,,132.0,-79.0
muhlenbeck2017cultural,batak,3,m,orangutan,1406.0,650.0,0.0,content,,,fixation_weintrauben.jpg,,382.0,242.0
muhlenbeck2017cultural,batak,3,m,orangutan,2056.0,433.0,30.0,aoi_6_m,True,True,6.jpg,6.0,575.0,285.0
muhlenbeck2017cultural,batak,3,m,orangutan,2489.0,533.0,29.0,aoi_6,False,False,6.jpg,6.0,234.0,241.0
muhlenbeck2017cultural,batak,3,m,orangutan,3022.0,216.0,30.0,aoi_6_m,True,True,6.jpg,6.0,575.0,285.0
muhlenbeck2017cultural,batak,3,m,orangutan,3238.0,100.0,30.0,aoi_6_m,True,,6.jpg,6.0,567.0,468.0
muhlenbeck2017cultural,batak,3,m,orangutan,7969.0,33.0,0.0,content,,,59.jpg,59.0,-367.0,169.0
muhlenbeck2017cultural,batak,3,m,orangutan,8118.0,17.0,0.0,content,,,59.jpg,59.0,-350.0,194.0
muhlenbeck2017cultural,batak,3,m,orangutan,8252.0,17.0,0.0,content,,,fixation_weintrauben.jpg,,-487.0,223.0
muhlenbeck2017cultural,batak,3,m,orangutan,8452.0,200.0,0.0,content,,,fixation_weintrauben.jpg,,-540.0,772.0
muhlenbeck2017cultural,batak,3,m,orangutan,8652.0,383.0,0.0,content,,,fixation_weintrauben.jpg,,296.0,280.0
muhlenbeck2017cultural,batak,3,m,orangutan,9035.0,233.0,0.0,content,,,54.jpg,54.0,-504.0,773.0
muhlenbeck2017cultural,batak,3,m,orangutan,9268.0,100.0,0.0,content,,,54.jpg,54.0,-404.0,739.0
muhlenbeck2017cultural,batak,3,m,orangutan,9368.0,583.0,0.0,content,,,54.jpg,54.0,-439.0,733.0
muhlenbeck2017cultural,batak,3,m,orangutan,9951.0,333.0,0.0,content,,,54.jpg,54.0,-416.0,640.0
muhlenbeck2017cultural,batak,3,m,orangutan,10284.0,283.0,0.0,content,,,54.jpg,54.0,-402.0,530.0
muhlenbeck2017cultural,batak,3,m,orangutan,10567.0,250.0,0.0,content,,,54.jpg,54.0,-435.0,504.0
muhlenbeck2017cultural,batak,3,m,orangutan,10817.0,133.0,0.0,content,,,54.jpg,54.0,-393.0,535.0
muhlenbeck2017cultural,batak,3,m,orangutan,10950.0,117.0,0.0,content,,,54.jpg,54.0,-429.0,514.0
muhlenbeck2017cultural,batak,3,m,orangutan,11067.0,150.0,0.0,content,,,54.jpg,54.0,-397.0,532.0
muhlenbeck2017cultural,batak,3,m,orangutan,11216.0,233.0,0.0,content,,,54.jpg,54.0,-417.0,438.0
muhlenbeck2017cultural,batak,3,m,orangutan,11716.0,283.0,0.0,content,,,54.jpg,54.0,-498.0,883.0
muhlenbeck2017cultural,batak,3,m,orangutan,11999.0,167.0,0.0,content,,,fixation_weintrauben.jpg,,-529.0,901.0
muhlenbeck2017cultural,batak,3,m,orangutan,12166.0,333.0,0.0,content,,,fixation_weintrauben.jpg,,-592.0,879.0
muhlenbeck2017cultural,batak,3,m,orangutan,15380.0,650.0,0.0,content,,,fixation_weintrauben.jpg,,-399.0,353.0
muhlenbeck2017cultural,batak,3,m,orangutan,16030.0,300.0,14.0,aoi_39_m,True,,39.jpg,39.0,514.0,125.0
muhlenbeck2017cultural,batak,3,m,orangutan,16330.0,183.0,14.0,aoi_39_m,True,,39.jpg,39.0,501.0,218.0
muhlenbeck2017cultural,batak,3,m,orangutan,16513.0,233.0,14.0,aoi_39_m,True,True,39.jpg,39.0,593.0,320.0
muhlenbeck2017cultural,batak,3,m,orangutan,16746.0,100.0,0.0,content,,,39.jpg,39.0,498.0,751.0
muhlenbeck2017cultural,batak,3,m,orangutan,19078.0,133.0,0.0,content,,,fixation_weintrauben.jpg,,1265.0,363.0
muhlenbeck2017cultural,batak,3,m,orangutan,19211.0,266.0,0.0,content,,,fixation_weintrauben.jpg,,1235.0,74.0
muhlenbeck2017cultural,batak,3,m,orangutan,26374.0,150.0,0.0,content,,,fixation_weintrauben.jpg,,455.0,418.0
muhlenbeck2017cultural,batak,3,m,orangutan,26740.0,233.0,8.0,aoi_31_m,True,True,31.jpg,31.0,522.0,311.0
muhlenbeck2017cultural,batak,3,m,orangutan,26973.0,432.0,8.0,aoi_31_m,True,True,31.jpg,31.0,550.0,377.0
muhlenbeck2017cultural,batak,3,m,orangutan,27406.0,233.0,8.0,aoi_31_m,True,True,31.jpg,31.0,621.0,315.0
muhlenbeck2017cultural,batak,3,m,orangutan,27639.0,100.0,8.0,aoi_31_m,True,,31.jpg,31.0,756.0,391.0
muhlenbeck2017cultural,batak,3,m,orangutan,34251.0,67.0,19.0,aoi_52_m,True,,52.jpg,52.0,423.0,390.0
muhlenbeck2017cultural,batak,3,m,orangutan,34451.0,367.0,19.0,aoi_52_m,True,True,52.jpg,52.0,203.0,404.0
muhlenbeck2017cultural,batak,3,m,orangutan,34817.0,600.0,20.0,aoi_52,False,False,52.jpg,52.0,604.0,394.0
muhlenbeck2017cultural,batak,3,m,orangutan,35417.0,200.0,20.0,aoi_52,False,False,52.jpg,52.0,632.0,342.0
muhlenbeck2017cultural,batak,3,m,orangutan,35617.0,283.0,0.0,content,,,52.jpg,52.0,1092.0,542.0
