study_id,experiment,participant,age_in_years,sex,species,trial,condition,response
buttelmann2017great,2,jahaga,18,f,chimpanzee,3,false_belief_exp2,box_with_object
buttelmann2017great,2,jahaga,18,f,chimpanzee,4,false_belief_exp2,box_with_object
buttelmann2017great,2,jahaga,18,f,chimpanzee,5,false_belief_exp2,box_with_object
buttelmann2017great,2,jahaga,18,f,chimpanzee,6,false_belief_exp2,box_with_object
buttelmann2017great,2,ulla,33,f,chimpanzee,1,false_belief_exp2,
buttelmann2017great,2,ulla,33,f,chimpanzee,2,false_belief_exp2,
buttelmann2017great,2,ulla,33,f,chimpanzee,3,false_belief_exp2,empty_box
buttelmann2017great,2,ulla,33,f,chimpanzee,4,false_belief_exp2,box_with_object
buttelmann2017great,2,ulla,33,f,chimpanzee,5,false_belief_exp2,box_with_object
buttelmann2017great,2,ulla,33,f,chimpanzee,6,false_belief_exp2,box_with_object
buttelmann2017great,2,lome,9,m,chimpanzee,1,ignorance,box_with_object
buttelmann2017great,2,lome,9,m,chimpanzee,2,ignorance,box_with_object
buttelmann2017great,2,lome,9,m,chimpanzee,3,ignorance,box_with_object
buttelmann2017great,2,lome,9,m,chimpanzee,4,ignorance,box_with_object
buttelmann2017great,2,lome,9,m,chimpanzee,5,ignorance,
buttelmann2017great,2,lome,9,m,chimpanzee,6,ignorance,box_with_object
buttelmann2017great,2,fraukje,34,f,chimpanzee,1,ignorance,box_with_object
buttelmann2017great,2,fraukje,34,f,chimpanzee,2,ignorance,box_with_object
buttelmann2017great,2,fraukje,34,f,chimpanzee,3,ignorance,empty_box
buttelmann2017great,2,fraukje,34,f,chimpanzee,4,ignorance,box_with_object
buttelmann2017great,2,fraukje,34,f,chimpanzee,5,ignorance,empty_box
buttelmann2017great,2,fraukje,34,f,chimpanzee,6,ignorance,empty_box
buttelmann2017great,2,tai,8,f,chimpanzee,1,ignorance,box_with_object
buttelmann2017great,2,tai,8,f,chimpanzee,2,ignorance,box_with_object
buttelmann2017great,2,tai,8,f,chimpanzee,3,ignorance,empty_box
buttelmann2017great,2,tai,8,f,chimpanzee,4,ignorance,empty_box
buttelmann2017great,2,tai,8,f,chimpanzee,5,ignorance,empty_box
buttelmann2017great,2,tai,8,f,chimpanzee,6,ignorance,box_with_object
buttelmann2017great,2,fifi,17,f,chimpanzee,1,ignorance,box_with_object
buttelmann2017great,2,fifi,17,f,chimpanzee,2,ignorance,empty_box
buttelmann2017great,2,fifi,17,f,chimpanzee,3,ignorance,box_with_object
buttelmann2017great,2,fifi,17,f,chimpanzee,4,ignorance,empty_box
buttelmann2017great,2,fifi,17,f,chimpanzee,5,ignorance,box_with_object
buttelmann2017great,2,fifi,17,f,chimpanzee,6,ignorance,empty_box
buttelmann2017great,2,gertrudia,17,f,chimpanzee,1,ignorance,empty_box
buttelmann2017great,2,gertrudia,17,f,chimpanzee,2,ignorance,
buttelmann2017great,2,gertrudia,17,f,chimpanzee,3,ignorance,empty_box
buttelmann2017great,2,gertrudia,17,f,chimpanzee,4,ignorance,empty_box
buttelmann2017great,2,gertrudia,17,f,chimpanzee,5,ignorance,empty_box
buttelmann2017great,2,gertrudia,17,f,chimpanzee,6,ignorance,empty_box
buttelmann2017great,2,frederike,40,f,chimpanzee,1,false_belief_exp2,box_with_object
buttelmann2017great,2,frederike,40,f,chimpanzee,2,false_belief_exp2,
buttelmann2017great,2,frederike,40,f,chimpanzee,3,false_belief_exp2,box_with_object
buttelmann2017great,2,frederike,40,f,chimpanzee,4,false_belief_exp2,
buttelmann2017great,2,frederike,40,f,chimpanzee,5,false_belief_exp2,box_with_object
buttelmann2017great,2,frederike,40,f,chimpanzee,6,false_belief_exp2,empty_box
buttelmann2017great,2,tanah,5,f,orangutan,1,ignorance,empty_box
buttelmann2017great,2,tanah,5,f,orangutan,2,ignorance,box_with_object
buttelmann2017great,2,tanah,5,f,orangutan,3,ignorance,empty_box
buttelmann2017great,2,tanah,5,f,orangutan,4,ignorance,box_with_object
buttelmann2017great,2,tanah,5,f,orangutan,5,ignorance,empty_box
buttelmann2017great,2,tanah,5,f,orangutan,6,ignorance,empty_box
buttelmann2017great,2,raja,10,f,orangutan,1,ignorance,empty_box
buttelmann2017great,2,raja,10,f,orangutan,2,ignorance,box_with_object
buttelmann2017great,2,raja,10,f,orangutan,3,ignorance,box_with_object
